name,rating,photo_ref,place_types,y,x,id,transit_time
Nagomi Spa & Health,5.0,CmRaAAAAapuN3xUa3zN_8fJkwDLwf1kxVxvvD4agqlIzVpYUf65Ra-l0_xArqm6r8KOZa7H1wJoJiRcbalHQobmONUJua3wmZ-5KK_O86edRUNz1Ij4ZiAbhK0sJL2JgPpJwHeyCEhDi7Vuc0mp2Lky1c7PApF69GhSSGSOYOASC_1UpvVMZAgVASVmwIg,spa|beauty_salon|health,4.894031,52.348718,ChIJMzqLEIsJxkcRVRu7J-igI4w,1212
AWAY SPA by W Hotels,5.0,CmRZAAAAiSD_E6-7Z0C7JMsVnSUZyeRDRgHwuVOqtHWm_utN_kQTZD0tOIWGtRwmptlRo1GFvz0ZFWEpQ9HMnzdKwdHn89d9ZJb77wORWqWq7RQszo0cUezJZhjTmIopUeRegj_JEhBADjgu1_EcCmVVbiKLaYQXGhTwAvkErCVRLzJPifCcmFhAxi6oqg,spa,4.8892018,52.3726029,ChIJo7V8qcYJxkcRPyE56uL3FQM,572
Thai Spa Natural & Body Care,5.0,,spa,4.8958666,52.3715039,ChIJ5xvGVr8JxkcRD2R4NkwoPHs,114
Chill Out SPA,5.0,CmRaAAAAvC59VxcurNZFJLxvrqveSkxCC5gvrEB06I5r2xLw356XO6UHkxN1pqAyK2-as011zbH_LKTnuDGw3OcN7l2JdnKooK98muzm8zny-TaHRvInzDzPFPQky2enTSDDJcj4EhDXrfztrrez_78mk_TZQ-QvGhQksqedWxxSG4b7lvSdqdTb_uEE2w,food|spa|beauty_salon|health|restaurant,4.8830303,52.3562158,ChIJhfOaePYJxkcRI3QcgLRooEs,1242
Skin Spa Store,5.0,CmRaAAAAWrLgCYAgk8oYqpfyAcK4VfZidT3YHLZAXFe-pH6Q30cFvZtESVjuybgpMu-pGZEdnsFSsDQoNpFo1gPMY2nPbtEQrdnL5oIF2D8OMDh1_cHjSfZibQoWjTL20t3nSPEbEhAaBMqIvY7G7sQ3MpE9WkcfGhSt6bKxHCN-mLQSxSL4wFQBD7FWAw,spa,4.9393163,52.3599024,ChIJvTJrBGwJxkcR8vwMKeWqD0c,1440
stoelmassage.amsterdam-The Office Spa-massage en mindfulness op kantoor Amsterdam,5.0,CmRaAAAA9rj3ijAsnKbniICe5KMuHMDuQKrKu-qblba6mrlqm9YOL-USp0MX3CxGyGl8tHzLfvJC3CTi0q0EBUEdyQDsiM6F8LsCq9IezApzUKXGH2MoHrfOo-oPmw0GCG6-qiBbEhAn-kxy90jGqCMoS9mzjuldGhSXxVwDvALmCdpmV5ka48IQ9nusjA,spa|health,4.9060397,52.3650027,ChIJX09McAwJxkcR9BK0AcXXDJw,812
Guerlain Spa,5.0,CmRaAAAABuJ7IlKbQCi1aGvH7Q9_IsR5ToFlowgcyePJ-LdVOOR5FkKLXGe_Cfheec-qxsnWk-vIwVXFJcfGWck8G-2yWYE-8F7JB6DIZyXisKgiultLn2qg-M-BUXz9ZzVPLvZREhD1PXx3oi2ycKVJzWd6zRBQGhQFWQVMiieRc_sY9F7Xr7mm-1h7aA,spa,4.896975,52.36464,ChIJRy2BEJUJxkcRZ5Xb54fpGGs,546
Ami SPA Amsterdam schoonheidssalon,4.8,CmRaAAAA7df5EjTm4E0Yd2UKUPzcP2m7aLycTJl_-SO0Pl9u5Fkg7DBH3ikhjMQhXjoJr9XqlsefdoI0p8ORcUiXVXdogEWXhCLrzUs4MOB4SXqQlUqcU0yPXUzx5Bm-mk5o0CuCEhAH5g3Z01JZ7wSO7szWHqHUGhSTT0hLLL57Eb0EsbzZW07eHisr3w,beauty_salon|art_gallery,4.8796519,52.3888462,ChIJnfkRoiwIxkcRKGYUxm_6I4Q,1246
BEM Estar Health Beauty & Spa,4.8,CmRaAAAAdk7FYBMq4Ys6CYJqSQEXnJibQ3pqi1QyTeKlxSaPK96JdfxjGcvDgRLk9fmdqIJhpxrdGkiHJ9-nTQX0o3OXoZh8RqV3hEurEy7sXtceQdRwqdqqPbDMqzNwUZQY_SSsEhB2AxU5VDfeHN_oPSF8Bl1xGhQbeT90mBZcj7OZ8PKRxRxwt9htlA,beauty_salon,4.8749933,52.372144,ChIJTy7AwMQJxkcRcXg_DegCj-w,844
Sento Spa and Health Club,4.8,CmRaAAAAb4XueGsOCgVdMP7ADQTtzO4zOrJt1KtUysBuHmxRGTHwI2u_5JWe71BZoYpXl5PCji3KUsnjRim_JPKw4B13_r4ueYAw0kJjhDGClo-ERJqKeshdbKOoOk5T_tVNSZFpEhB6lpSAoOLOS2IqKXkX1PEWGhQ0nybKqdidM1qwTq5il5S2wzx-4A,spa|gym|health|beauty_salon,4.8784944,52.3780006,ChIJoaqDddoJxkcREFMtL_GP6BY,1203
