name,rating,photo_ref,place_types,y,x,id,transit_time
Museum Air France,4.8,CmRaAAAAfrCckooNbbrobkSym70QHiizYj2itRWsEAA-F7FTh3Z-A7y32p_W99KfdNwbCj9elN1OGi-oC7kfaTDXe_bnRW_rLU59uR-78XA7JJIX2Af-RDUz0M01UxhgDqfVFV9LEhDkh1ihdwa1oE4ZVoNwTP3xGhS1uA9iGx24nO6AwTtWv5c-bDmmUg,museum,2.3147536,48.8624893,ChIJ_WcgK9Fv5kcR1B5EkLqQoJg,1124
Musée d'Orsay,4.7,CmRaAAAA2jhuibbwkMVH4lhm-GCbDc7S_IZ0HC09hwn0KD4JaqWTXbGJJ8-nDQezYdi7pEA1ZD3ST-I-OAHSShO92_7NePfSG2dwG0lpT6DeIH_hg-yjeafg7FwNo5KehklVsxEJEhDi-WBClPyEofEnHNf-H9X9GhRayli8tLXjEsnOI0PKKEpdva0AlA,museum,2.3265614,48.8599614,ChIJG5Qwtitu5kcR2CNEsYy9cdA,771
Louvre Museum,4.7,CmRaAAAAGHtRh-RmYJ5tgJbUic2B_q7gadlFd1HbJvjNu984ZAkKaHaXD16AZM14X1E4wsJrcQBImPW9WYokFdA6rRjiXR40PmjTQBYpRlPYLx_34FQtFicLJAoD-LuPoljp5NnkEhA5i8hYnXD1a9h4mfPUjJrnGhT1b_7aGAj7yL5rc2u6FiXcKgg_0A,museum,2.337644,48.8606111,ChIJD3uTd9hx5kcR1IQvGfr8dbk,644
Orangerie Museum,4.6,CmRaAAAAVY7P3aQZHLxlwo2eUYnbojdC6UNdloD0wTxqVM4yS6z8h918fDwW6ajzIOot-dMYHrRPBuE_lteQIlope9tkytwTqu0Hf7YVULNTmPeNu6XwHJK6r1NlwxIigEcO3vDHEhCk9b_YI_FWoDZK6sMZF6OnGhQNmc5nP90jgFc7vhVW4R7oSoVXow,museum,2.3226724,48.8637884,ChIJo6qq6i5u5kcRCpYBp4rQP9w,1010
Musée Nissim de Camondo,4.6,CmRaAAAAGMyha6o8v40IS6goHbJq3tEJ7x3qf2tBC_WaVDpNdcoINE9IOtzgwwPFc7qHxbvn4IytehyKCoBlOFfiZ-7nNFkFVUATLBmVCLdAYHF_QkMeu10_sJM66BcPHOdUQG-sEhCz9WmYmY_Q8hoWlUmgid0mGhQI_vjm7TR-cNnnzjMzFMSmcq58XQ,museum,2.3126731,48.8789291,ChIJ6VmGh7dv5kcR32uxgrtK3Z4,1588
Metiers Art Museum,4.5,CmRaAAAA5bnTlCSq-YhFV22XGEy0tZZlwBMA6qIwgsLv7O45C3DusH1pCtQ0sqCHl1RBKZ77g5BbqE5kWSfCDG_zQRJUMj8BeyDsvhiKnokjN2Vf6JbOkAZu_A-hpdZDNOPa9bztEhDSoEpSjCQMbRk3jnWaakkkGhSwyTl2YRIeQCB_i3B9I3T_J_Nd0A,museum,2.3554383,48.8666392,ChIJNUTIphpu5kcR4h07VuxFIHc,765
The Army Museum,4.5,CmRaAAAAnvzw5FoH9pYo2BNTDI8Yo2Hs8Ak2mTHxBHNwnNHCBaQWdxck0kIRhBIDiuV62NU_2fh1NPDFlLo0j_I7FtVHrl2VFNVyDvDfIpyaux0PmGIJ54oZZQ5Uw82D9XzOISoNEhCCpuYGbayV76jRl7bK5dIUGhT8u5T-NOZt79CbTRWZWa-0VchzAg,museum,2.3125934,48.8557933,ChIJv-rX7Ndv5kcRJ0IdTc55HnY,2840
Rodin Museum,4.5,CmRaAAAAwGj6xo3Nmx40B618Furtr4dn1YRXQGJ7mjhAtzBuBMNVSkb8ArsjBOHwtPSuV4DP4bkA_8a-ihdexUkwqglXLZtyB1VZLFX1h_TjD_DeC53biRmLIVs0pms7nbZPBPMQEhBqKYfGeFqMHxBZS_STOxeXGhTuIBieI6rl9gyH6PUE4Oc6EryQLw,museum,2.3158354,48.8553072,ChIJQ9vMHipw5kcRWHC2ESjYaGQ,1377
National Museum of Natural History,4.5,CmRaAAAAxOZn0ijS0gnaO6YectxfvY-b8oejK5xEklT_RSIYhk2w7Ibkx_zk1hAzKftTSmYKDbBlWoERPpcjNw2aWBAtQdzFL3uHRRxfkAZ3KpTKLaqCjjVl8xSbUT25KNa0JzCCEhAorjgSK9v6PZ5gTGUFBgOqGhS7gjppF-wiQFk_aKV2UkP-yk2C_w,museum,2.3562101,48.8443425,ChIJEURALfFx5kcR4cbxSSHWQ0c,834
Musée de Montmartre,4.4,CmRaAAAAg3GixfUm4quOkCMfAdnAp9SRkiVzr2AUYEKf60rhRNbjyy4uL4G5E6sw3df042sejEm_Vj2Lu6a34Pm9T24jRgVhFncQp_lZ_wmF2k95aHU7Pj7h55Q5xZNA5Dbd4Ti5EhBsnL65hHtKIja0hBv3nLJ2GhQw8UD_9NIu5owUe5a7GpGxTf_0Jw,museum|park,2.3406731,48.887709,ChIJWcXsQltu5kcRbqfaH0NhNxE,2124
