name,rating,photo_ref,place_types,y,x,id
Adrenaline Hunter,3.0,CmRaAAAAslIoPDwO0XwYFQweyEKWfNgDHF9_H8Pn8-NSZ66xp2I9EY15_JDU18wT_8PL770KizIG1QnCxs3PuhWzAyEEGoUFZxfNryZCdvAmmHwYjzmCkKcjguu6cyRjT2gVHhdpEhDD7kOcqgkC-DCS7Sjs-iOBGhTXyMPAu3bFnbi5TvKsOrGrprZYow,point_of_interest|establishment,2.3477962,48.871429,ChIJ3wzT2RVu5kcRJBRJhpyOTt4
Aldridge Airport Outdoor Activity and Environmental Learning Centre,4.1,CmRaAAAARPpNA6aUeZFSpSpJG5mPA4NYt_tGcbqg2BlXY1MfqqierIHDZMLi7Rer3UDEAu9ON0fyfnVhxsWAc7jOFnCrGvtTvSTjHIGiq9TWIRA21V5qe_sVjxDQLQ00zTQgd2eoEhCpbyGFRAOFPnEkHrm698nFGhRo6u4nScYNMu7hcady_02hvK-WDw,point_of_interest|establishment,-1.933268,52.593453,ChIJ03M_LdKjcEgR44-CMYHCfaQ
Blackwater Outdoor Activities,5.0,CmRaAAAAwUOPQvoQMB1Uep2okuXg91LCDSZTVWn3w6KbcFzvfklgSYYXXkXgyMtLPkWCZy7Yd9puVaafZyY-M3lSOsJmD3jOVMCGNirnpO8hoTGyeAh5RhYKjP85B8WOJs7t7YsYEhBh5_EC-a-DJm354G9AOZGAGhSxCfslhHtUtXj9i9ESoyKaThBojw,travel_agency|point_of_interest|establishment,-8.390959,52.151381,ChIJeyV36EakREgRi1nS0mG7qBQ
Charterhouse Outdoor Activity Centre,5.0,,point_of_interest|establishment,-2.7157309,51.2987297,ChIJQyU1GMYfckgRYUhvWbCZdKQ
Dumfries & Galloway Council Outdoor Activities,2.5,,point_of_interest|establishment,-3.9282954,54.9344372,ChIJY96QYvHCYkgR3na0D7VviWw
East Barnby Outdoor Education Centre,4.6,CmRaAAAAy3QQ3sSTz76PncXVykF4enpjf0ozjKD-V9iLqcNkNlBJK4Ha6EkakTulewlVY3Mpsjkba85vJI5_xvL8LNlVQOSglEUEdRuZ5aEI5Ko5QoC6AeLXbwKzIQZERx8zL1FWEhD8Au2btXCg0MaP99bMr-S1GhR7ZbHb6aKMXHFVL__BW_jzzk0uOg,point_of_interest|establishment,-0.721371,54.505249,ChIJ9_19lEUZf0gRh4TKTg-cMdY
Fairlop Outdoor Activity Centre,2.5,CmRaAAAARmC-301K6Ux-tb_WJteoZFminLAyFgROZwg4JLOHg1VsJM6rYTV0cNrlDi59UyWh2A_rt7hbzzoiJfAPAzqIb2uHBo5gp09kJohMCSdZPnPty7XueHYAXMo-kNFFEuhMEhC-neXOSnKym6SSbk23XYunGhSeRIqOQANUVML-4-dM_ZUlV-HL7w,point_of_interest|establishment,0.097424,51.5947656,ChIJkeNlqvij2EcRi9n9_HOVyBY
Hatfield Outdoor Activity Centre,3.7,CmRaAAAA02Sa7X82pv6d6_nvOXY6jkWKwYMJQSjVurlOMVTKrYZ_JKIOTdMBQlgXWsahtQL_xrpRM06ykG6NI_7SkGonKdzm-rirDGWKuHy1v-oOkYbPVqkyJqo7jQc1zsK3LLrwEhB2Wqrl9pLTy4e9Q3QSsoOoGhT_94nFboKHYsYXbv0NDN-nEpA3gg,amusement_park|point_of_interest|establishment,-0.990861,53.582506,ChIJi5rcQeoaeUgReDHCxK7KSlw
Hillingdon Outdoor Activities Centre,4.3,CmRaAAAAlEnkjnE1kzb6kBloAJN3oLXj5GxLVp42O2tWiJQFR4Xcpdp7QEmgCH0owHTNvIW4-fHOYviIMdDWIZZvmW_zqTg42bQKBFA7PIflZ3opdUIZHtVhs9YWMSZKT4KDwv3REhC3YXNNAyae_TAk4IKx8vmkGhR95zbd29UvzOJeHc23nKDoRafGrg,point_of_interest|establishment,-0.4791863,51.5792077,ChIJm63koaFudkgRVyRWv9w_XpI
Lochgoilhead National Activity Centre,4.5,CmRaAAAA5bpL6a0vYFHYlxCxB4mADq4DyOB7SGQiW-2ZqnemYKe_KUcDmRmn8M6XdR2DbGToZMgko7cRgrdrZ0Oi5yqP1ZQRiIrJ63t498r9GBnQOAgpjQ_Px0QEuFzcjXJ6PMBgEhC7Ptar841F3ud-vlhhUArWGhQ42UQhMms5aEyV12i1FagiGU4OgA,point_of_interest|establishment,-4.899916,56.171725,ChIJ5934HpUIiUgRvxulHMVmtKU
