name,rating,photo_ref,place_types,y,x,id,transit_time
St. Isaac's Cathedral,4.9,CmRaAAAAt3PCTmLnGziu6KIkxMQJhp5jF-ZR4lDsy8IOlW_7nQPqiVcTxUiKUxVH10orJF-x9up2k98im5oW-SSIVl6A0RqL_KyCOPEofU0N3pYXR8KTH-OlGhXl-TXag4A2nF1lEhATq5q8UScQYeiPOouIumSiGhS8R1ueG93cKVfJIGmlYedqQ4ccfA,place_of_worship|museum|church,30.306485,59.933905,ChIJSTp6hhsxlkYR6SV9tFJytR0,869
Church of the Assumption of Mary,4.9,CmRaAAAAeFVTVQURaNBBCTxUr3C7MpH44QWDU0aIcNvsUbQN364KiMEIGdbY1cFHER7SbrDQnO8RUOKCiuKWSY2FNyjb5cFCX3XBXkZ7hB3THd9nyOfXlyrIJBpZyCoRInXPrprnEhDygTaeYPsXNwY4eWmWAlFzGhR1_w5lckVcXBeKYJM2gpRe7ZhpbA,place_of_worship|church,30.2756621,59.933474,ChIJz0GBytgwlkYRZ1wf2d9XwOw,1418
Savior on the Spilled Blood,4.9,CmRaAAAA7n5yskcwkORDfwA41rYh5gxxTjK_u91vRsq2p3Kdh3IVXp1XBfKSLEigFM2CUg1m_OK7530GYYObSSHwCbBMcCtm3VGrJD3NRo6PetGaNu7GBMtXqCOD-R3jg7v3YRJKEhDMI9lLIu7YyR1Wn-CLnNAXGhRIh1tOyhIElkZ33O4hALDe0qTcAQ,place_of_worship|museum|church,30.3289,59.9401,ChIJbVFAKwwxlkYRt1Nx6jtvZz4,721
Knyaz'-Vladimirskiy sobor,4.8,CmRaAAAADqclfuo7M1AGhi32SuzSKty1D_tDpH9FNoJKpv5ZS7Js1QKRORPOZ-mITYQkonFPTFNfi4-FNWoCypmN0e7jsHSNy4VTmlES-XAK2W5fJp1Z0wON39lvNSxX2QCWKb9cEhCXJ1mkbOZGdcrQdG5ZgYDJGhQkqW1fO_fQQOaDILMNUBwmiJyFXw,place_of_worship|church,30.295419,59.951714,ChIJ-TieEDkxlkYRQ-MXKbw39Zg,1048
Transfiguration Cathedral,4.8,CmRaAAAAawBlb9Uqv5egWCLyYCZOSCyLWill4j5ku_Z3bSOgqoWScZVxr3m6QM30sbsI7nLhlWyQ-Z9R0d6GYEALbhTM7CX9rnHSI1wUZFAPHPtyjNFZiGyQvvOGDQpxfT3oDcCQEhAEsJbSIp4wzAPokVNHoRe_GhS6Xu722cydbCk0SfEarYttZcvgOQ,place_of_worship|church,30.3524037,59.9430277,ChIJ16o54Z8xlkYRDcV9asNVZog,1376
Church of the Holy Righteous Simeon and Anna the Prophetess,4.8,CmRaAAAAUbP_8CJo3EUMQ95X0x_GQFDvoPskWqHsH0OXmE0phNbhYBV2AERdwSZGBak8LkLWS-h6b6qlWSVol1xENQdeXY5G4HPjkDDfI3ix_GS6RQkwNXUxkPbUsy7bnJJE_UrPEhB8zFgujRb-Ipo7f0GubyM_GhSYXVBZC76BGPn6WZGZ3hknlChnEw,place_of_worship|church,30.3457811,59.938569,ChIJEZSunaAxlkYRwsRxhyubmso,733
Peter and Paul Cathedral,4.8,CmRaAAAALNAdOw3Hf-NGO2AN0F7MaJXwI1-X8fxqa6wjhSJ4yujGlfRlMoVJ8rMZQl0fQ1CS01k3O5xWRdOER6d6kvi7EtwcDT7Vw7o4n5dEdoxy6j5_3aIy37vt3quCK9TwsIUAEhAahK1ZqQKxgjO9MvWunsvFGhQP6UgvGoSCXP8nNGjowRgYnzj4Og,place_of_worship|church,30.3161506,59.9501815,ChIJ-_6xc2sxlkYRuWvRv5_y-HI,1526
Kazan Cathedral,4.8,CmRaAAAAwA03Bfu-jdgQRlfnBy9Mszm9KbhXXTVl1BI6akHlDEyInJ_aVNTfhdqd-uENQw1rnAciDUVEBStJxbRuhkCouU5Jiu1rBhnCBL9HZkoUpXqwlKDHz3W78MssHEtGnhv-EhDHVQ-RkXj-ldezGPHYgLKEGhRKtunt6MmS5skoPPHdseEPHibiGQ,place_of_worship|church,30.324571,59.9342092,ChIJf6D87AUxlkYRFUyZu2EH6hI,381
Armenian Apostolic Church of St. Catherine,4.7,CmRaAAAASmqpzUJiashAGiofGiX-fj-9cTnlIZw9_Ye9Fx2KSGXYi6nrk5X3UTFWckzw9BJvtpiyWX5tTFTiYuIf0SLfSJiAJq4Pj3DV_LXjix_aKEXQk1JlnbK0BjmUKXFb07s1EhAcTOIR3v9iTK7xcnPYYzwbGhRMjT6tBBeXBk5jRndOvXYX2hEBBw,place_of_worship|church,30.3322819,59.9353104,ChIJrxlA_6YxlkYREBrTs9K0-aI,136
St. Nicholas Naval Cathedral,4.7,CmRaAAAAzgVOJdjyLeyBqmQray-3cTbFm0iROvDRsi6L-tiByfxHasf4KJPVmkUf272btBJQ7V1gve_UTeSa4MW5MCdcNrcj8Zs7V0LJm1eD-RpEG0f2GZvIp5e8PzZ3dpZ2DCq6EhD9jYZ8-LPFO28V2_z1YiIpGhSzdkLiSJQiD6JykUpiTLFp5yfEvA,place_of_worship|church,30.300068,59.922436,ChIJiZt3ovwwlkYRXE4BdW4PNN8,1097
