,interest,name,id,photo_ref,place_types,rating,transit_time,x,y
0,church,St. Isaac's Cathedral,ChIJSTp6hhsxlkYR6SV9tFJytR0,CmRaAAAAt3PCTmLnGziu6KIkxMQJhp5jF-ZR4lDsy8IOlW_7nQPqiVcTxUiKUxVH10orJF-x9up2k98im5oW-SSIVl6A0RqL_KyCOPEofU0N3pYXR8KTH-OlGhXl-TXag4A2nF1lEhATq5q8UScQYeiPOouIumSiGhS8R1ueG93cKVfJIGmlYedqQ4ccfA,place_of_worship|museum|church,4.9,869,59.933905,30.306485
1,church,Savior on the Spilled Blood,ChIJbVFAKwwxlkYRt1Nx6jtvZz4,CmRaAAAA7n5yskcwkORDfwA41rYh5gxxTjK_u91vRsq2p3Kdh3IVXp1XBfKSLEigFM2CUg1m_OK7530GYYObSSHwCbBMcCtm3VGrJD3NRo6PetGaNu7GBMtXqCOD-R3jg7v3YRJKEhDMI9lLIu7YyR1Wn-CLnNAXGhRIh1tOyhIElkZ33O4hALDe0qTcAQ,place_of_worship|museum|church,4.9,721,59.9401,30.3289
2,church,Church of the Assumption of Mary,ChIJz0GBytgwlkYRZ1wf2d9XwOw,CmRaAAAAeFVTVQURaNBBCTxUr3C7MpH44QWDU0aIcNvsUbQN364KiMEIGdbY1cFHER7SbrDQnO8RUOKCiuKWSY2FNyjb5cFCX3XBXkZ7hB3THd9nyOfXlyrIJBpZyCoRInXPrprnEhDygTaeYPsXNwY4eWmWAlFzGhR1_w5lckVcXBeKYJM2gpRe7ZhpbA,place_of_worship|church,4.9,1418,59.933474,30.2756621
3,church,Knyaz'-Vladimirskiy sobor,ChIJ-TieEDkxlkYRQ-MXKbw39Zg,CmRaAAAADqclfuo7M1AGhi32SuzSKty1D_tDpH9FNoJKpv5ZS7Js1QKRORPOZ-mITYQkonFPTFNfi4-FNWoCypmN0e7jsHSNy4VTmlES-XAK2W5fJp1Z0wON39lvNSxX2QCWKb9cEhCXJ1mkbOZGdcrQdG5ZgYDJGhQkqW1fO_fQQOaDILMNUBwmiJyFXw,place_of_worship|church,4.8,1048,59.951714,30.295419
4,church,Transfiguration Cathedral,ChIJ16o54Z8xlkYRDcV9asNVZog,CmRaAAAAawBlb9Uqv5egWCLyYCZOSCyLWill4j5ku_Z3bSOgqoWScZVxr3m6QM30sbsI7nLhlWyQ-Z9R0d6GYEALbhTM7CX9rnHSI1wUZFAPHPtyjNFZiGyQvvOGDQpxfT3oDcCQEhAEsJbSIp4wzAPokVNHoRe_GhS6Xu722cydbCk0SfEarYttZcvgOQ,place_of_worship|church,4.8,1376,59.9430277,30.3524037
5,church,Church of the Holy Righteous Simeon and Anna the Prophetess,ChIJEZSunaAxlkYRwsRxhyubmso,CmRaAAAAUbP_8CJo3EUMQ95X0x_GQFDvoPskWqHsH0OXmE0phNbhYBV2AERdwSZGBak8LkLWS-h6b6qlWSVol1xENQdeXY5G4HPjkDDfI3ix_GS6RQkwNXUxkPbUsy7bnJJE_UrPEhB8zFgujRb-Ipo7f0GubyM_GhSYXVBZC76BGPn6WZGZ3hknlChnEw,place_of_worship|church,4.8,733,59.938569,30.3457811
6,church,Peter and Paul Cathedral,ChIJ-_6xc2sxlkYRuWvRv5_y-HI,CmRaAAAALNAdOw3Hf-NGO2AN0F7MaJXwI1-X8fxqa6wjhSJ4yujGlfRlMoVJ8rMZQl0fQ1CS01k3O5xWRdOER6d6kvi7EtwcDT7Vw7o4n5dEdoxy6j5_3aIy37vt3quCK9TwsIUAEhAahK1ZqQKxgjO9MvWunsvFGhQP6UgvGoSCXP8nNGjowRgYnzj4Og,place_of_worship|church,4.8,1526,59.9501815,30.3161506
7,church,Kazan Cathedral,ChIJf6D87AUxlkYRFUyZu2EH6hI,CmRaAAAAwA03Bfu-jdgQRlfnBy9Mszm9KbhXXTVl1BI6akHlDEyInJ_aVNTfhdqd-uENQw1rnAciDUVEBStJxbRuhkCouU5Jiu1rBhnCBL9HZkoUpXqwlKDHz3W78MssHEtGnhv-EhDHVQ-RkXj-ldezGPHYgLKEGhRKtunt6MmS5skoPPHdseEPHibiGQ,place_of_worship|church,4.8,381,59.9342092,30.324571
8,museum,State Museum of Political History of Russia,ChIJPXR4N2kxlkYRT3TxjlEvW0E,CmRaAAAAMMX6etFq4HkhuNScJU7rfDEQv_vLxxDSnUNh9Na9pYM5Z12r8td0WYbQsMTFLyIyuvJpbgJMCqF9dt2Za2UXdiWCMX3HvUT4R2D8uo5zf3p9Z2a__xIIRbLzY8NQt0AsEhC-Oyh9xDsDFAiQD40k7ZAVGhQBWlkdMpE7wT5EUcbF3A90cgHcEw,museum,4.8,588,59.9545898,30.3247136
9,museum,State Hermitage Museum,ChIJ6eLLMgsxlkYR_F1QoCoDTgc,CmRaAAAA81VJMJmKuxlmzJC1H452WdlB5FomnQWBNOH5R50Aqm1SN3Dd6GttEFVvU68FLv-_RrQWSbbXAIWx3p1TBEhvZvYetq7LahnfumGKOCaC--td4rPd53Luy84uUWHrjCUYEhAfkXR0tXvOeUjWeHOHM9hEGhRjR_heiLUuR_KYZgmkIOHZrQ45VQ,museum,4.8,769,59.9398317,30.3145597
