name,rating,photo_ref,place_types,y,x,id,transit_time
State Museum of Political History of Russia,4.8,CmRaAAAAMMX6etFq4HkhuNScJU7rfDEQv_vLxxDSnUNh9Na9pYM5Z12r8td0WYbQsMTFLyIyuvJpbgJMCqF9dt2Za2UXdiWCMX3HvUT4R2D8uo5zf3p9Z2a__xIIRbLzY8NQt0AsEhC-Oyh9xDsDFAiQD40k7ZAVGhQBWlkdMpE7wT5EUcbF3A90cgHcEw,museum,30.3247136,59.9545898,ChIJPXR4N2kxlkYRT3TxjlEvW0E,588
State Hermitage Museum,4.8,CmRaAAAA81VJMJmKuxlmzJC1H452WdlB5FomnQWBNOH5R50Aqm1SN3Dd6GttEFVvU68FLv-_RrQWSbbXAIWx3p1TBEhvZvYetq7LahnfumGKOCaC--td4rPd53Luy84uUWHrjCUYEhAfkXR0tXvOeUjWeHOHM9hEGhRjR_heiLUuR_KYZgmkIOHZrQ45VQ,museum,30.3145597,59.9398317,ChIJ6eLLMgsxlkYR_F1QoCoDTgc,769
St. Petersburg Museum of Bread,4.7,CmRaAAAAGFGVteXsn10EQXCJhcTDmz6oBJ9Y60V48rp0eENLPSgpQuaioNrBOXjCSAux4-CxuL0tGTaLjVYctU2o8aYOshMJ3cmkofd5lK0c6U_3Q8kDuPZrs7ceQD19Dsr65ZPMEhA4dPVlkibq7W0HgnAhXpA2GhRO_k8IOoKNWuRSw0mUdizBKUojmw,museum,30.360111,59.953599,ChIJ_____7AxlkYRWmjk24Y3ZBU,2351
"Tykistön, pioneeri- ja viestijoukkojen sotahistoriallinen museo",4.7,CmRaAAAAL0ZAj4_pxhcfUabqqwKT1Q858iMQyJ_8juurT8Y0Y4FLpSuJn3_LbA9t2tlWvsUK_Qe73gbk0Ez_mb_GdTt9bhsoNvlLnLxyx0xZnDPNMjvS9_fy2EXZohbSMJxRZdgmEhBxaFvMIJS_anR43AAI0dtkGhS2i9wefeNXemJL2eGEcqwxTRTt3A,museum,30.3137684,59.954076,ChIJKU15LUAxlkYRrErlIUAwd1k,1572
Dostoevsky Museum,4.7,CmRaAAAAudQZuJyrWzgYVUTni8Hmoyw4_DIBTna9zwIDF3HbzmaIC9oICMbBxBmDQiR57iPoSBFdFI4ggK_a1c9_QHsIV1ozT_6srzqSiCquiqFnNOHOJdwJz42qgamdTlcBz79EEhDymXqImJ-5nxb3t1qFw9wKGhQnU72Gs9emGcip4-XC1eOG48rFPg,museum,30.350661,59.92738,ChIJyQ_eoq8xlkYRh5Rlj1T8lhU,902
Faberge Museum,4.7,CmRaAAAAA1Kh1p-ChKPo2_77jLqOST1YHKGph51HhsaBaVKZh3FnkSFoinx1l0b89ShL1jcJLrD3PHwKSF6nxjgkLMIRcjeqQ1Fmoi6kkfmht_OIpkoSpQEZkbex3e3ZCx9KcIUZEhDUGKj9FHCWfbKFSbs2GEnUGhSm5HD7OCGQFfKGDo_osaJ9OBobBA,museum,30.3428812,59.9347205,ChIJry9qcqcxlkYRNfP1_NTbOX0,472
Museum of Applied Arts - School of Art and Design after A.L. Stieglitz,4.7,CmRaAAAA1GwQpF3Gy_Ja8D1JkRAbflrttS1EmXF02l2YXK6TRKU1jo70jRXugxCebPh6shGMJcO9vARRQC2PojpiD4icnC-DNGlsburtnwOEyIiKMyhfQfpbgOnDLxZN2NA0ecwkEhCZoQEYTfv0Yr_Cft6s4HztGhRMe8WMYMmAq4XNHcL6a2bsszBZdQ,museum,30.3405309,59.942946,ChIJn2d4RAsxlkYRXOvgza3wyaY,686
Anna Akhmatova Museum at the Fountain House,4.7,CmRaAAAAAfEMESAAhChS_epTTuvVtKePlS9S0v7qzahuslHFQiPtW3mHD6ER9DUip0dU3R4xxFCjX2oh0o_YpD9-Ecqvzpx23ErIK6jlZ0YmUfID0P6YSXb61bMpl8puq9jYGcAkEhA81JnsBNRnbDe2M2wVGQbpGhT10O5G-T1Kn0EYGM5SNzGqv7T27A,museum,30.346936,59.935875,ChIJo2KkraAxlkYRqfGevkyKvJw,591
Rimsky-Korsakov Apartment and Museum,4.7,CmRaAAAA157SS1ZPXaVdWoVUrivmj9H16808-GXiuhu_gjdUzrnn3ApXpQ0oY1BcMk4D4r5X9ygDVuz7LSf6OfPqldXdiyHBC6IAZx_JM2-XXDnr_JUxhNwBCQ9kP-AkdGNTPnu2EhCRk6bo24LUnznPoXgWPX5vGhTOq9p_jE9f71iQnV3fW2g2GrNyfA,museum,30.3409419,59.924587,ChIJxXY0JasxlkYRaiKX0nDLLdA,1002
Russian Museum of Ethnography,4.7,CmRaAAAAWphXvZIzewTAVUUuVtA0YLXDXnvG4zhKw1tDYg0FVATp2bYaKblFnhQ79tX7k7TUgiAiJnEiIfobFjYugANXFoGO2y7RdVl-47LW4a8YPb3DgIuYwSoB5SOqxN6qT4-wEhD8vQ1PBu3pe3ib3C1uHXbDGhT1hPvkeKRqcI6_IsyUEgx4Hrq-WQ,museum,30.334393,59.9378311,ChIJlWWLsw4xlkYRXFqyb7Vzc5Y,458
Suvorov Museum,4.6,CmRaAAAAFui3JaZ6bdifAEGiFbQqdh8I6zGmJpcaQfdqsrJcndnW-PqAIyTfYEmslbOOa-jbhMMyfB5iuDzGxUp5cW-GBPT_K7MrTggpE6O2EN1bT6jb_lqXx8YEV6uQGarM-naHEhAnRaDsqJDlndNnSoMrt_eMGhSAqnq1MJp5BAfRp2kwQUNKTy33Vg,museum,30.376488,59.94323,ChIJTcZlEpoxlkYRoSJIPfb6LIo,1219
