,interest,name,id,photo_ref,place_types,rating,transit_time,x,y
0,museum,Rijksmuseum,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,CmRaAAAANtnPAPPBCH5fwPmJXfDjYj05AnBSSwXuxf-P5pH-flRZqV3VbfMA__4Qkq_Y5v5w6P7ouMuPrLE2aFkyR8Oo0zspaHO4xrXxrsWLoaXbdBpHUYRUjre7iFfcMIO8-K_3EhCPko61FEPIol0nesSC_loKGhTcGKRV8rqb8OeX3D0IW6aLGGuaZA,museum,4.6,925,52.3599976,4.8852188
1,museum,Museum Of The Canals,ChIJW8b8bMIJxkcRtnoNhM4DvOY,CmRaAAAA3c25SB_K-2vdtnCCw6zSlwEZQ8LKPCw1SVuwSaQJ7ueLNa9hfXTu2Dyw8Tu7WssqpqUjVyKMduOLf3keJAywo2DUS1ZG2cOpnNwymrIXiXrESaEYHkN_UxKBaavS423oEhBqxB-uz4ax92QH8Hf5KirMGhSPn0g8AiNwGEnfytHCj67Al5sKng,museum,4.6,617,52.3678867,4.8862893
2,museum,Van Gogh Museum,ChIJX1rTlu8JxkcRGsV8-a4oKMI,CmRaAAAALFgqxcwr2TbvNHguJO1X0uAh6zxbM1dnx3Jrb_IV3yzJqfq0CK-6O6AALWg72PAP_uuOC0nJgnPS6MBz7YusH79bZf-4w88gjHts10M43psavgWKw4mrIknLtu2KyWeWEhAWviiA_Zg-WyCrAwToxFVTGhQbwic9AsAChb46jZnCZhS0PtdnlA,museum,4.5,1072,52.3584159,4.8810756
3,museum,Ons' Lieve Heer op Solder,ChIJU-1ArbkJxkcR_EdFqWrlInA,CmRaAAAAC0Yus5NP22EivlX7caLHAibJx7-MSDPmES-1AFLF8cDVa8Jp2MCJRJeJ2b0WIzB5pQJCXjk8oaeI8_Azlba1rQckz1sC_ggbiD3qzfVyVs70OoqBUIHV-Xiwl_k1jWD2EhB2-aF6zoL3OmLjgtlrQcMdGhTLt7r_VApy16voVEQlOYKWRZXJJQ,museum,4.5,478,52.3751334,4.8994747
4,nature,When Nature Calls,ChIJ503XwekJxkcRJMIkCYlmLw8,CmRaAAAAFjFC5Tm5sUPMtkwPn5Pxxhqd2EJeasmwbBXHHXvRfOdqUF33J2dpGtGBMiQExxjfQnQkOP3yKWfUTG5fnbeyDawS5zX-eh2PZ6lmJgz0apzvMhWQZLhmVx5x8m9LfZ15EhA5_5ijwRrA3JGm2-85j8_YGhReJ5JX25zaSofPH1zZ7g1fAvZXMw,store,4.5,586,52.365845,4.886029
5,museum,Amsterdam Maritime History Museum,ChIJX-2rTqEJxkcRhjlIZp4bqFk,CmRaAAAAYYMJdGDkkvm_QBiuOyzSDUsqH7kSxNfiRsohehEeS4zc_MPxSy15RiKzOtjKZV0cj7wDuLTceGvWVk3JEg9XpSUlxP6E82mH2c58XKBjcdnD6b-jBLFTDEeCJbtHY5OUEhCKM5oLQ21XdVGQrVVLFXz9GhR61t6P0bDSb9WpCX6tmRovl2g9gA,museum,4.4,965,52.3717084,4.9148797
6,museum,Anne Frank House,ChIJSRE-IcUJxkcRCltjPmVdmtQ,CmRaAAAAtBKsSIk9dueuXW0lYrhBLIbAeQJuMEL5ZFJf83CqHZkx0-Apn2lx1EtDDOrZM0-48JHuvJfbuPHiEjPtblzSsA7DJb7caruD5XF5qtTnmS20FTywqHrysK3XKjyR0p8mEhA_H1Mu0Gx6PMgvNbLlPqEhGhQDTruBjDz7DXX15kuvPSkQUykhnQ,museum,4.4,728,52.3752182,4.8839765
7,museum,NEMO Science Museum,ChIJm7tV_qQJxkcRvM4CYqK9SMc,CmRaAAAABPHzrA__C_PZhHsVIc6c-OH4qzouStMX8QA5gcu3dl2sprSqyE84x2IP-rVJC_YtjUz7F4yGhgyqiT6hM_bJFVtnLA8htes-ED0qeIN98fhS9Q0XG16J6s_efQbTD-_iEhBU-wZOy5oBOpFDCd-9AiecGhQd8MOVEXQYke61f4ASovc1T4jZ4w,museum,4.4,1385,52.3742111,4.9123385
8,museum,Amsterdam Cheese Museum,ChIJd3pHP8UJxkcR-GFIxnNW59Y,CmRaAAAAPRm2uTUjGVDysV7lYM6seZuhcdcAyXOJ88PQsWxKUeiIBv-MW7D8tlsbsmrvtW8vyabtxC8x1N9qBj2pQ-gnaS48s2rrPks2mNv89MwJKwMoBFOBxkkWbqcI1GvXIovIEhBK8cc_YNoPv18TXmKHeh5vGhSozMSKoy3MWEY9S-2bjmBiWpqkAw,museum,4.3,872,52.376389,4.884251
9,museum,Amsterdam Museum,ChIJT9i3G8EJxkcR8mvIlXqnQXc,CmRaAAAAlHvwRfS8EM0K06GWmg3yyCKkefoVg1MYn_dp_Fubnrax4IqgjiLN-3RAodtNEgCUD0bmmqZEJ_ntDWLq4zLJuaK2Rtsou6LgoVWeRsn34jPel1qI_NggTOnUNGHN0KBcEhBs6Q3WoS1pRHyJiXcQ7k_bGhRwDDr6be9NKk0FRT_i-hSUgJSb6Q,museum,4.3,334,52.3699874,4.8899741
