,interest,name,rating,photo_ref,place_types,y,x,id,transit_time
0,museum,Rijksmuseum,4.6,CmRaAAAArfBEPO5uSdnQlax6jm9-T7HA-UOo2wRMHZzWCcL_OOFvwSFAuSuWOzgO7-yrBaNJ8OtdReDR8VZJZYzgga7_RN3KdVQCGmNyn1zki-YV7e_5axr4zimkV-4m5oEaSQWnEhBBMPYw-1gOTVEFLNJvlPDaGhQCmET283CAO7FvopN59Ng7GPqOLA,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,925
1,museum,Museum Of The Canals,4.6,CmRaAAAAz-f2lgZeb1SquHfmvjkSobHtJL1qqEFrtqUkfSm50l4ygc6YUHcV3P64jWnecXTNQcxz54bZw47V2GcvRTT4HmRhsMnXkIj_cczAnsRgrzUpxCVdFVTKPfNpT2IL5fpKEhC8V9XJzOIATOtf6VBthA79GhSi8NZnuGjM_43W7JcKh50mds-1MQ,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617
2,museum,Van Gogh Museum,4.5,CmRaAAAAEI2LbPRkDLeZ6i6NvsvbjbuREVCD4km5PboBNAeGdmvJi4YjqwdJshLL7im6gleY7kyyJcgGaIBN6s5fRK6OYFyVMWAZ10rLgk-1x_EImz_IUIvPQrndhWM_8_TepSj-EhC2M7cxV1RVFmBZUUDRMLkaGhQFF2OVq2NHjB7UISOiD31PM1hetQ,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072
3,museum,Ons' Lieve Heer op Solder,4.5,CmRaAAAAF_1DY6MFUf5JxBDEMqxfh0Pr0Ouy0HHy-hLH0Uq9urQihm0gKSD1l6_NYoz2NNBaoHtsylm_u9ItPBGsFmXfVAKzN0midx2LpdpRJJjrHCzrcB9gST27ktXsO0BTo0sIEhBvHfKsjCT5aEcjDA77tnvFGhT72srlWl09doIlJfqvY9NyOvv_QQ,museum,4.8994747,52.3751334,ChIJU-1ArbkJxkcR_EdFqWrlInA,478
4,museum,Amsterdam Maritime History Museum,4.4,CmRaAAAAdmPyt-Hqb-gdLL5imso78Z2B1juP2jHDzIw5B7HaUe6mw_Jhhr2DN_VMAGZEOyVqyLjr6HLjN3oWWozeoEK6OsoVW_WpOibMGmTziL4b-LTnojDW-Oe6e48cOBw7Cae2EhAB6VDAZW-l71l2JBmPA1bYGhR5TyL3FpvApyBWjL7CL6wE-aFJpg,museum,4.9148797,52.3717084,ChIJX-2rTqEJxkcRhjlIZp4bqFk,965
5,museum,Anne Frank House,4.4,CmRaAAAAG-1B2BULBjPnIoOOPlaH8K98wUcmYjVqtp4Pem3AfVz1dnJM-aI71Ge4W-hr49kGYmp9U1ZCqye5YjGOpu45DwtsvJYgqP0TwhU7MVEVjpvBMWYzxPWKIzdb-0LG4cc0EhDinhPlZiMxfC8jLXrokKGEGhT4m0OnNSldKLedWxk2_tUoIn1a7Q,museum,4.8839765,52.3752182,ChIJSRE-IcUJxkcRCltjPmVdmtQ,728
6,museum,NEMO Science Museum,4.4,CmRaAAAAesP_Peqtv7z70Cfy5ox44U1m-zyUACLDFi1afSpzwitpJ73kIyKa-0_LflZFRZNuM6R7-7Gu_MGTSp0-vlCEtbSRaaKXkvrtov16QQR_Y26srkIOLvkSKv7rPwR1MvdgEhBLZRh44S_H6jfaOI_68_wrGhSqZD4kh50xbB3WF01doR3VRnWUDg,museum,4.9123385,52.3742111,ChIJm7tV_qQJxkcRvM4CYqK9SMc,1209
7,museum,Amsterdam Cheese Museum,4.3,CmRaAAAAoaRF6yy9oV-Ubaz9Ld-BM1ySrlmKvL8YDdRDC6vrF8lzTLbEzhLsP-wo6Wc7RDmK80e8QQOKtoKJD9tDpnNL_IcPiMKf9WxW9I055Wy93ggJhaJ-2ZcKvL4I20SosbwNEhBZa2Z1qA6Z0jOHHttBItJqGhQF0i9cCGBZ6ONxv4j60PzvYduEcQ,museum,4.884251,52.376389,ChIJd3pHP8UJxkcR-GFIxnNW59Y,872
8,museum,Amsterdam Museum,4.3,CmRaAAAALwL0rNI4ZBChxRuNRhfmRL7h3F8U7wk2KUUdVcWEiO43856TA0VbSKpAaXjJxCzJnlgwz5iI0SShvJpHXxUH_wWpPWlVosYfd7WiEn7yxuWBDIDOeLuxubZOweOoIgIbEhCnpvXXW6hozIpPrRE5O_zAGhQ9y56d41LCUbj4yFvmQmUE_ULaYQ,museum,4.8899741,52.3699874,ChIJT9i3G8EJxkcR8mvIlXqnQXc,334
9,museum,Rembrandt House Museum,4.3,CmRaAAAA1fGBU17RkJah2s4PixVYt64xTjYxOgdEa1Qh8b1l4ZlZpkPLjD78ivjE4pwvRFP4Ez5ywckgdaCxSdfjtDnnjfVOJo7Z9zfx70deGcplZ7vUV6GOvLIpENVjlxrgXbqKEhAdM4LKoFxCkxpEWfaFV29VGhSrohIfOcIoy4jvwRyPUraM_8ZwRA,museum|art_gallery,4.901235,52.369369,ChIJ3063hr4JxkcReck8pUAfYXc,345
