,interest,name,rating,photo_ref,place_types,y,x,id,transit_time
0,shopping,Dolce&Gabbana,5.0,CmRaAAAAPvJc5veFdGcxqrxGz2buNGvBnheCUgrddAZ_J-TrexZL08F8XgP7sKKMQecv0_orC4ZEgg75JWx2GyOJwfxhFnfpwljga4MZe-esOQNvsRb3yaO1bfxt7WT0djRV2p7DEhC0TAY0QUfn72NQ-DjXKF0PGhQoqeSpZO7frn2NJuKwG3MzZohF2g,clothing_store|store,4.8786643,52.3598899,ChIJ4fZ3Yr8JxkcRF6bLqoSrFgo,1185
1,museum,Rijksmuseum,4.6,CmRaAAAAkYwnm5u8iPQpLXD6tXjLQ7pNHsl9FUGbaJdwHBcgAY_8MSTNY0Wv0SUbL5ZHCXZFYVkN7XMil6-W5W9Ag7SiRegphitwzlsGkupMDV_D2459iWefSVkDH2_ch34_b6jlEhDFOl570kxwABvQNRy6COBQGhQqi7H85_o1c8Tepthz6sZFGXqd1w,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,1032
2,museum,Museum Of The Canals,4.6,CmRaAAAAcsAhO_t8jFCiouvRfurWsK3HaZphnLcAaoYm4i8w93C1TTK6iHCWd_90vMCZqnXU9o6ijOOz-EJmE-YWcozxvC_ygGgk281UtRaxwbTvHhkNLD5GUeN8o1T6asaJMcrgEhAYLiJ0yQ5RhQ-I94Sy0dXgGhSymtZccrXBfzBmeyd6YZCUOz1AWA,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617
3,shopping,Lee,4.6,CmRaAAAA8laCZUonQlQyxQEvjBrLH82vWJDo4QvHIwjkM8dktnIY9kF5bJ28qP9G5dyzGDoTp0rxaYNJWPXHNQLu9sL34XdR1BNcCMEZeu2DGiBwQpGUwAaJP0yMCJo_x1iMfprREhB1u0NYgW1YDE8Don-RFx3sGhRh5ggWuVAnkNFryTgNOppb9EHrJQ,clothing_store|store,4.8861521,52.3703939,ChIJe4nAsMMJxkcRKI2sQPU0msk,506
4,museum,Van Gogh Museum,4.5,CmRaAAAAF3y7r5bfWs5saI6x-QrfIukdPF5HkSjJQ1BQ1zY0NXE72K8yaXnfV-53tQfBEtaasEDSw_Ds7yCz9sbdPjucpO0knrDwIN_AyCpTuXJtJgfxhUEVO3zbxIGmZ2gXWJTkEhBeeGIVuclcMzMdPhkrC3CkGhSwgglYE8V8k2qZdeff0tK0-OSePw,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072
5,museum,Ons' Lieve Heer op Solder,4.5,CmRaAAAASmNX1_SJj0nsLD2SP0yz8rGalxhKI-ggznoKD4_aVLVNbH6p0w4eYKIe6vAnjq6AAfhof-oIGqQDLMadle1k-k633AZTON_jahJ9bBfB4c7-231WY2gmNKrBXwPJkxjpEhDPZya0c1sSUpp3JdB2Z90_GhQ_S6q-8gaw9mZzQXZC_h3U_HMHrg,museum,4.8994747,52.3751334,ChIJU-1ArbkJxkcR_EdFqWrlInA,478
6,museum,Amsterdam Maritime History Museum,4.4,CmRaAAAAz7FrZhy4TCTbe_7lR7f4WgsCc0r1mQkEIX4j67n7aCJZbAHnNoyOwWXIwCFBA7IbLSf96ixW3KA3LCrdid0C53o2wYbeBUUvUkeHEkQxCVNsxqCLUSoJ5iB9nwQ9bBehEhBbXBu4X4J4t-XmNqKylYA4GhSsS471y03c3yaAvFEUOeGc4iVQfA,museum,4.9148797,52.3717084,ChIJX-2rTqEJxkcRhjlIZp4bqFk,1009
7,museum,Anne Frank House,4.4,CmRaAAAASxbMVHdu34M_X6IRhTdJl3tXR70pui4y29g8WEkbJkETfCvs1G6w1ufTxI75BvTkcUf3vm6RP73Ym73YSncLNrw1l3pmn6vCLCZNz3wak5rqvhgr-5I_WeKYM7SA5vFSEhCBH8bVZX-8cc-rYPbJwABAGhSeiShrXYBeQSrYDsnSRZ-wUgQdyg,museum,4.8839765,52.3752182,ChIJSRE-IcUJxkcRCltjPmVdmtQ,711
8,museum,NEMO Science Museum,4.4,CmRaAAAAzrVO5_FgPGebJ9xDREEqsGcp94DCdGE2qbuDFWlL_hxySskr1J-lEBIKgv0AT0x4qJzp__UhiEW5eqjHYXmm8PNQVxQEHOFk5_rXE8_-S-qOnQ0aNCBDXj93jlC1y5p9EhAiBnJiK4f9UV9g7lOy3hO3GhT1zcvlpw5iSWG28jh78WIYikcqTw,museum,4.9123385,52.3742111,ChIJm7tV_qQJxkcRvM4CYqK9SMc,1351
9,shopping,BP,4.3,CmRaAAAAEfKsi6eJ_C2waOrKHEutqLKbMsGrXb26fcwC8aUpurS3x_26bvrcq7c8QsbtX3FtDktybuBPjFTt49aWKpDy8bm5mlWDjTsGu-unvPaoTnZmZUTpliuWnEjSKZ21r2Z0EhDIALZx799X-jD--FdVJ_DFGhR79bG1hXSgh-PWjbG-sRycyBJCww,food|clothing_store|department_store|grocery_or_supermarket|store,4.8926094,52.3673072,ChIJfTOXE38JxkcRKilvpQN0ljM,439
10,shopping,Desigual,4.2,CmRaAAAA9WEkHtVJaAZeNLFvuDcmYlI10j-szO7ALLmm1kJqV0OLm7gXDl8p0R6aTKh5NEJLG5WbQyYxHavFCDCp23RnZ1JG9KJo3qkapq4w0pCYR0fllPWdUuJQHgKRpvrwpYkuEhCC1TFLfCF3sP43hXAeRqSOGhQun53gRXyyHWpd_C6WuknO-2Xw5w,clothing_store|store,4.8915133,52.3724406,ChIJwX9E1MYJxkcR8ssW7CXhhO0,394
11,shopping,Michael Kors,4.2,CmRaAAAAQwQkVIyYdAIng3FKgnmRY7ABCpgwu5OTgzsjhX_9ZAgxu4XrDGikj4fuXwDjIttxHZA7_jYph6ERXY7s_ps5FLCQl0bTiBo9xVCEzXVYc4_LGMOeF-3E8DLMLgiQe021EhADYCsgqPaUVHw3FzuPDtyqGhSiVziMDzPCmLbt4qKEinwzTNOhxQ,clothing_store|jewelry_store|shoe_store|store,4.8788769,52.35963,ChIJB1bmm-UJxkcRfHJ3cxwFQds,1136
