name,rating,photo_ref,place_types,y,x,id,transit_time
Rijksmuseum,4.6,CmRaAAAAoqKN64zGLHrzHmydJtLVtOCNCpdW0I1qcK9CLDpd8r1qLZtZ5SuEC40kkCUfFCCsNkexwtwOGuAvMQrLuXcwVwC2-wv2vgSs_OOmMeGBCmEnOv2ALbtvnKvnqDAk6yq-EhD3c3JAPcMvG8QpfavumcbeGhTf5b5pCLRZJYVKaMJw6O3SrjowUg,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,1032
Museum Of The Canals,4.6,CmRaAAAAnxbwrqHcUvQt3crto61-j3s6YqrZ3ac3y1Xy_eRH9j22i6TqIN1obZV1F-hpaHqSsuK_A-wpXCTtYqe94bG54nUmExKVlqxMURAj9hA6pTWLLDG1Sa6DBhRihRRw81w4EhCUk7I-gaMUsWtTNNl7tTk5GhRN-QGOsZY3w_pmLS9pt88nI34xmg,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617
Van Gogh Museum,4.5,CmRaAAAAWn6qEv4dC37Q8iFF2iKAPdF9GeKRGkM8Rw0VKhkyb6ZKJ_rlhZ1RR8v8YyzOOKvASh9v9lQU4-i-iBs_kMK5cEirPxxeVNNDH9SsT9_xTI5dXqePJjo089aWjjTqgaC2EhCchMu68DroKirhLCQ7ioMRGhRoBIo6UbFpmeOVd0jqFQbfHdPDNA,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072
Ons' Lieve Heer op Solder,4.5,CmRaAAAA7E428Ap-iu1xR-NABXfWCFF7oM-81IK4_WShyJKS0zkqxIDS4ANzuEU8YhjWTpwGLJ3L92pjsQxeze6ZEBIZ44MVfP-R4nH8le0w1W5p6JZtsL1eg1B10uWi2FpmO74wEhAkp4GhZjQ--soDN6yWRrfYGhR6Qpb6OK2c62kIrBQeEl7YydXBVw,museum,4.8994747,52.3751334,ChIJU-1ArbkJxkcR_EdFqWrlInA,478
Amsterdam Maritime History Museum,4.4,CmRaAAAAQZm4Q0VrWasr7OqT4uBLddhvZs8-Z08pwklaVIWM7FY-_OkbfzJz242EX8OdSO8dfjujluLo26TVUJZM4KaOawtexBqQHzXhIITxbxF8mV2TXtrnOwc6oUvTkHOYVkVHEhAINQEF-QIE_aWMVVcTmk6BGhRdWRyZJHqUopxag5USC0T3dbDNEA,museum,4.9148797,52.3717084,ChIJX-2rTqEJxkcRhjlIZp4bqFk,965
Anne Frank House,4.4,CmRaAAAA5JI5OVqTTGgjFc3VEPF2STpQvQPv9E-eqhqLDRDAY-qlbxOK7QlwPxz0s56Hp1FiHp7ZECJoILr166g6eC22wnEu55QZg8YFZJS_H16n9xbnwXzbVnvB_TGiLpYvNmiREhDkjDLU56xYTJm2mYrnmOkGGhRi6zQrID7T_loiwwhYZzkSvFc3ig,museum,4.8839765,52.3752182,ChIJSRE-IcUJxkcRCltjPmVdmtQ,728
NEMO Science Museum,4.4,CmRaAAAA01OSNohHVx_ssC-Rm_0lAfWZT1Sh1BzdXECwdWXV-_BRaAhAR1b9A5cUkaKbUY7l2JFstu8aCg9CZ5M-IUikOebEHWl2GSnqKCnfNwa5DswZ0vy4usWcv8OTrjYTV4aJEhBOpLdSmJ_Fx7oro-g3Uy0VGhQtM0xnQO48kOjCIDjhaYUTBiTXSw,museum,4.9123385,52.3742111,ChIJm7tV_qQJxkcRvM4CYqK9SMc,1351
Amsterdam Cheese Museum,4.3,CmRaAAAAbHFA-yfEnbBNKtT4LWYHqEbEoAZ6C_qLibOG3Sf60NJslIy6gruB_mrP5gyXNKIMh4fsMUmNZSCqBTLjq5WLFV6dXpKTZ2ib69SSI_TrH4bl2WAHecej36MRarZJHFRZEhCyw7dM5G7-MvbDo9ZsgtHHGhSIj_oC_SVs5rTj4fCOF42tsRQp-w,museum,4.884251,52.376389,ChIJd3pHP8UJxkcR-GFIxnNW59Y,872
Amsterdam Museum,4.3,CmRaAAAA7BAhd8pNRziPsg11zSUZE_FEyLo6-e1jMINjNXNCXi9ogRHdBG0IJ9ZY8Gytbi6Aq-9B-wv7b67-5AUmFHuk2NUCIgifYA_uhIhX8ruv7hS-UeYLqWg53jRsygXM4xrcEhDyx0uHphfWegJDUaBYuSRQGhQylmaKcO7wQ_8pd1-PO-nGgCz4WQ,museum,4.8899741,52.3699874,ChIJT9i3G8EJxkcR8mvIlXqnQXc,334
Rembrandt House Museum,4.3,CmRaAAAADOPZ-BPDUgZubgRJepPvNX-0O626IyDOVvmF6XR3F7CcBvNHHPwTUQF5xMsVN0ld3BDQ8Px5rbWEVYqFZvPEXVFd2VFmT533w0PRI-JzRqFbFkrfnV84QBw9hDGi_Fz7EhAlOhnyB0w3mxwarXEKvqT_GhQCmpq5Rg6tEPFa4G_AgGSMgRcFtg,museum|art_gallery,4.901235,52.369369,ChIJ3063hr4JxkcReck8pUAfYXc,345
Museum Van Loon,4.2,CmRaAAAAlfUmkJVsOVw2Ai2IUzLfN861VQ4JaAg_M92ngKJLEoEHStgMRn1fktMiiThL6GAYUx2MNSe6B-8qXQWmVmTErkPfuwjHYnTe9ITDk3eY7A2U9xmxVuj_k8TNeFABB1LwEhCTCdPL2iWYex6pnWVaA3ocGhSpEO-hCfJX4aTNWtWV5uJ33BRM3A,museum,4.8933806,52.3634433,ChIJ7yVILusJxkcRM5jQ3EGcTKM,691
Moco Museum - Banksy Amsterdam,4.2,CmRaAAAAVG-QQcJyQJLJ9-I7zGYZbHs7IERNtiiM1RpKyy0L41Rz0FiqsVBbdnjFTqh9_n5KA7Oh7FGlAmNj3TWnBVbuU-PCKaQOHvdp-JsQl5-2AF1CPinaygj0HvSTrKjDZsKGEhDI7-FCC5gcAFA5FoYC6TyhGhS58Eu1o5zwlq1Sj66crnyZ-waqAQ,museum,4.8819019,52.3587098,ChIJRTx_o-8JxkcRKLAaBcWCq5w,1010
Jewish Historical Museum,4.2,CmRaAAAAdxz5k4T6-zwAHYFBCiU1TaekL726gfKX0hm5wtkaUatClHZTAU4c5dHuGqFqRpwIov1dacLiL4HDDeYB_4NeqY1FRRL4LDz5zt5TLsrDyllSRQbCp0hat8k9tF0L86fIEhAZ7hhOdXxQSjXimfmIcSxQGhTDvBgyc82bbNv6ECCphILpX7eGkw,place_of_worship|museum|synagogue,4.9038155,52.3671182,ChIJo_CNmb0JxkcRfXyY9FDKtC4,526
Museum of Bags and Purses,4.1,CmRaAAAA7mlMhN56lrZ4Gi79NB4rQgJ-FSkXm-p4tOeDDwuiOZEgmF3N_Ca8jxaoncIYU2QP52oQVnJVziFNQk3L9SpZOhJs-Krbg5y9rTZ3fBF0FlRkP7NyxiEahFQXyQgRW8TfEhDpyT_3dJgtLkTyhS3yDotUGhRVo8oEmW2u_wby4Y0Ld9I0_sSR7w,food|museum|restaurant,4.896824,52.36527,ChIJuQtwDZUJxkcRMrRRjcba2jo,513
Museum of Prostitution - Red Light Secrets,4.1,CmRaAAAAnMWawFTKwt9wp4e1iTvKJmsMY9vZ4sasB3A5bDNEnDy9yZKq_V7IQM2LqRNDSrfy1X5bfMLsVHpP7e8qsLJB3CnpETgqVDGPxKP4El-8iaU89DvYTO6smUmMs342wY6KEhBPF5CyiC5VnMbEpcS2pjmaGhQA00HQ-gRKeDwRT59Q-1Y6HFoaMA,museum,4.8990206,52.3736815,ChIJU-SBHbkJxkcRSSxkfBFf3hw,340
Hash Marihuana & Hemp Museum Amsterdam,4.0,CmRZAAAAtCpf9Wb9v5xvLNqbpYceeofihDnzKrwI9q6_J2hymyYKLWR2pr0AskNJgGvdfe0qnkWgqKYQ-HGb7y7-6Nz9CIXL47CCWRZUBkXbip5sa1IuzB8PtSdHto9IeHSEeazZEhAxBs6-khWU5T_a-W41kOd-GhT8y21LzSALZ9pAluNWyn4hfw3GvA,museum,4.8969197,52.3717805,ChIJA969Sr8JxkcRTaO3CDO1V5s,155
Allard Pierson Museum,4.0,CmRaAAAAr-fU-HZ0ZdSOLD_CunqK8DKwfVls8k9t6ASTfGhtqUj3K-paK__tCJYRp3ZIZpLLhO2Qm7216x9S1jWO7xpI4Vq06pBq8EbmXk7656WMh_ng_pwl_92JwJJ0vcuClra6EhCwIqCJr72_ZkmBjFS1_KrZGhTPgBftA08eIJqzBUSgsySiZ5s8Lw,museum,4.8930311,52.368732,ChIJO7i3XMAJxkcRL36dP9jWCu8,250
Houseboat Museum,3.8,CmRaAAAAPvB7Wgo5DL_IItOxh8CR94YFe5x0BCxMx3XOlgwnGj6RoLHO-t6LI5sCe6Nlxds1xPvjCJSZhm6cOfBVnDbyzuT3v2KO3hv1eZb2x5UIqU1_kSr-F7vkbXPDifb_4zNpEhA2Il2rru5Vmc8uOIjWOLn5GhR3m5NzHAYkEIsnWPaUA4HySzuoMA,museum,4.8825997,52.3701394,ChIJ1SWGspQJxkcRiv7l-usVSBU,709
National Museum of Spectacles,2.5,,museum,4.8877537,52.3721531,ChIJ1cNY9sMJxkcR6a-8mClI_Cc,583
Torture Museum,2.5,CmRaAAAAl8M9MDVhdglni_CPqsG3hJJv2LS4GQUuM-ABzbqxYlLgj7OVGlb8iJOF90dF4oqMNfLF2EwrpsiudSelSTQHyLkB8i0cbd5Gjgj3_L1UyhJIOtPBFQ4OdG93pAS-ogriEhDJc5qwztwG543GccRru62_GhRM7Nee0irDYUQPOFonK0ffh5zI6A,museum,4.8906332,52.3673549,ChIJFxkh0cEJxkcR7p1_-2eUYS8,489
