name,rating,photo_ref,place_types,y,x,id,transit_time
Park Plaza Hotels Europe,5.0,,,4.8723783,52.3378157,ChIJG9cJuQUKxkcREXSKemxJiLA,1362
Science Park,4.9,CmRaAAAA81QkywplOynSyMrVfoX32f6x6QlqZatjPvR2TPlcaP-qWa3IJFizy2i532EJncU1hbLDK70INd07bQp_uE8BjiZjrru8AZw44CtSBB2KXdh4vrwoZI1dO348ZO3NEZkXEhAWE2_g17owjWHykqVQeHkdGhQompo0DMPlpfqVqGiYM6jxoyVvEA,university,4.9540186,52.3553427,ChIJfRjQ7EQJxkcRhUk-uSK84Lo,1496
Vondelpark,4.6,CmRaAAAAI6p_JrAN4whMjsSbGhLfIdpbQHdQj7PTYp2n9YNwkGAWqnVGf00ggAnBR-ezPiMza8vmIKlRFmC0h8QoQy8gLTJRLt9u86KuE1-hvm6cWyz3eNHFjRQmo0Bc-KZYIjhJEhABWrZy1JC_Fr9VuMnINUCLGhRaYTJMFh96hHroNLyXzOLm1QwADw,park,4.8686484,52.3579946,ChIJz3y0xeIJxkcRNcogBVV41Gw,1359
Beatrixpark,4.5,CmRaAAAAsCh7zmmaITnSgErq8LJhsW09uL5l_mYwanJfh4QhhWRWLlzBrNHri47LT7XiCnpLQ3pTQ_4-OAPTanDsyYpGXVL6OUFiC4ePdstbGrzDjGNmE9imh-VNpzIiWdtHLknYEhAHYBN0g1iZB2JiPRq8JirpGhQzV1F0pERPTRHGg0Yfe4-E1oi1SA,park,4.8804617,52.342989,ChIJZX1IThwKxkcRCE88Y-y9Y-o,1622
Frankendael Park,4.5,CmRaAAAAmV5svVsIAmAmqAvAB8cNTSanfxK-AUs_otVhqBc_q_Erw4mN5xHIGt1f-S6Vi14CAUAAO0RvP7es_siyro_oGlq7MsYbcvyrR5CYa4cZ2DEyOQmCrSXf-bJNTOklwbSBEhCXEoSpj2SrFEV5iiycXznxGhQwQtn-45H_F3uCLBmVWSFCra93lA,park,4.9308048,52.3511853,ChIJs4UXQHsJxkcRbpshRTz-CIY,1388
Westerpark,4.5,CmRaAAAAG9F8i8ajVeFfSt83YKkndsm2DxEZsm28Rd_H_6-HLmLMnBemtyGxYKmqg4CGpzzXyTIuBt9Pmk5_I5sPj56Dmk40W8oRn5V4E8OmaFr4-WO5rSqYihPrHK37mlowMCOoEhBIHyO8BUd3FGfTNTZSzkf8GhQnaLuWx6X-3iyrNx4svg8xZ9x8-Q,park,4.8778345,52.3861558,ChIJkweMYtMJxkcR19hz7lJVRVY,1371
Rembrandt Park,4.4,CmRaAAAA26Q3etdM20r8uenb2omkUHM3XafNX0NSTU0iMYykdyxya6l8uiJ3xmxGIOY5MIwVJJUYo_aqwP9zbRp-NBixLQdiSM3R_uu_eoIud_3edFNS_bbJ38ULfXCGmMQRuuhpEhBrVjdrYGTPgtHsBaQNUzmLGhRqOPCIerl2aWYWHXCkWOxcY4iDUA,park,4.8460586,52.3646931,ChIJ-e1IGhTixUcRy260F0WUXj4,1763
Boca's Park,4.2,CmRaAAAAw7QvDDpy0kpzSKHhPatWI48DXA1zcKxnZcHxpG0Vo3EjxTJCJOWkU0X-tv01TpX0WwS75Z6RQ3pNVn7XIqy_w0R__nMooVa1sHOfPsbKy1ejwenYkKEiThmVYFWF_xhTEhDwt7n6TYeZ0zG7sssPiGV3GhSjwjwj03eHK7pCHnpYo3nC8jqs3w,food|bar|restaurant,4.8936293,52.3543618,ChIJzXQPPI0JxkcRzIP34_oUpYA,906
Noorderpark,4.1,CmRaAAAADwWnJVZydcPGLOYchymZ7m8wt4h-s5IDKfe3zRF9DziJ-fe3ejjMYhRP35SnStT0xbKBh45DdYGGsYjapX152Suv7e9ajAqXc_kVWOFK3jtW_P_YOxYFJo03oLbz2FZDEhCeCFKpER7KYxg09ciX8CxDGhREGONRAbBJPp9FkJKsDH9vU507Rw,park,4.920086,52.3958678,ChIJy3MKglYIxkcRb-OM2GyApmo,1700
Park Hotel Amsterdam,4.1,CmRaAAAAWbmmIwr9AeD_-utSa0HaVdYoxqh-oHVajmHFbQwVWRM_85Q-a9GObz0cunAQxFHlcc1Y6V39f83CWbBAllSFrfPnWXeMlyY_JK_k5H-eMKmU9FoHJ9euidGMQSrzFjoNEhDz2MwJTlqFF79k8giBBxZqGhSHvM-eSIaWkxovfF_j9deTFMRzgA,food|lodging|restaurant,4.8830309,52.3615846,ChIJwaEiMu8JxkcRr9M8nZwy0BQ,1048
