name,rating,photo_ref,place_types,y,x,id,transit_time
Dolce&Gabbana,5.0,CmRaAAAA3xj9orBOKa1j_-EIaBdXygZdPWZ1yY5cb1OnTwb87eao2sQj0wulMvUgWZmdjx8y5-Tobd3ALOZZyktJBVnFDOgByimN8gqRA9u51VayhoOh1GjRgFrNC6CQLVEjlFS8EhCNu9KJWMvyZQYwpErVN7CzGhQ2BuvNjH8o4fRRIyj6wWqipKv5NQ,clothing_store|store,4.8786643,52.3598899,ChIJ4fZ3Yr8JxkcRF6bLqoSrFgo,1185
Lee,4.6,CmRaAAAAKE9YYA4CLRZ0HqZKVY4mi_5l9HaVNNOGl5Ygq4cNZR8xA9HYs8K6eYng3cf_TuH_HczvEK55X0ffpUUZ2Bv7Bo117jRhnHcCdZoeey-FEPDH47aQYH-W5DbcWP-9UVmREhDXHuYYX_DlgqxZ48srvlpHGhQEETJP_pnjsO4HD_sKiVlI803BmA,clothing_store|store,4.8861521,52.3703939,ChIJe4nAsMMJxkcRKI2sQPU0msk,506
BP,4.3,CmRaAAAAJosixsk7i4WLd2jmm4KYCbA5Ecrp18sI0gIgVbI21pXndrXPQgVBap_iWuWhk4JbXs6Bxcioskt1iOMI3uk3Vt1JNDnhrFvll7eDm7e9wHZ9pT_pRwT2mTejLRSnotKcEhAfHD__YQD6k31hxK1MWvIqGhQTCBFOWLskGwpRBbPofDjgATCcqA,food|clothing_store|department_store|grocery_or_supermarket|store,4.8926094,52.3673072,ChIJfTOXE38JxkcRKilvpQN0ljM,439
Desigual,4.2,CmRaAAAA1vhbiyiJ-cuuT7GAS69qxmqvtW_zfWrj8QIHuJMvgThOGWJzVPRR0RugZSomsrTBfLlQin_-zn1f1HIw7ohDOVBTUskk91z5b3Nqto-Jqi5F9ljOn5it4qg6y-Fi_V70EhDUz9Tzri3wsTVKTewsipwxGhQDqP8kQpEJ2rn_JBxpwFbhnRS1Og,clothing_store|store,4.8915133,52.3724406,ChIJwX9E1MYJxkcR8ssW7CXhhO0,394
Michael Kors,4.2,CmRaAAAArrlDl4WoWlj-jfgpm0bi0vJOT10-kbLG5aH64lgOUZomaWSXHjP3DO1GeKUFfSBxrxKGpV6vhe6im0ZEnpZ5BV8Hk9uX8qMjoKmg2TzLPEISWe848MQCviMNgMFuD0cbEhCy2luz-DeGzXLcKJbGYzAgGhTpB40Ud3f3X-zlmzIZwJLFcqmMKw,clothing_store|jewelry_store|shoe_store|store,4.8788769,52.35963,ChIJB1bmm-UJxkcRfHJ3cxwFQds,1136
Paul Smith Amsterdam,4.2,CmRaAAAAzxJXR7Lq3U_CLfvd91C3vA0a0SSzalYDorzyAO1t3uV2EHEGFp_08j6GJydrzs0MgqAOJszpKVHO-FXdQoS9ZjbQ2H8wX2akUdWVFZ8atD_O6yewsmnyB5hDVij_4tItEhB-U67ktU9KuSjYJFDrEILVGhR0m6KmV8Wt5u9iIxkKewvCd_tdtQ,clothing_store|store,4.87814,52.35975,ChIJhymRoeUJxkcRbCOFt5kGBYE,1137
Patta,4.1,CmRaAAAAnM8W56kOeSUS9ObSGCH__Oa0DBCDKOS2el2SA2ZtX9JIibgpjXi8SqG51rJc02snB24319tjdTNeDuKPq6EChY7FuOBLqD6Prv5kTGHfhFfGu1QHrpcAB9H4rKhRdGhcEhDVNAL_DiBMELwD49c5941kGhQNHv_ajeS3vaRmqVpAGnloRenjzw,clothing_store|store,4.9009497,52.3747633,ChIJ07lKX8YJxkcRD1fHSz89E_k,484
Emporio Armani,4.0,CmRaAAAAVA1eU_FXandnCd5HO_wjkqMn78B22uiZeMMxPJtr740jp1JqBb_RpLrNscQdMPS1EZrmp0A84UA7TNazbtuXpi3hISdDeqrUOaU0QVh02D3JijKFi8-cij9vfE-gS6_DEhB8qL0vFUvW2duTeMfF2zBpGhTyCqmi82QpR-coK9OTEoo01pZlLg,clothing_store|store,4.882326,52.3605539,ChIJHTGVPe8JxkcRfKoTKL9H5ig,978
Winkelcentrum Brazilië,4.0,CmRaAAAA2ysScBdPGVM3wCukeuiJ1GAw6H_czvq5tqDB019j_jgAIYeZvxSf6yIlX060pVxXsrsXotTkOGjUAdZpPnzqC6qMdFYHGnNb9ZYWohKi9qiCBMFLNIM8lM1_I7K5kcrEEhDhzt-jYEUq85MK-fWS8WMGGhRNxURuDW3Hl3qHyqs6Ukqg9niaIQ,shopping_mall,4.9386469,52.3740139,ChIJw-LtFxAJxkcRnfZqLkJOlxA,1511
Forever 21,3.9,CmRaAAAAi_86hrOTJUz5AYxYllzvzg7hZORPGB1Sw_lbXlb_SJK9B2q0bsewdeetjL4nFsQxu9VuqHbBE7DZtC4i_Ve_iMnV1n9NgFAzffCaYL3LvT-xgSEA-cdwV7HUkJ2brhydEhBUBzTOUHa3qH8TczHOjHWsGhRGo1EDvWgw_AaulxGKpof9V87PoA,clothing_store|store,4.8921073,52.3722208,ChIJC-kZ1cYJxkcR-FDE_bsl7YA,309
H&M,3.9,CmRaAAAA1UQXa4Ewf74Io1IgTWqM50h3GR34yc92vllaQqG84BbL_JgvrQtI4QRKA2ss4Xn-PfXjJaLjURT_U0kEUVAerHVD7VXqX5BABhohd8ckCFkSIX-PXtEjOoXcGc7QYm6kEhBrzbMaGHBqt1LNtm8UilKkGhTbrf7TDs6xqDOK3KE_t5yikzTc8Q,clothing_store|store,4.8911976,52.3691342,ChIJcZcq-OgJxkcR3gmThY4I8M0,310
Abercrombie & Fitch,3.7,CmRaAAAAgkZVkp4Uml_zNLMYlfRg9Nmn31-bh5xz-VQlKLxdx0tnlozaeb2Y4mZ_k32s0r3lHJk1TW59ZjOiF0lnk-a2yW5VHRmJkbbTLDcl2Zs0P_VYLFH_DrJKiuuaHpfv0Ae1EhAaY19tzZvkB0keQ8WSFHBgGhTSM3-1OPWUBDsGtOXcrovQG31akw,clothing_store|store,4.8869266,52.3663748,ChIJa0zo7ukJxkcR3tryAQh8izU,630
Magna Plaza,3.7,CmRaAAAAenO6qIfpNutnUh6u-1iyRPRIMjPW31N_TM-BHdYm5a8jEXGsKN0U_YL629mZwrMxbvXj0xm6zd8M7kh7GjxyDCT8NNjrQ10b_vOtLxyCm-jT9emeRrrU8pOiEl8Ly365EhC8oVdjAIcWInzR0YGY0WONGhSdRr2jESKuof13AtkUp57tIbyXeQ,shopping_mall,4.890468,52.373621,ChIJHVOMlsYJxkcRc2CgGQK4N5I,522
Mini Shopping Center of Cool,3.4,CmRaAAAA2ByPIK4gFC8Kwo9jbq2tl5Enxe16dVPmQ1W6krXsyxEFZeF96cXo1E9r0d_YnXCS0cHpVol_JJsn-4Q8TNDGPoT9PENzLGseQyR7_rJo0iwbRHjN2w7g8CgnwHM37Yb-EhDR-DoeW7fKt9OzVEU1L_j_GhSRvD8eHdgjiDnK-swWSD-ALbZrRQ,shopping_mall,4.893016,52.3743142,ChIJ5Wp2BMcJxkcRhHMuWWULa5c,482
G-Star RAW Store,2.5,CmRaAAAAjhSEa_-s1V_lz_vjV8nUIf2y3yWh-_KBii1z7-RdeMVQgAYKOsj3K6a_KQiIXi5ePzP_wqDK9GmQtjyPH09UZ87CH9E8zB5sebWwoEH9X9jSwkLZT325vKvPgJtxIiwWEhCEnM_QgRFqbFZRESU4CCauGhQit1b7k-omd6Tuzlon72shsgwtwQ,clothing_store|shoe_store|store,4.887591,52.3663352,ChIJf4bD-ekJxkcRCOYrNTiXdGk,614
Karen Millen,2.5,CmRaAAAAVcKlYqPo42KycvpUNgrltZObexD8lfYAB_3bgCwFDTC0hZNlgcb08hvdEiKSdlzvx8E2-f2DEcJCHM6CtFwzSeWClJuxRcgpIdsBQ94MqJPcAGsu-VULR_6BS6N6cs4aEhAfD3TfBrYmvuk4tIf-NaOjGhS5ADipdVXapkyPjZr-s7zOSzSPiA,clothing_store|store,4.8941281,52.37347,ChIJ5cA8PscJxkcROwMf2X5DoE4,397
