name,rating,photo_ref,place_types,y,x,id,transit_time
Rijksmuseum,4.6,CmRaAAAAKw96OQ3rT6T5qQ6kfKi321kJaUB3cymZ_4_dyH8UJKcHXorwgY8LNiBxCPtUFCs2LzLsrXGa-Znx0brefxUhXS-f-mVRPFGw_7hA5hJ3Jx9YoyPct3C2AeObYUZDpQ4aEhDksuK9wLNp1gyLIPTDMIZJGhSixJbkLTRPiJnXP_ezOjOl5so9Dw,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,925
Museum Of The Canals,4.6,CmRaAAAAGHFtBZoY03nvlyYrV3CUtkoGyITVZ50i0etW9yyk__BE6YgZfbLWUceA0VbNXSytbqZ61-XAUssceUPR12p3bXEFN6YPOqPf9nZ-tZr_7sbn2ZXVnB4swmGQC_eB174DEhA7RAAFLOD8EyWOzCe0lmEJGhRaKFJYHmL3mhjKVCH-P69-CpBsAg,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617
Van Gogh Museum,4.5,CmRaAAAAc_tASlVOrDuArt_QP8VDpy6lsHV3oMBVfte9xF4GXWhn5RRm_BTfpS5ZdY7DzKkRlv58YuhuQAdj_Zg4hj8Ad-OCuDgZU1VuFQHP0mgGu3yFQyubq1J3gqByOWxVgHw4EhDXbnkcA7mA8mnhAkrvisfXGhR1hpkRtsbgvVywwXVVeqoOUO1bnA,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072
Ons' Lieve Heer op Solder,4.5,CmRaAAAAHXre-jqWbMqJF3U0i-r_a7dBoXAhaDcg0dn5LApM6KSbAKvEdF-6dczuiOxKN8DUqRdqL35L0VQkBFPGYl0TdGEZHP1ZOYQoIVEZ1qJdg3ynCpNCgM2m5xezPrqjg5DsEhDd-NzK6XjkfAiM5ii11JjiGhRTGjoJ99nCHTCHEdC_pXYkcI56Jg,museum,4.8994747,52.3751334,ChIJU-1ArbkJxkcR_EdFqWrlInA,478
Amsterdam Maritime History Museum,4.4,CmRaAAAAYbBi9H-_BBLwJ24rQuFa1kPw7bvKoKqNBKKdw0bzVCrYaR4so7t9MqciV3qsHtL0yj7maSAZ1PVHPSB49_twcZ8lZMVKeJT22PSQTaxM3COTy3G1oAC5h2Ljm33XxHVeEhAroRKMTA7ZdEdWOybnmooGGhRkfBEMBUk59CaLwuotMJ3Dbi_RLA,museum,4.9148797,52.3717084,ChIJX-2rTqEJxkcRhjlIZp4bqFk,1221
Anne Frank House,4.4,CmRaAAAAg46_ozaMTkElNpkkzjWDevy3vLeZv78ZodgthUppE0FIeZWdplJe9oTncUuOAcYyo_tIQ8TGFoHOQjyo8SWbE3w8pNO1PN7UjV2vf3uX-egA9skvTsa-iG31hkV1J1vsEhB4vEFOMAtTYLTS7CcfdssXGhTEKokGyIk9zdlhBeuP0uJoivc1hw,museum,4.8839765,52.3752182,ChIJSRE-IcUJxkcRCltjPmVdmtQ,728
NEMO Science Museum,4.4,CmRaAAAAS-aVt8v8p_8VUQo0E9iDDp8LKBjj3hsIosK63BCrDOpAFqW-V3_V7-ZJxafIqk4sd1qlvGMkff10W7tyWp4hGyT-LbYUFEy3MXYs3wSXDzyMnj7DbOCmOXsh9clDgH0JEhAWBGfkyPP_a1s8xpSKUsRpGhSJB_JGwWC2Yw2S9-oWN8ZcMUrPVg,museum,4.9123385,52.3742111,ChIJm7tV_qQJxkcRvM4CYqK9SMc,1302
Amsterdam Cheese Museum,4.3,CmRaAAAAL_bwEkyEq_VDuWk7wAacRJ2Lu6ArxcoDMrtB1KWdDk_HrtTC49NYx63VcOdA7PbJQNhDZX0nPXAI1_1L246tI8_nqBVOGqWzVVF4gVogEp588Tfzx79RrB0P2Qj2T_sOEhATVCkDU71TpcwF_Ob8RNv0GhTZY1Q0NXQnky7iUL4-dNoXUCQezA,museum,4.884251,52.376389,ChIJd3pHP8UJxkcR-GFIxnNW59Y,872
Amsterdam Museum,4.3,CmRaAAAAt0LIUL0vg1kuWv5tfk0L3wYDiTmgx3qBYzGxcKqhdIBu4XBgUh4VSxtP0AMcP2OTgOv0bWgCcwC1q3mIVdMff0e-7oEaepWnH3epAQMBD7rUCimuUCuiGvq8WqZCX2J6EhDcp76L_fl8wiNSFS201oDwGhSpwCp-AZxTot-hzlGexEHfdTeSUw,museum,4.8899741,52.3699874,ChIJT9i3G8EJxkcR8mvIlXqnQXc,334
Rembrandt House Museum,4.3,CmRaAAAAm8S-YSOtJCslUt9HOUyf-1fR14ScibTuXpQGZwuNJWqjutqmdYqgrXo7ZhhQX7LQetstW64utEWc9DbyQvHNle_3nJDNmVEXc6__G6eSSdv5ZpCIEBKa37i3FRlRIufKEhCJwJ3Sa3kxb0aYPskItbFPGhQyWPfXUYZ6yaqFW-VPvxnEYc7EMw,museum|art_gallery,4.901235,52.369369,ChIJ3063hr4JxkcReck8pUAfYXc,345
