name,rating,photo_ref,place_types,y,x,id,transit_time
Park Plaza Hotels Europe,5.0,,,4.8723783,52.3378157,ChIJG9cJuQUKxkcREXSKemxJiLA,1362
Science Park,4.9,CmRaAAAAEqMHpmfwLztVw0niYyb3Y1pW25TqH0PZ7QlJTMlmgI5tymUghyX4AM-u8GaUs-abwq-ptOO_tCbjQUIR46BRXHeA-v-WDKpSwFwIdV0zz8hWwhd6rOrB12FOiIfBFLnaEhDnGkBqd0cOfxiu1FWteg-8GhQX1QIhuX7ZWpx76rJHGtS7kcz6QQ,university,4.9540186,52.3553427,ChIJfRjQ7EQJxkcRhUk-uSK84Lo,1556
Vondelpark,4.6,CmRaAAAA_7Of1ktirf3ORD3HWCJy-IgtbQ6f8PQetK_7umF0_wAkUV460TXHPGBqPySAiMQWFgYTGxMwcA2VnaeQUPohgIMpl-AGa27lO7H0248-H-1KolmKdZEiYQeU9zIb4iFiEhBpBs1QFgUCJSQVRX7VeRz9GhR36uPDenBemwysBiT3C4oXa_VxlQ,park,4.8686484,52.3579946,ChIJz3y0xeIJxkcRNcogBVV41Gw,1384
Beatrixpark,4.5,CmRaAAAAuGt8_uYePS-3ji7Mw8UDXi4CqJ-loREZMG1FKLYL1Fy5_uXeuxyoYYOWuFyAbNi1eikVA5FxI7uPKpB38QalN1hI73uAuLSKi_ECt8Intvs20DJhSs1DHBU0jBcPWd9WEhCcCuCUP-ntw-j1qZCkWq5-GhQoQwPSYrjAmOku_vVJ8ZAZGhv_JQ,park,4.8804617,52.342989,ChIJZX1IThwKxkcRCE88Y-y9Y-o,1622
Frankendael Park,4.5,CmRaAAAARvLb78KkeeO0SczjCwn8ypyrxXQbEzIy2SWYkPt0iTuNNBLbUsMOjKkPq0qObF6m8T_rU3OZSXHnqKXQ8OhOb87qFU47LQ87jjTQ51fDsobb_DPgkNlQqzjUNEeFfR9EEhA69sc9k2tsC8nBz-pBkwXRGhTBL6xHu-jimDsi1QhAs-6L28pTkg,park,4.9308048,52.3511853,ChIJs4UXQHsJxkcRbpshRTz-CIY,1388
Westerpark,4.5,CmRaAAAAglkCT45giIirUT5fi2kk0JdTTU3KXAUkKka5PBcOt4l1PPgEzaB10WpsLTrzISEbcw_GcLkTePb9TLn-3rRcbQMSzAA0GdkkrhI10-lJ3QDTYVDdeZ1g61yTeltLyuLzEhB_iAMxTpOswWsAiImRa3dFGhRMS6Uu3oYYw97p4thkvDWCjRlsIw,park,4.8778345,52.3861558,ChIJkweMYtMJxkcR19hz7lJVRVY,1371
Rembrandt Park,4.4,CmRaAAAAWPPLuM4x1ZhR8IDJi_fpLM5Cbke8uZgMXR5wjmCComNj0GKrKTuYSlq8yJcL15zWlqP1gzRMjU-2VFl8L-sxB2rUWRXAJTnwGsTqnSfQYupcnQo-dp5bOBSXg8wM1XEfEhDdtyzwHBeFxtwh2yccpHH7GhTmX6IOvSpRtvsxsJobP3VUqR0Zcg,park,4.8460586,52.3646931,ChIJ-e1IGhTixUcRy260F0WUXj4,2018
Boca's Park,4.2,CmRaAAAAdqe2NI2xMO8jLG1_DMzbzfGZdlr6lnNHJ6I0QyE178rGgGdZ-B8PJsSNJojEzZTo-GkAa5wCEgs_N-5P1S5Jw4VwAXPN7zK1VD2XCksjvY-daeINJKusRURO2I6jA_1AEhD3L534RwNEERFF_O5V1hz3GhTG99kndOTYpbBkVT9Umapja-qd-g,food|bar|restaurant,4.8936293,52.3543618,ChIJzXQPPI0JxkcRzIP34_oUpYA,906
Noorderpark,4.1,CmRaAAAA41Q8n9WagR-U5_t9X48WulP3Y15T01avmydMOaX1ZsyAJw2vS_qNGKGZkYFR6YK5J4XkYSgHup-M0gX8lujSmZMmfszC0gSNt4FTDXf0pgtNxtU2vpMC2Qh4HKAeQRU9EhDjIxS5_A3Bha7DSm79tpxmGhQu0ATfIPmoWMpWXniZT1_VDRNV2g,park,4.920086,52.3958678,ChIJy3MKglYIxkcRb-OM2GyApmo,1700
Park Hotel Amsterdam,4.1,CmRaAAAAaaF4TE9oN0mTsv8VfTiGBNFKl-Wma2uk5HzMWSInJpOUw7cuRePf8K9VJ6KmySYPfBur3nlOafz-JjR5AJvbaDMerULl31XCfby4xTJHsMAkjgvr-x5RoGbpF-Q7RvuaEhCD5uV6to-J7lgOqzYhrDdYGhS7kLARgC_cJD72vQLxmSSOCMNbQw,food|lodging|restaurant,4.8830309,52.3615846,ChIJwaEiMu8JxkcRr9M8nZwy0BQ,1048
