name,rating,photo_ref,place_types,y,x,id,transit_time
Dolce&Gabbana,5.0,CmRaAAAAxZdtMwp16h5gvzQy3olkeTLisu9KDkw0sb_T-TVlMR7A1q6NVM7rnLeZFusuTdDeSWceTMxvGdSSw0bd8lplTqLqHrfMRhIf2BFd_LT-bRcDnmRK73f8TqoDOY1OGWPlEhDtkZsDR-XoNfpUV1Eh6hUxGhQhPB45hB7iDvLYf2aEuYGRc7raTQ,clothing_store|store,4.8786643,52.3598899,ChIJ4fZ3Yr8JxkcRF6bLqoSrFgo,1185
Lee,4.6,CmRaAAAA8iekuPVssWY2N03_49rRsLegFmxNsCx0CLRYYidkp2SSlOH1XvS4ESm-4IEMEcNaUR1o4IXQjCksbUtjFhONbnIAN3U96nVaFyVAQMwoWMx9z8r0x8DAtFWAyyaadhePEhCEsRGcDWjxmywfa4ZualsqGhSVrdPlMBnhb8OJ0_4RTnFwgIWL_Q,clothing_store|store,4.8861521,52.3703939,ChIJe4nAsMMJxkcRKI2sQPU0msk,506
BP,4.3,CmRaAAAAjdecIS0TshQbdsfa3CZbORnjXUGYJwSpnypy18Q2HBza5fpOJ1Vxf6iGax_ckUx62UCJ4MBSVZYvlQBBydGfCfNcAZWWJA6BKdFkR5tl6UszTUrhS0mPX-ek63uDX_q9EhDy4upZTZgavPfmLnzuhnIUGhSP67T7A2asqUaBKY0WdRKqu5JFVg,food|clothing_store|department_store|grocery_or_supermarket|store,4.8926094,52.3673072,ChIJfTOXE38JxkcRKilvpQN0ljM,439
Desigual,4.2,CmRaAAAA-Snex6ew7aCjqmrya9iIdUuyAbwzJ7QeNXOiMfGLaPFpEuoLWqcGJaXBoeYWn1o09SNBt-1bUXGlRi1MF283EJ3Qy-pe2kNUnfVCjUOT7-dSFHtfA-x1p_LRtFcPlxl8EhAxXthbKl-Ee1jNS3k2qqq_GhT4jpqt1lBn0os3UKbw3VzPffrY7A,clothing_store|store,4.8915133,52.3724406,ChIJwX9E1MYJxkcR8ssW7CXhhO0,394
Michael Kors,4.2,CmRaAAAAQTFdxN6FYI404UkzPfXwpso_fzji2mz3avOtoYshC0Eg_w-30HgfVDiid2sj4NuliKWEYLi27r5aAElhWqWpUq9mT0I3jfoNamRRMIAmUiQ8bh1wQh9vPFhjQZ4wqal0EhCJnU3X2X3gtheZRGiKlBR5GhTx-xPgPgefZ5IYEDfO0PLPyr7w1w,clothing_store|jewelry_store|shoe_store|store,4.8788769,52.35963,ChIJB1bmm-UJxkcRfHJ3cxwFQds,1136
Paul Smith Amsterdam,4.2,CmRaAAAA9UD4_0WBJPlO8MAFi9_5dz2X_X5ba5FWMiJNBubTC6PgLITrFPC7iZCoCySPKKo4Sy6Xy2yjRYdBbb3bEIpC3nayjzBkMO3151AOA1YtmGMKCoiRI43PQ7uklCXfCsknEhDfLLMyQHCP4GS-uuoEQ8jaGhRSFDVEaxA0Eh_LuGLYFN57bw_dOg,clothing_store|store,4.87814,52.35975,ChIJhymRoeUJxkcRbCOFt5kGBYE,1137
Patta,4.1,CmRaAAAAQZrAv7RXzO1fPI1DIMe1Pp4bF9lwWrlMS408F_w5NJ5wkl8_eY1Gxr6e4HfQjLM2-NErWjJhHeNFs6kPQ1SGGQ1JZaXr6LmGz_ZI7Hs8AjbpPQbAzOzhLDTq6mqkWRyHEhBlCZlaqYZpTJPwgXDqK3nMGhT25ykiOTbBY-HLiDdw4ukkjaBbMw,clothing_store|store,4.9009497,52.3747633,ChIJ07lKX8YJxkcRD1fHSz89E_k,484
Emporio Armani,4.0,CmRaAAAAVYJ5e1JN1U0cfOhpAkXg2eN3nsnRZsdvfiS-9CfMBElqsW08z2Z4lI1vkhhVd6LP3ROLp48S5m5ImCbLBv4A2HNv8o4HO_TAG7_09IbRvHjr0G2RMvriXCFk49GBMR0FEhBpVFRH60TfQv-yrKyiSD4rGhTQtqNR6kxKDzZa8mMy9bDmQGTXeA,clothing_store|store,4.882326,52.3605539,ChIJHTGVPe8JxkcRfKoTKL9H5ig,978
Winkelcentrum Brazilië,4.0,CmRaAAAAR-GdtgLSRihf_YFQVGcL1HBt92-DQ6miq8fmCLon6nF4Lto_P-gVMMSQ_UxX26YDcxBFVnzSktlWFrz6reuVD-jDIs3quwHOgqgIgVlnIkCpeBnYu-I11juxpgE7Ppc1EhBGr2-jCg3KcnKl3YCTiid-GhRibOGRqvRgjDEAcI_TC1oOu-so8A,shopping_mall,4.9386469,52.3740139,ChIJw-LtFxAJxkcRnfZqLkJOlxA,1511
Forever 21,3.9,CmRaAAAASIbi0Ys_eYouWLJIi0QlvfNkW9GZmj_Fx9OPH1sEDWrko4Crg7OAP3-9qHuIa9nNaFv2PPdZfwfIeE-QxUJbi__9AjmshjEKaHEvEhgQ0jkgnBP4nQSyARHscZ-3lP9BEhCCpr2ShkiSSOQvwGMkL5cOGhT-t1gVy_GVeT_vO0j3Nl4KM1Y5IA,clothing_store|store,4.8921073,52.3722208,ChIJC-kZ1cYJxkcR-FDE_bsl7YA,309
