name,rating,photo_ref,place_types,y,x,id,transit_time
Antonello's Cevicheria,4.7,CmRaAAAAni3SK5Kp13XOsO2ZJMoB2OBjVznSTwmAwz7W_Tl-17aR1xQpdwqpI2fM2HRZd9PPS8s8ka-JTt8wLGBJ1P5E0chC9s0LYRWw_5I-1io1ImSFliuQLszZ7zip_QwO73waEhCMIs0DjxlWXFynLHeaUeGjGhRB4rchVeRagDLCiH_W1cyohAqHiw,food|restaurant,13.39012,52.49053,ChIJ-c1mCihQqEcRJQ67oh6xyVc,1505
Filafood,4.6,CmRaAAAAFCXDEjOTSM60E3g91c5cMFgYOmwpr25ii_5JShJTaEDYON2ZRDeyEkVZJKodP-5pSjgTclizYt9cLjYyd_iaMx9sdsAA60UnT71c2mklSxYBMjT60Sa2_AA8vo9bVCSnEhDQ75nw3B-31-KD0ILM9cnvGhRp-PCh1TVRjnoIpK3kmyHCFC71Eg,food|restaurant,13.4508439,52.5128597,ChIJ79G-8VxOqEcRZqndIEhu7S0,1124
Yarok,4.6,CmRaAAAAokpO99CradnNOT0mp39cZrx9aHTuj_Ra0XWDe0pyf674SOkD3720v7onoUGahhJrVmFqZbOEPr-qkWQi0XrAV3u72twAeCkhSCNAGE-pF1nns4KAE37X5Sb7AuWBkF61EhAfOzymrkuF02pOAE1gv22OGhRejkb4mkCPWbYuQ19n0JWv_Hd_pQ,food|restaurant,13.3920745,52.5283091,ChIJd3Cx0uhRqEcRbhaqcZ3rRI0,618
Flamingo Fresh Food Bar,4.6,CmRaAAAATxL8aasctAv_BaZP2sTEnvDt23SMRHkdL12wv_RsO071c9Cf5Yz1tXf_sppoZ5FIhuYwqCxe3boF9hPRM2eQCDWzBK1Nz_jW3EijN6JcOrTQj6eOvi54f4dO3Pg0FbQeEhAEnoUHrKZe5vDAHqiSXvVaGhQAsQKPqbQi4WB31ddEVZNHKE65LA,food|cafe|restaurant,13.3854576,52.519558,ChIJiY4zlsNRqEcRPXPbVZYbqFE,535
Dan Thai Food,4.6,CmRaAAAAsrjraAUetfufcPXXlLOmOz2Jv_b7EHpqAPfFv9HTDY1Z_KzSBQEa4VLl0rLNLDqx_LSMXgPW-_XF1MSCIJMK8mBWObSZ3RgieXjX9ujb-nOZAO-Q1Mv11mP6y7ZkXcjOEhDcdrCfJJ7WPRZfolxyiCGtGhRb4mVHULMOdqv0i6OUV1nkRTlIDQ,food|restaurant,13.3689603,52.5475462,ChIJSwGH2SlSqEcR0_gcvvXI3yc,1455
Emma Pea,4.5,CmRaAAAAIssIf_aaR7kJS9i8DKdzm1X34P_tC0-GTO9VDxlhH5H6yXWHgpKklNgvu0BxoZs_Ora9cTZomWWH79NbVjjTIx2ufbwV8yYJ1zF5GiXqc8RWBJgIsXyTx9lR93VHVZEGEhBNoJ6y6_kfZbjk430SfIHdGhR7SH2MR9j3f1b6GCMuhUamBT_s8g,food|bar|restaurant,13.4544812,52.5074747,ChIJzS36sVtOqEcRLEsjEgfNj-E,1372
Korean Food Stories,4.5,CmRaAAAA4PkiUjaIjS20ZIsH-KDri3JxUIBe2U5HMyVn8YGdAiNfIDOFY_ePny4EEJxCWaSyVJyfOPmaDqsHSQ26l4t8yDKYtuycFufOP_JF6klQM8AHoXZhxgltjTofymgwv5C8EhBmK9ZQu7Xf7ix8yh9BEmQFGhQNAhMIBMvBig1c86hGQhkOrF9odw,food|restaurant,13.4214228,52.5350995,ChIJe8hF-gNOqEcRbbKTwA3p_y4,177
Maroush,4.4,CmRaAAAAVm0_Zc-DCF41DuhZHi3vKpuI1M5KMytB4ECuknHgBdiZHD_meisoCIBEqDbSR1L7tnz5y6d_2EAF2bkAxeEtoOrqCLcqXZeAFZP8Q1A2gFs4kp9e0xCppTa7ur6IH7z2EhC8mj97aKpMyzpPHLUGdvNFGhTcD4UK231NuDNE1m_Re1G_nrRsRA,food|restaurant,13.4188372,52.5009274,ChIJH_G-njNOqEcRuiCKVBKqYnQ,933
Simela finest food,4.4,CmRaAAAA5mnChL9y83eIAm-bYpG39LYOAzQ_YrdnwuK956AM5dlELtWCB7qe6WpVHlDfNtoyWXTH7ZKaDp_iiDRlQobtgnGl9AkvsRi9u_LNTD3PlcprYkf60nHpsGCBWgmKD4HZEhD_ifqAmyQxq5uF0vai_WCkGhRtgh-3sZKYQiw-DOGdzAgoMYjrtg,food|meal_takeaway|restaurant,13.3981054,52.5275621,ChIJ4Uf21eVRqEcRub6MMbQsKiE,606
Katz Orange,4.3,CmRaAAAA0nL17fDxVuYOcvVHyZOoDRFANkKenGKOzK5CEOS-i38pXnkSb2IYpHJQXSSwI9iv1TWPCSgdGkg5ve0urt1IXdAPQ2zDTUuiUii8g6JhRiWqCAUL8WdBGeWuSudXMOdoEhDxd6vGgcm55_vXNly7ElZJGhQ4jZ6Q_Im22HSeB9zWouyb2HIJhQ,food|bar|restaurant,13.3953026,52.5315246,ChIJQ2g8mO9RqEcRpOSC8NXG7io,984
NETA - Mexican Street Food,4.2,CmRaAAAAY-WMR24bBMBuSFnesbM6ygDyNKheXA5s5_GNUyAB74nPyQ06UpmNte_lOWXGtIrlPW4zJSl5V73-_uGdHAtCetgZF93Z_bulfCOhwj8pb0YRmE1LV2xWeQCTuDvIlyuLEhA2-eInvSduN_U7Iub3lleaGhTOVRWHU3HHVLnnyxtB1WxWG-HgfA,food|restaurant,13.4125461,52.5404144,ChIJNfxpp_9RqEcRmFC6uQ3Qyko,844
Santa Maria,4.1,CmRaAAAA5sDvmtPuhsD38mXhAgOcFm4s4H9euq7JmIYOgRyRIi_EDo4qB-jjlE7I5ywHHK3biapx1gt9Dj9unF7PJZAVupkZgOPtLQ2eInoj3DWoRG_3IMCMgKOpykwIeWs9aArbEhBjTI9IbvlDYmVmkzJMlRjxGhRGSK04kS1Nfrf0Fow7mBBHDTRYMQ,food|bar|restaurant,13.4177023,52.501597,ChIJkefnujNOqEcRhWUSkpCpFxE,1054
Chutnify,4.0,CmRaAAAApO0-JW9DXtOsL0D9CT5yOIMnauT4l90xEZBrM20hFG6ahsjmWH0lI3s8U3Geg6gZ3QoZ_7GY6du64rg5uoG9KuGIhGG2XXylmgkhZ7-XE7krMlrwZxN2Meyb5z7wGRZGEhC6Q1RV5g6kl507QBvXGn_xGhSg5Q071p3X9mYKmyXC0_tFBcVmRA,food|restaurant,13.4189603,52.538456,ChIJP_v6qwFOqEcReF0gT8KRUE4,484
FESTSAAL KÜCHE,3.9,CmRaAAAAnKYM1_A_UJ9nzMDMvmOXkRntP98jXk5h9-fb9ybAJZc1lq-M9oO-t14Mf-lSTlwXjjxsN2dWgzQGr7ATSZ8kdnsdleBtQOTOYzjL39o2mazmrJwzZl9nEx-k_EdvpAmhEhDryF30Jh5rZB-bZlI-eL7dGhShyloP1Umx95ojuXhxKtH1Ff3i1g,food|bar|restaurant,13.4517129,52.4967638,ChIJY4nhmuJRqEcR4LikbEiLXwE,1582
District Mot,3.6,CmRaAAAA8q7v5WiOKRXFU6wO7O4KmNs9IIiUYZxt-zOuoXdohwNinxvEr8k9wyl0zg2jkF_DbWFLOQR_QP6ecnzThxPz0AoqJ3I5LmZr49zc802c1YwxhWFoxjgRl6ypXHCPVbXiEhAcyshfmu6tUevaFNzphtKnGhT5Wl6QgvAhB0CfZmhleq8tyCRWJg,food|restaurant,13.4034613,52.5277,ChIJF4bs7-NRqEcRcAePL0NQWyo,600
Fadi Food,3.5,CmRaAAAAvIJFn7lDMz7gGfq-aUS6N00_IF2s61e7ECz1NvnpfezGh-IKeZ44CxGkvUdtEjXgZykr7fSHdwxKWyrmf5Ys2FW-bS12MCO6puf3vkXH0wWQKbZzRUwC3Zx5X2YGPvZ0EhCZWzrg9MNlbkxsw7qq0lUsGhTzGP-civJUpOEXNZSDNw73LsD7qQ,food|restaurant,13.362819,52.498831,ChIJQUz4iklQqEcRoR2HY1JwkQE,1319
SNAP Natural Fast Food,3.5,CmRaAAAAMbx6Wakmb1U2ojAeR1DkCA8FJ4DoaUxEnhz1TQySUCuRshuGsNX8uCp6GgYb7j2yWAHr3rVlZ3YQSiwGz_cabSJp_82PnR5goMUDr8TVthsGhrlshytGD1D8H8YjlaasEhCkEObOy6f7y5ohS0RFse5-GhS2W3qVe5r7rOqyVTv2wYAeRKyFLw,food|restaurant,13.4484351,52.5052071,ChIJZWgpeFBOqEcRz4ge9IsAJJU,1561
coa,3.4,CmRaAAAAKQ75Mq5hIaamUesjZFBU-ZKOUdLEw3FDgXlWYojuZikrJLHoX7623p2Ld38UvskaLJ4CCebcJ5u5znOWEOZj6XRwtiL08okDVaatsT1XPuHHOYYWXAP8ZgqWtAPMh7DaEhDQpIo2I33vYuoSFxGBn9FjGhRpjy8c3c5sHlNIR6yAfcNpXIkxpQ,food|restaurant,13.3761202,52.5102128,ChIJjdxZF8lRqEcRZgpsI_nYCxQ,979
Food Lounge Berlin,2.5,CmRaAAAAFSh9nFONmz-cRvGhRZ0wDSNOr2CwlkqdZOfgllMvCVb7Ne22ssGNiNzffaWwRSiePgN7OYk-aG-QE4OKdwfLusg8B-ctt9weeZVPWEJOticCZniZto0bECYMjsGltl3QEhCyh1UUB8v25CjmvvwYwKO-GhTdHa3lvZhjCLokdYHF-_yIQp8KdA,food|restaurant,13.402804,52.5201703,ChIJoXibtd9RqEcRdLnTK2mTows,161
