name,rating,photo_ref,place_types,y,x,id,transit_time
Ramones Museum,4.6,CmRaAAAAlxPaGLela_tCgEjMeXYBR2PIt1EvdXPdJdpgNpYaWejjLeSsVe7bnLzhaSjB2IcWWm_PkRxYPyrwKTCiNcvetoe3qcPBzsVm54Oz-D4gwQzH6XncXH5bw3JbqPujvTitEhBbCpnekiqSMrHu19aE3hfJGhROO_pYlAPBGuxeIhORhRZkku38xg,food|museum|cafe|bar,13.44324,52.50124,ChIJY28fU-ZRqEcRRA1cS-e-3qY,1360
Museum at the Kulturbrauerei,4.6,CmRaAAAAMMsP7zlr_pC4vwn3vmNCHz7tnPx6aP_SfzP1Uj1jB7AGxvYuAEQkqteqe289lch4DoPLoGGKUboDhc4Eic-ekpuq7qIsbBi3WPrJYurNQcvC8-CT3TsSBJZUD0LI7T3BEhB0HpgwH2qSS0Ljr7xte7MRGhQmtkwZCU6E3jf-fdBFcvSuurAJ-w,museum,13.4139838,52.5403789,ChIJ74Sex_9RqEcRrg4jC_emII0,919
German Museum of Technology,4.6,CmRaAAAA1qYL6F4rD084K_6z3AmPdKfp_XalMtRwLK_Qtsk17ctf9T4Xg_jFWkg5L1q23I5tK-gG_sMbGRCynsf0pyYSTd4lUWbrK1HQr-cDbxj09JWJgT4tTPtRv9f-kFmK5pldEhBsvZlrltX3wG6UASDUktEDGhRW0YutYCVeKJiXEahAKv6cozQigA,museum,13.3778846,52.4986982,ChIJuyVqNDJQqEcReGoSmZuRNUQ,1511
Alte Nationalgalerie,4.5,CmRaAAAA5BsADdmoFSfTuV7okn3yksHalJCTq4gEble44AT6vJ_8ilM0DbiqXgg5J6cdnWEQ4XBSwzB5ehz0jjqMrvmhBPM6u0mpl1_4-tJTyLXIlcbH-sUllSj2gkAwEXyhDo0CEhCpYV32pfMIeX9QWOLv7D89GhRfgTUD58bj9HHd1E8P6Jf7BJzVFA,museum,13.3983529,52.5208104,ChIJM28dat1RqEcRC0AVNUpwAuk,506
MeMu,4.5,CmRaAAAATD4OG5OdSyfR4ldyn0eJ_XKI-H3xcc9ExA99qs3Ngn9gVk4XiGRpCJE8Kre58qWOJYoTDGbIo65wlv7ZvawQ0xankIdITNqhfas11QNgD5aKJ2tH9rOa6i6Sbk6Uf8HbEhCsZ7LaZ6i5g7eiQSmGND0GGhRg4pR30Hi-nvW_bw-rpehrox8CAg,museum,13.4089745,52.5205999,ChIJdTjciR9OqEcRUqH4IwUnsBo,235
Neues Museum,4.5,CmRaAAAAINc2ZR3YMzzAzDn_C2KrB27jFzm2dOzfg0-vzvzDYleh8NO8gjvEWxOZWYIUttpHhRVtgJpvClJf7jT8oFEGdoMg-cjxEbzrwrFqcR1lfmtheRZYiswavwgdAjBnSK2dEhDkt-AkKDATDbD-Fq-r6XBdGhSimAGlklic8qV92fD7BYA3L1Vztg,museum,13.3976462,52.5201349,ChIJS8OUk91RqEcRNauNAPV5P40,423
Museum für Naturkunde,4.5,CmRaAAAAXD4bJtOWLL5EYewvj7BHuzJQAp4fMarj7j-QN5Xx7860dRTedas4rRxiozG8v-0eWCU1Mw_OheWQKnnq0q13-T1rJmW2_WsJAxo9e8Q0YYLca7m9DxYjUqtQSbRVJIzUEhDTCKLV-3mxADtwL1T5uJxZGhT_Kz6Y5tJvlZIGjeHnF2go_WyBCQ,museum,13.3791755,52.5305726,ChIJ3eWqqpRRqEcRjILZ3j4y0Hs,1100
Berlin Museum of Medical History at the Charité,4.5,CmRaAAAAbA0F9vCy9CLIvRiGbXX0f9pHhW5qF_7D_O1it0RPrvkMtaUWYGQTIyNTDhtZeufsO1MVLdpaqV7-oR8maTLBQZJ_lf9-4LrIJ7yVhoFjsssYetrUY_VvUkQTg6W4nrW8EhCEK4MJF0GnPG4QqtECxBqmGhR2nUAP_rWi3Il1citvo6KFwOmIBg,museum,13.3744308,52.525539,ChIJKQmoOJVRqEcRw_H5hSAszC8,1130
Pergamonmuseum,4.4,CmRaAAAACx3nPlJ0R4750Z5qLWFszhS3I-DMQJP3EAYW6CxexzTQnwdcuFR-qnPyTCkp-9QGnTu8zzFqyvD74DG2OfT3jud7465IeGkJFiu55qWnebz4PeSThWX8Q43fKjTBjoY6EhB2RbzH_uyfFwNSgA1qM7VmGhQ9vq_JwL5pVLYGvhzrOszEa_hLmw,museum,13.3969,52.521183,ChIJS4MKBSBOqEcRMVSPqUYFOJ0,673
Jewish Museum Berlin,4.3,CmRaAAAA0mR_CSIMBxKMA5HZs4cudx_82hT9g6yA6d6bNVWx5bgbDUeBhOWvuRhWSmsKebJXaaoEoC3a7pnOYmysjgU0rW8ciIKYWoTIgLpWHgZuIW6nqMqR1jMm9CtHPHfv73DHEhDgNijHUebxmIlh_yqrLDiQGhQmW0jAUzNVWNdVrR0bm0XxTh1VGQ,museum,13.3954469,52.5023115,ChIJ-UrRPdVRqEcRTzDm7VTSLEw,871
