name,rating,photo_ref,place_types,y,x,id,transit_time
Großer Tiergarten,4.6,CmRaAAAAGOion5sYwom41dBbqWR6-dE2MiTki4Gl968AZj3ckv4nOn7STD-vC94bIyG3877a9Sb9V2tXGQ4VeQydr9wsnG1BbZy3orc72tMg21N9h-s1-GVyXMGnlwIECpafBYK3EhAFLp0Tdyzk8hQ3rJA5F4eYGhQabTouGnZ4uQNnTzeg0cIKWOSMJg,park,13.3591634,52.5141516,ChIJ4dHdSq5RqEcReqvQ3PGSw4M,1317
Treptower Park,4.6,CmRaAAAAgSDg5Ei3bxG1LNAXZlb71fk_XIsgncja8SLPf8z-BoMAPCRix1m0yhdzJKsZoaeRD9vqQ2yxvuI5odA36zPUQp5jkZWlQU8pbQwuhgXMWKsm-MVmoa-dc360IgSkxivFEhDCMoEJkY6Ne0CTVO77rqxhGhTX2NUi-Ceki8gnhVyjpydTbc0PrA,park,13.4697445,52.4884599,ChIJWVbXxhhPqEcR3OZE5GXI9I4,2554
Park at Gleisdreieck,4.5,CmRaAAAAzIpSXuhHneg8XJBUFokcyWsTHbl_BCWOeCnTM-oHMDq7AZyTunHwz7U6Mx7DHWC3mCFQ-vDhzzBoSeX5Kpf2CK48o4e2qOwgtiU_lw3k9cOJpVo0qKSluBjlgg5PBmWNEhD2o9y2zvW385p32y47ngY9GhSgK77WwNxWNyp3eBgF8KdPGZjLAw,park,13.3759081,52.4940269,ChIJe8FmEzBQqEcRth79TMVowwU,1774
Rudolph-Wilde Park,4.5,CmRaAAAASuP-ibXxfhFBw6QT9QTEOVYW32qNvdrAWM3weCum3w4cY9hALlMaB0G6a9D2JsS4-ZBaLpu5kW7wYTcliZQzk-u0e6by8v9fOLMg4554eA0gUknRHt_XWfQ--8yTpFaHEhB_LUXo4wKDfNqjH718eS3gGhTx0CEWPuXMEMpYs8XYzVxxP1IsJA,park,13.3411489,52.4828472,ChIJ1deWK2ZQqEcR7iiuf3wwW4o,2251
Volkspark Friedrichshain,4.5,CmRaAAAAVngx7rbN-aCJzwYHpUy0QV8rqncG7LS2lxzjm7fkt_LXCM2zoVclCKNUl6I1ZsyujkIwRDv3ZSlEdiRTDGEoEtYxgR1VFqZQDadGee0OKvDyECdNHvg7s8L7N8oY3DGUEhDA_kS64p7KUuA1cTHk5XtQGhQijZD0eb_pYkQSgdfXTFCzehkScA,park,13.4363934,52.5280353,ChIJ_S5uaxJOqEcRdg-gu1fEgcI,925
Viktoria Park,4.5,CmRaAAAAaG1fgnlykqzPVuAeQDH_YM9N6pHcqWDBqmocAUXw93hSqiSzfD6lQt9bawOcmCDcMAFjUE7OO5NN7fGYSPwNjc-7bVQC41Ww4t3O99tz9z270mJwAKQWzigiLHRimhn9EhCr6XhjwWe6GHkDEz4gs9REGhQPmpDsGkUQcPocNP0AXh1MVmiQEA,park,13.3816235,52.4880375,ChIJ71LfPyRQqEcREPzINNw8hII,1795
Volkspark Humboldthain,4.4,CmRaAAAAjDmNNJGWd7d5vlSRUBbe_FTPJta54RTLrxPXFfKDCEr_w9sjLdHQ1AH84xyODN1F9LQ7J2d-mTyP6DHbEh2xUicdIEbS5GVnMDfnCmv-4oAsKcjsr-IfTFRm27EaKKScEhCOohqaim1OLd5VMtsd_JPoGhSMqP1NlrzS4lbNVP4Ua8M7N2h2Mw,park,13.3851243,52.5454737,ChIJraCYwolRqEcRxVtJLuV3IDc,1304
Mauerpark,4.4,CmRaAAAAMKzFjp2uKlOns9VeK75amQDHtwnZQ0ti5Fswl5c91oFCISuIH57yV4VrtnmtqnFMXQT7WnZbYUkpUFvxIbdPrzETGv2aATdg8oEk4Yb9UIuxUBmixV-_9yjdrl9afM1HEhAtL2osNPWZEWyHNiFgTjP3GhRxju_e1EgoP5Yr60B5dovgfjruaw,park,13.403352,52.5424,ChIJd-d5Rx1SqEcRgCz33OsCSZQ,1508
Fritz-Schloss Park,4.3,CmRaAAAAEgYVBmRTAJVRLzro5T0NLvFduZtWBYoY6c6u_mEpgpj9Do6KUwZKd-kM_TqUYsaKgiGM-h_F50ZwtoESRKGft6prjWiPkapJFKIq0eiWk8i-IR6h9mIJmUxz5LjopKsLEhBwvX8AVHj7ZhHMYOp7_zGRGhSCJ1tsoQAew1faPxoM-sdXUwRLfg,park,13.3568447,52.528557,ChIJ7ydLy5hRqEcR7v7dEQ0PppI,1662
Monbijou Park,4.2,CmRaAAAAylYXbGO9MbYAWHKQ19xlo4nCCRUjtZwCJb5z1kz3KOa6l94CiIoCqYjnTX_noXv6jO36VQaYX4K1faiaRoBiJ4oKNyOxNMdhXbcNlCeq_WKcpaIglC2NucEEyORSmBvgEhDkLIkLbVcpMOSEaD0NgGEQGhTywqaGRnbVTfpsJf4RLceTA6wOyQ,park,13.396466,52.5231747,ChIJCfROcedRqEcRjFRvdEEGvYY,415
