,interest,name,rating,photo_ref,place_types,y,x,id,transit_time
0,shopping,BCBGMAXAZRIA,4.9,,clothing_store|store,12.578938,55.679947,ChIJkbxhthBTUkYRKJx5RUwsmiI,715
1,museum,Danish Museum of Music,4.8,CmRaAAAA6r1EqZ1q0QpkUNobpI9eAi96Fv9mlh92szuW_iindsxaYq6bZEGh0b8_uqqvLZkouo2Q3V-zFbzTXrRxmN4yJKDlh9C7FhFOfR-5j0Zf2Qyve0Jx--OaE4MrhJkyskowEhAIPQsSHVvM3dHjImo_zqrkGhS-E2pbX7FnAsFHupBpEbZPgSfYlA,museum,12.5524056,55.6822634,ChIJnzO28RpTUkYRTO2xhpu63pA,471
2,museum,David Collection,4.8,CmRaAAAAxL2zXcpXcLHUvWdK9pgrT6VSwOwWtTfb_GicsRfA4LegKSOnz6hccnSAEc0mNTAxGSLzjrivX-LofPZG6vSa_vl5k-6AGJ5bn1AkTcq51MXcJ03cazpLT1eHM4burTexEhCDfa74Ya_uWmg6za9x_Rp7GhSJd8DKMa9l2f3vx2H1LRsjkZoxNg,museum,12.5824472,55.6842905,ChIJPRprexlTUkYRAa6-YXcs7r8,1164
3,shopping,Triumph Strøget,4.5,CmRaAAAAPKRvISlRVr-MnpEkBJRZeUK_P9zJiPkfqQolYaR-rkdxaJ_PR6zWLXRTnrym-YHU_ENa-swdzEaonXH-rakmaQBOxyGzm8BaFZkXusAe-CyRqLBJbpnhYzDvr-B3KC2DEhACJHxbp2Qgc-SGz4CHxf5NGhSee0KklShBYGtavrBGgmoIMZCFLQ,clothing_store|store,12.5812574,55.6791648,ChIJk4jvFRdTUkYR8iTwERcNWnI,699
4,museum,National Museum of Denmark,4.4,CmRaAAAAyvLk2PNQ5d4sRCSeJ2XhuDlBuuwafjuy3HbiLPdnQf1dfIRJY9xL6zBawhs-AFaMJpBgnh_g-MGGtIqXEkt3v1T1PLTQBGl0t2l_lFSZJlfbI3acHRLy_4Fgp9KQu-xrEhAxDi3JRD0Vj5Pu3NLAi6ULGhSrX6IKLirWBbNxDuXhb58WKqExJg,museum,12.574741,55.6746479,ChIJRZnqvxNTUkYRr1KKLRhldd4,485
5,museum,Workers Museum,4.4,CmRaAAAAyEX04tntqgI9U5EJRwZg10bWcasNHyLSaAZikq42eFxWSR7jqKo8L5yXfbzNyTcMyXAyb_R8--HchkRoFFl0yqtayLzihy6Xza3jPgSU4Wj-R5KiupLpEuj7JHIR2B42EhATPhlgbagoOxbp9asyJP-pGhQguekyS4IU9o-JL0idEBUBgPhVsw,museum,12.570408,55.684741,ChIJhYY5HQVTUkYRU7nk0bC9YhU,632
6,museum,Zoological Museum,4.4,CmRaAAAA6ooybZwAnIMeFHebC66VfoWSoYUBAf6R0wAtBYUOoUtwMtgCV2sT4DuEcROdONRLxlrcf704rNcN9jtGQMlfUrtfP7GGCXIzy4R6OCNKBePXHk2yCMT2_FZMLkr_03cfEhD3a1BJGp3FZwcvFvBk6O5lGhROHQnEN4_Cjys8R1yfDSTe3vNrzQ,museum,12.558926,55.702512,ChIJW1dN5FZSUkYR57GetpSGX3M,1524
7,shopping,Victoria's Secret & PINK,4.4,CmRaAAAAPafOLqzzm3ZTITAd-HwkuallE9CtzM3TzyfAlro_lkl6kOqOIHWi4ONV66QAxEHOI2ujppFLGGC3HxBJQxa6UMbh3v0i3_Rw7xoK_e__vJMq_SCRc-gyBCNHi5LU5UmzEhBM6LASeWq-lpMWw7HSCblBGhQvM-RoVSUFawG1ZQTqQxvq5Jy4-g,clothing_store|store,12.5791248,55.6786822,ChIJQ8l4KxdTUkYRQGu1d5N6A4I,548
8,shopping,Michael Kors,4.3,CmRaAAAAO3_6rvCco2SAJlxwgScsqlSpX_P80mA8LrJTmLztVTLG9S1yr_pj4HlvgnKHr7gnAmM3oIe9vH4wzP5mJhXoJVL46mog0rVimzmALHSbuXK5-5uzYIImjtWqqn84_hceEhBday-z6Gl6CEq1f0Yd7WwfGhT1dTEWxkA96Mpq_PpGBTW98NKWFQ,clothing_store|jewelry_store|shoe_store|store,12.5841368,55.6800333,ChIJzfbpghdTUkYR_hO3nb40Nsk,911
9,museum,Storm P. Museum,4.2,CmRaAAAABVByH2KHnK_5GGUwutYmJbYe6fzgf02Lv-kZ4FKHgdnswphgHpfwXC4mRWAdcQykb1-VTiSAYR2FDU1oqq2l4aTBq4Hfi7PvIHrIxWAaR7E8rhZw2gZlAc0CRT2Ich5REhCFaWus-oFPVGzAN6nFtHR_GhRNNenXO4xAkCED6OVSGnDeAPPmFA,museum,12.532042,55.674479,ChIJ29Bo2ZdTUkYRfFLOXgQMGJc,721
10,shopping,Fisketorvet,4.1,CmRaAAAAuUnveuu_QWAQBc5LtnMJ7qUpZB6cbnldVjwEdS_0wpdh8ybXo9xewZnQQaqX72Oce9PZgj1cB0DZYpJcS79w1ExY3-1sW4poU267D3YduYS-7vLkIsOMMLhQqsi92O51EhCLZdqrlXOQV8_SYSOKuzOkGhR3uTE6FMj2EYBQ1H1NrizXDgOanQ,shopping_mall,12.5629347,55.6624503,ChIJcWlDE25TUkYRcj8_xb4uXGM,1015
