name,rating,photo_ref,place_types,y,x,id,transit_time
Danish Museum of Music,4.8,CmRaAAAA6r1EqZ1q0QpkUNobpI9eAi96Fv9mlh92szuW_iindsxaYq6bZEGh0b8_uqqvLZkouo2Q3V-zFbzTXrRxmN4yJKDlh9C7FhFOfR-5j0Zf2Qyve0Jx--OaE4MrhJkyskowEhAIPQsSHVvM3dHjImo_zqrkGhS-E2pbX7FnAsFHupBpEbZPgSfYlA,museum,12.5524056,55.6822634,ChIJnzO28RpTUkYRTO2xhpu63pA,471
David Collection,4.8,CmRaAAAAxL2zXcpXcLHUvWdK9pgrT6VSwOwWtTfb_GicsRfA4LegKSOnz6hccnSAEc0mNTAxGSLzjrivX-LofPZG6vSa_vl5k-6AGJ5bn1AkTcq51MXcJ03cazpLT1eHM4burTexEhCDfa74Ya_uWmg6za9x_Rp7GhSJd8DKMa9l2f3vx2H1LRsjkZoxNg,museum,12.5824472,55.6842905,ChIJPRprexlTUkYRAa6-YXcs7r8,1164
National Museum of Denmark,4.4,CmRaAAAAyvLk2PNQ5d4sRCSeJ2XhuDlBuuwafjuy3HbiLPdnQf1dfIRJY9xL6zBawhs-AFaMJpBgnh_g-MGGtIqXEkt3v1T1PLTQBGl0t2l_lFSZJlfbI3acHRLy_4Fgp9KQu-xrEhAxDi3JRD0Vj5Pu3NLAi6ULGhSrX6IKLirWBbNxDuXhb58WKqExJg,museum,12.574741,55.6746479,ChIJRZnqvxNTUkYRr1KKLRhldd4,485
Workers Museum,4.4,CmRaAAAAyEX04tntqgI9U5EJRwZg10bWcasNHyLSaAZikq42eFxWSR7jqKo8L5yXfbzNyTcMyXAyb_R8--HchkRoFFl0yqtayLzihy6Xza3jPgSU4Wj-R5KiupLpEuj7JHIR2B42EhATPhlgbagoOxbp9asyJP-pGhQguekyS4IU9o-JL0idEBUBgPhVsw,museum,12.570408,55.684741,ChIJhYY5HQVTUkYRU7nk0bC9YhU,632
Zoological Museum,4.4,CmRaAAAA6ooybZwAnIMeFHebC66VfoWSoYUBAf6R0wAtBYUOoUtwMtgCV2sT4DuEcROdONRLxlrcf704rNcN9jtGQMlfUrtfP7GGCXIzy4R6OCNKBePXHk2yCMT2_FZMLkr_03cfEhD3a1BJGp3FZwcvFvBk6O5lGhROHQnEN4_Cjys8R1yfDSTe3vNrzQ,museum,12.558926,55.702512,ChIJW1dN5FZSUkYR57GetpSGX3M,1524
Storm P. Museum,4.2,CmRaAAAABVByH2KHnK_5GGUwutYmJbYe6fzgf02Lv-kZ4FKHgdnswphgHpfwXC4mRWAdcQykb1-VTiSAYR2FDU1oqq2l4aTBq4Hfi7PvIHrIxWAaR7E8rhZw2gZlAc0CRT2Ich5REhCFaWus-oFPVGzAN6nFtHR_GhRNNenXO4xAkCED6OVSGnDeAPPmFA,museum,12.532042,55.674479,ChIJ29Bo2ZdTUkYRfFLOXgQMGJc,721
Thorvaldsens Museum,4.2,CmRaAAAA5maHyu4jlryUaPf4_pLaRuxGIAUO3Ics8dnhFmJ04a2DO8Xm8gKc8300DfYKetiB5EDcLGZqasFMI87KEOydwhJicI8RSEDm9kj-o03o2rriAgQmaH9dVugwBAZcmiObEhDuiv8fzK4l89eev1LCbgfcGhRqI_02Ai5SbYAiCfnlqD2Tz4Scnw,museum,12.5783916,55.6767472,ChIJF2rIsxZTUkYRwtHCYRGSY5c,453
Designmuseum Denmark,4.2,CmRaAAAA7Yg8McHxLxs6tdLYMmVqsmMWv9XsQdvVoRtfm03hjBKqxVge7C8iiw_dcZsvBjHan-bkEhMvSPtlSesm2i6R4cKgYeAvn2zPrfJBvlAhrugvh0LZ39erzpntU-Tbw6JDEhCRKNRJ1ScNQp6e0kFr1yUBGhQ56hfnHKyYE2X1LTdxeSr8IP3dEw,museum,12.5928423,55.6865563,ChIJMTzE6yFTUkYR90_sHEhzRqc,1029
Danish Jewish Museum,4.1,CmRaAAAAPWTfQ1HgfWQRM_RtHSYjyxhi0GrzIHGkUxn_qM0_Nf9i8xsyjvkaDsIMeM48ycSjpRDO1CVMN-2T3fS7SLiyR6rIghVv6hWcExwIre6hs_oWxEfHQTtJPa8L8ERNpHrIEhDW8z-9HFLU0WLSZyvdFsvNGhSaF2wCQmAxvye9oUBZmk_kOBaF1Q,museum,12.582269,55.674272,ChIJS7YcxRVTUkYRQ0ZvaPs-cGo,745
Bakkehus Museum,4.1,CmRZAAAAYQ_qSwieOnkoevwB2EHdhNB6gpp0LZwza6fV7X8tHVIF4nifLKOqDtiOG5icDFOQi3yoYJbJylg3F3EgWiBgryl37nMT_iX4BBqd5JDcDf2Uf6QmC2uwsoHARjZrV7KFEhAApB5mLSHwxfLh_UVi68KjGhSWxfmSG_7BfK9H93hjgv1lgBL5KQ,museum,12.532045,55.668469,ChIJc53oB5pTUkYRUt8rLORRayg,935
Geological Museum,4.0,CmRaAAAAxCFo51ge3XE4g7GPJ8AwLFuCe5Aa9a95Ujh0wQu_2y5oNot_xvtrX1XTuXFXPn_IKeTk8ACCj1W6WHJb2hgrROeo7vBcWKMyARt3AzkU0WKouEfmCJI5SL45wPGh_4DfEhBGQRSGi6-Boq_ZzhKvX5LWGhQ_9wf6rzAQZVSWS3Tn4sWLoRRJOg,museum,12.577108,55.687188,ChIJaYrImBxTUkYRTv3YfV7vceY,703
House of Amber / Copenhagen Amber Museum,4.0,CmRaAAAAm7ryH98GeOdZM162-8Z9TA7gxIR2VCvLIbjcOUtarpeUOKuT9VSFSXowbl0i6fdn5_1JSFp9qEoHatTKRgwdhktb_WokQlIXCuZzFPiUBXC6kb9GN9f64QFdXx7fcOAwEhBsDGkz8XzeT6Jgo71lEIFIGhRD8HmMWzyeGrtQo_G3IeuUEq030g,jewelry_store|museum|store,12.587587,55.680906,ChIJV1CXBRhTUkYRQu4Dn0HcNpw,871
The Royal Danish Naval Museum,4.0,CmRaAAAAm69oy2VBS0kFACoOjVW8_e_YGBsc5W9LkKEhJQ78NTVm2dwJc1YgCEYBCLr8IXfp2p-9oJ5Kds-_t9fI2jWEoDpxBeKu79sSanYPeZthOQM5e1M1Yab40xPkt7x-1Ky2EhDNgz3a2uex7nd7Z4A3ZhM6GhSHdFcnb7_FUoDkHnqlKu4PUJzloQ,museum,12.594414,55.674245,ChIJiZ-P_DtTUkYRdw7GZwT3uZ0,1059
National Museum of Photography,3.9,CmRaAAAAnQ0a6H1Tomyn5PfXNlpJIcwxMcW00x50WvvzDVRGRB8a-obASWpRkzclTN3itoi1jdZ_JlEWxZ6_k-EmoClWeajGnCDYsVDkGoKnv6JEoKiT4qa_tsfdH3MwqCg05CbJEhCeGP1B8dTcfqP-95Gsp2-AGhT0IBwVm9IwaEWa16OzlpMhOwI8Wg,museum,12.5821264,55.6732158,ChIJSTXBuxVTUkYRQzlvy7ySBzU,883
Museum of Copenhagen,3.6,CmRaAAAAgrfCj6iqvUVODosQM7kvu0-xeN7Sc_SPk_GJkbTMQaNswyUtSLx_KQiQSZrJH0iGrbuld92bC2Wrc1ycN4EpbVmxHuU7xKJdSH4zrdUPV8OOSlaGbrCxOfx2tsyWsUdhEhAq4WMz4YHR7uz74Zkj4ECvGhQ62hAnJjTUQjKJIy_gZY3jYsA9Lg,museum,12.5532107,55.6721475,ChIJuT-bLnVTUkYRhsDbOa81Gj0,589
Post & Tele Museum,3.5,CmRaAAAA08cQBARRK_SSg-bJVO7dEp-eHSqHhZnVv85dDB4ZEIMEB9F0TnI9NPRQKlx5IELSuU2JLX7AtKNjAdEwS65S3uniTebKt2_t8_-x50n9zz0_gFlLsYGi5wvsTDSPlYY2EhCpd7tE5i96SgNUB3IXhvgbGhTf2VnTCGv9imtBTv6bL0EBkPRDjg,museum,12.5750192,55.6996673,ChIJW9kBmBBTUkYRZccGWkwJrfA,1326
Ripley's Believe It or Not!,3.5,CmRaAAAAvJMFy4QuH0vwA5xq5EHc9tb2F5gDVEN8vGVYTVPnnyEWGTIor-RZ-X5XVky2_dYuusBOaSvCADHi_kvdybjhoBjZrCEnvVKV2YkLvcjLD3FN-c8h6Frt2DJzytGdTgwhEhCbrOA7bLBOsLbxJ_RZXj1kGhT-kCMrdnwPJlEMR6NaZkrB1U82ig,museum,12.5698934,55.6763409,ChIJAwi1AxJTUkYRR8geYzQgzSM,292
Guinness World Records,3.3,CmRaAAAAipEwQR-TQJ9AnGIgGBHWT467YbfIC4K342Kg9-mJ1UfQM-uA31nM6rsMUA9BDhA3nnO4uQVmpb9JQh-F-Kt_OweCCeTGAuHMwzxPlvaRV2DLOlPIam3rr4wpIXud8vjoEhDxzqJZDIs6bGZODQYPy2SZGhR3LKbClk9YcSayU3J9YlQxpvKp5Q,museum,12.5838497,55.6802207,ChIJ0zpeghdTUkYRc3uAuuHgZ50,918
Statens Museum For Kunst,2.5,CmRaAAAATxqLxDac31saZqw1UvfcEuugpV8_yhTdaGauGcd72m8Y5IlrDjGr_YstLxQuWFJ_nf8cxc7g_SqfeRKKqB9pxDQs-RqBWNu_3tO0TKz0gsrMMtVZ5sFP2vYNQOoN0HIDEhDKDftytSskT0Ou3KQGQ9spGhS9-Dohb-Cg49x-DLTkMAs0zFUu9Q,museum,12.5969749,55.685576,ChIJNS4BaiFTUkYRvZrOWsLYFwM,1319
