name,rating,photo_ref,place_types,y,x,id,transit_time
BCBGMAXAZRIA,4.9,,clothing_store|store,12.578938,55.679947,ChIJkbxhthBTUkYRKJx5RUwsmiI,715
Triumph Strøget,4.5,CmRaAAAAPKRvISlRVr-MnpEkBJRZeUK_P9zJiPkfqQolYaR-rkdxaJ_PR6zWLXRTnrym-YHU_ENa-swdzEaonXH-rakmaQBOxyGzm8BaFZkXusAe-CyRqLBJbpnhYzDvr-B3KC2DEhACJHxbp2Qgc-SGz4CHxf5NGhSee0KklShBYGtavrBGgmoIMZCFLQ,clothing_store|store,12.5812574,55.6791648,ChIJk4jvFRdTUkYR8iTwERcNWnI,699
Victoria's Secret & PINK,4.4,CmRaAAAAPafOLqzzm3ZTITAd-HwkuallE9CtzM3TzyfAlro_lkl6kOqOIHWi4ONV66QAxEHOI2ujppFLGGC3HxBJQxa6UMbh3v0i3_Rw7xoK_e__vJMq_SCRc-gyBCNHi5LU5UmzEhBM6LASeWq-lpMWw7HSCblBGhQvM-RoVSUFawG1ZQTqQxvq5Jy4-g,clothing_store|store,12.5791248,55.6786822,ChIJQ8l4KxdTUkYRQGu1d5N6A4I,548
Michael Kors,4.3,CmRaAAAAO3_6rvCco2SAJlxwgScsqlSpX_P80mA8LrJTmLztVTLG9S1yr_pj4HlvgnKHr7gnAmM3oIe9vH4wzP5mJhXoJVL46mog0rVimzmALHSbuXK5-5uzYIImjtWqqn84_hceEhBday-z6Gl6CEq1f0Yd7WwfGhT1dTEWxkA96Mpq_PpGBTW98NKWFQ,clothing_store|jewelry_store|shoe_store|store,12.5841368,55.6800333,ChIJzfbpghdTUkYR_hO3nb40Nsk,911
Fisketorvet,4.1,CmRaAAAAuUnveuu_QWAQBc5LtnMJ7qUpZB6cbnldVjwEdS_0wpdh8ybXo9xewZnQQaqX72Oce9PZgj1cB0DZYpJcS79w1ExY3-1sW4poU267D3YduYS-7vLkIsOMMLhQqsi92O51EhCLZdqrlXOQV8_SYSOKuzOkGhR3uTE6FMj2EYBQ1H1NrizXDgOanQ,shopping_mall,12.5629347,55.6624503,ChIJcWlDE25TUkYRcj8_xb4uXGM,1015
Field's,4.1,CmRaAAAAYpS9Z0pyeKlDXs6Oe9GTabtR-vNF3NiBJLRE-g2O5IU_B8LEWWcL5JBClkvuj6b5A4Es-3E-U9n5-SiLRj0zSuC7S932w_-S-33yAN3r5sVwWInnKUxu6ZowyFY5TujYEhDgSznb5lP7fZrHiaBdvL04GhQZJtgOl3f-D6oRca-0SQdFrrQ1cw,shopping_mall,12.5773905,55.6303447,ChIJD6C_6w1TUkYRqzJFQ31tmdo,946
Abercrombie & Fitch,4.0,CmRaAAAAPu-S26eEdGrRfO2WyXtNi06lPXXuOHKH-a0UCgnsO9M__zDepKlvEGRRQna8I75HXrtkp12vD_Y0xge0hCWfGjeXnG1JewfFOLCqJg4D7D6DwESJIoGPTN2A58O4zG6qEhDcTfFJd9udzM8Qz352yd6iGhTUCs68Vi84_Ayp3BNw_twt1ry58w,clothing_store|store,12.578833,55.679695,ChIJb-JzyhBTUkYRON3m1yaQ29c,693
H&M,3.9,CmRZAAAAKve3mNhbqf7wn9rjxEi9aUeyWRetgi3DCU74yBlW3ftok28Q400Q0e1v5yzL1TLnyiNV3wQ7PyhDSZ_XnwgzG24GcmxgGmW7FpAZ0qm86mNsvCEbpd7ZgLX6rhxKVanXEhA_TEXFrqWYfF3GxnX7blvIGhRW5R9n0Oge-JfrKKslSqYwpIRkvw,clothing_store|store,12.5772336,55.6786351,ChIJh_xJ3xBTUkYRpc7447NGV1s,464
Louis Vuitton,3.8,CmRaAAAAFNAzNoULQhtPPEFfNYLQLQCbfXYrPRTHpBnoxgiCh6iLVWciZQgWFy9Er4kTpgYQfNcBHOj2aQoRCLXe7GJwysKqQrM6Lh6PPYRETAQ6NDKViGVlfV-vgq2wxsLPAMOFEhBWZCfEi0nV6LwF5VorVxcIGhRBHoF49ch-J21NFsbCgqjnJeeZHA,clothing_store|shoe_store|store,12.5794449,55.679062,ChIJXxRueBdTUkYRKj0kXpa72sY,637
BIG Shopping,3.7,CmRaAAAARown2CzwBeWvTFH4iUBTNkeWqCiOGO--3FIOGgvqeP_wraTLV4NWxjGKxKkgr2uOnBPYKBolaFrRDGIVZtoiMzdt6GRLkqsdv-At5ZVXY_XGZcs_Cf_IPgsStNkPTv_dEhDlCbV1NpXwtdB4RV4laFrPGhSIRUPeOkrdUvWFsBGRV_XEUs_Ttw,shopping_mall,12.4494774,55.7180491,ChIJxwHFTLBRUkYRp0MhOknbhJY,2738
