name,rating,photo_ref,place_types,y,x,id,transit_time
Danish Museum of Music,4.8,CmRaAAAAx0ef_b7NpuAhV15a7L7yU5pWfVfBtVvtW9u9_E0_eOYRJQBH7f3oV3jLKOS7s9cQZ1bzBGCGirsrv6Up1DVQTlQtn0oeI9G8UuhgJi3UFf8QNUFHVXB1zcJCPjGzPkvMEhBLWMyUK7-a_4w3DBtar9NmGhQQ3XE_txi392NIkhPRextLjMQNUA,museum,12.5524056,55.6822634,ChIJnzO28RpTUkYRTO2xhpu63pA,471
David Collection,4.8,CmRaAAAAYXTrL27VwPEkV3-x0QtFCXCExvPyAssY-eOieG7kCYJVntfSlaEpXtx57fqAkAv1Ml4hIVDbQH56pCFd7OjkzgVJnu9kbds13Ch783Gd08byGbLIzJH8GjGNcsipxoxAEhB6kK-JFMCbG1xgBRA1jN6yGhTaXZJedOmbAvLRleoJgdbHWuL_Ww,museum,12.5824472,55.6842905,ChIJPRprexlTUkYRAa6-YXcs7r8,1164
National Museum of Denmark,4.4,CmRaAAAAe4tjOa4XfASXC1PoVCWmKmbiN0fI4AmsFzqJhmo_22blgDgNBxDbp15Mfvvd_I6isPBX38xTwZRvR-bSefYsk7eO9VT0pkC9cbACEIDjZV6UgmG5pCJi6m0ZfZ5pvh92EhCIaDjDRiAPYQoSqTtZtkPHGhR_871pmCM6NUqkKAjNjv565TiweA,museum,12.574741,55.6746479,ChIJRZnqvxNTUkYRr1KKLRhldd4,485
Workers Museum,4.4,CmRaAAAA5V3BC7W4PHkpHr33_XCLdaRt2F5joS-4e7f-7aWt0QB42JPr3k-m3j7Y6BeNAi4jf1p5qoZLCjGv_CTr9mNIGwYUxyUW4k2r5EmhsN-rCAznpMdLp6ReCw-i7cy33sk1EhD0OYJqYkatO001KSIrtHHJGhRZuDJFKjAAr_kENzD4ezG2Ddj_iA,museum,12.570408,55.684741,ChIJhYY5HQVTUkYRU7nk0bC9YhU,632
Zoological Museum,4.4,CmRaAAAAoxaxW_Y4kK80ozhVEZDmaHW162lworTg1ElXEB7if15cwwX0ADuamn6lKWrcG_W06fQebt1YVsdNIMhaPkYPJncybY8xl3wzCFCfk0GEHJPGnxdfIidmfD74vmskZ1k-EhAwmZIGMmMGCCaQWUpj5ENjGhRovg83fbpVGSQw_WwS2m9nf0AdTw,museum,12.558926,55.702512,ChIJW1dN5FZSUkYR57GetpSGX3M,1524
Storm P. Museum,4.2,CmRaAAAAgMOKMNaeWVN8HiHbAGZ5R5GfQ5UiF9ITtW932uB7QNs59D-JCxT3pNWBd_bdgKFCuat-OXei3TdHayz5Xy73a-JtpWkpQz0RVs3GWH-6Xmb6jTesLmyBmSS-ZW3QJyPLEhBaa2-zXAf0pKnsnM9g5O7jGhSeWjEiz2IJ7_C5nV1Py6-WiSpWIw,museum,12.532042,55.674479,ChIJ29Bo2ZdTUkYRfFLOXgQMGJc,721
Thorvaldsens Museum,4.2,CmRaAAAAJzD6c-fIrzO_kNzCFTjLC71lyM2NYJZXayEXnBgkMRjHobhvQgL6WDASZ0Xmg5z4G9uKa-eSuTKhZ03qz3_IaTcEwuCoPj0m7Q03EYp0BOftqy0_b7xInUVFQp4WxoYLEhB4lE6Amzk6LiniArSv1nveGhRK3N4_Hzq5tk-iow50kDq4HNIE9A,museum,12.5783916,55.6767472,ChIJF2rIsxZTUkYRwtHCYRGSY5c,453
Designmuseum Denmark,4.2,CmRaAAAAR3hqOz5r6ylD367if9XZkIlffkr_8mV8ILPDl_GG-qwkJPScwpgFvcsJfg9Y3BsZZHWfj6GN9iaVo3AI91FQM_PkbJCMOoLt7aQlq7tLpiOLl6I7vrAvhXlVhpJEUPaqEhDcpOfsvMZjs7yTsMv-STB4GhRAhckpcEMaavV8iRoffU_0j1fb9w,museum,12.5928423,55.6865563,ChIJMTzE6yFTUkYR90_sHEhzRqc,1029
Danish Jewish Museum,4.1,CmRaAAAAg0-4J60GeIaCvrsA_3skmPXJKLZnN6eFzqae87HdtZxYswQjGvsmfu0dtEcpnKIjjoC67Y2LO8JVR-K4usyXkwuLimp-esGOd0XAA-A7lfEDs9CP2UUxG3IR2SbD6piAEhC7MLzzqg9uUWu8ByKbSrg_GhT8vfrEHdMBJFHWa-OEShzFFLqvfg,museum,12.582269,55.674272,ChIJS7YcxRVTUkYRQ0ZvaPs-cGo,745
Bakkehus Museum,4.1,CmRZAAAA8s035Kkkei669C6svpk00tevAlK0A9wkIEkg1GpTIJ0Q3THKK0xN12Bo83RGbrPUDJiIAgRfijpQKqcIn56eSTaCtQyD4Qaxo3FlekCmuM3NDI91HkHOx5ZaVCv8H1udEhCJFnwSnhlMZxK8W5jrpqIfGhR9lncmGvynux0v_BWk41EvyPAcvw,museum,12.532045,55.668469,ChIJc53oB5pTUkYRUt8rLORRayg,935
Geological Museum,4.0,CmRaAAAASrFwGJVnJtQ0BUjD8JBWWUVqy7kY5WDqYmexxdpK6fAwLQRMLcXYqG-I_soJ85ot3aBh-iYyBIzEKJDnJ-RYstZg52NG-NbhzrM3a_s3UqT1vAfWiNJDiyklm7PvWUOGEhAsgIYtqdh8JAz_mjDagafrGhRH7JYJEg_aPr3VM2lTZFEgNc9N3A,museum,12.577108,55.687188,ChIJaYrImBxTUkYRTv3YfV7vceY,703
House of Amber / Copenhagen Amber Museum,4.0,CmRaAAAARon6hdLxRjLk7T9waDQR3HfTRSCmuQYbPPLq049qP1LzkvJ3mRIpWBaoiQ1WarfQ8jbjBaPPfLlcma2_9jX0jtU2BdcNFCrg0Rcp6fUvCHvM0XDI2jXKc-c_b1zzFcZqEhAVOviCT5FKb1TTRUFMUVq8GhTZyhCfu5nL0kvK2hyYAvL3X749Eg,jewelry_store|museum|store,12.587587,55.680906,ChIJV1CXBRhTUkYRQu4Dn0HcNpw,871
The Royal Danish Naval Museum,4.0,CmRaAAAAy2jlkkFo6ErdyhzrXyO87sCKt0yCgnFSkNism24Rha0MMlkRYqN-dQnmWidjPEtRw63yegotiZFjE0pYfAE4XxMY_3UlPMzoiTlNbHW6jtgV9YSYl0o6s2L-kQ67PPGtEhAFkEdt2WRTZNoDjzfrKtwaGhTCtJ1rIopitzBQG2FzQnxRWSy3nw,museum,12.594414,55.674245,ChIJiZ-P_DtTUkYRdw7GZwT3uZ0,1059
National Museum of Photography,3.9,CmRaAAAAV0rD2hHuctKTmkCy6j_apeq_V-xraHdtCkteI9DiSp0eBBF-4zPNocx3Ju9Z_8I_gkd3gTeIuSnpR9vbZJT8BUQ11qwsRrXylI01w56TYBVhrRpj0-MNmFXRS4TyvPjeEhDFjTjm_5Q5eDcDdDg9NhLlGhSL1XAcwMxj51yE0KnKMGZZyeFyWA,museum,12.5821264,55.6732158,ChIJSTXBuxVTUkYRQzlvy7ySBzU,883
Museum of Copenhagen,3.6,CmRaAAAADh5dJLwcTin130al_LuPrnFqkFOfrWpO3blQ19dVVNKBIsv2lbygrR0MNKgZnLE5oY1FBSqT89TH5HUzbKTdIyo3kSZXxznHLDt7EwwiY8IdfUa2GT0qQEtCJJoJDxwLEhDjkFk3Q3BWuuv4DsxHncG6GhRXtXU3tkMOWp7s7KwcEfjmhXG7hg,museum,12.5532107,55.6721475,ChIJuT-bLnVTUkYRhsDbOa81Gj0,589
Post & Tele Museum,3.5,CmRaAAAAsrId2dv81oI6QzSY9AA9YuNDI5MWe5DymD91GvQ1-T5GmKPBecpWDqe9NNH2thLSLudYIaMWt5ousDRNVS5Q9d9dvIJsOwaYtvSluFlndOdkSRxDCiRNI74M6XQfIbOaEhDctycly9xgZhxmc8RW6F_BGhROUk76U_HsQFKzgvbY03vB7o1Irw,museum,12.5750192,55.6996673,ChIJW9kBmBBTUkYRZccGWkwJrfA,1326
