name,rating,photo_ref,place_types,y,x,id,transit_time
BCBGMAXAZRIA,4.9,,clothing_store|store,12.578938,55.679947,ChIJkbxhthBTUkYRKJx5RUwsmiI,715
Triumph Strøget,4.5,CmRaAAAAriXct7022cHXBQeAfCMPP025v5VcoBG-TlqfTwccC78WK2HtOUTHYrtePy-cAqVR-JXj36VLlii8ENCHzbfRjcwSwJ6LW8_MiMY-2M-byhzrF_gSuwl4P6oxEf0_oVP_EhCzwDHoq7GGp9-yN8mknQ0cGhSupe7VR-jWwZp_cYMoHh6WoX1FyQ,clothing_store|store,12.5812574,55.6791648,ChIJk4jvFRdTUkYR8iTwERcNWnI,699
Victoria's Secret & PINK,4.4,CmRaAAAAkPg1acbC11T-qHnNB4WsuSKSCRAlZkwofPTzFJL6k9fha8GHDk2ftUFMFqN2XTIHKdaQfpa7vQKJmOx_ZRSfmh5nUgZo-Yu0e9LoXCwYnVGyFw77WsKlTt_KX4wCkgMrEhCnA0SqcSUvJCMF_k8xVBsOGhTQnwwK2LDqhmZrBBzNTasBCzaLVg,clothing_store|store,12.5791248,55.6786822,ChIJQ8l4KxdTUkYRQGu1d5N6A4I,548
Michael Kors,4.3,CmRaAAAAakT72JuDEjZVE8ev48ntW7hLJJPD0ZAdFRRwQX6PeTArByvUM7zb3HbWfME8OBEnOsInqTTop_JKwBzeOeTuBGjq8E4GLe_8B23tcUebTKRZZBRiojh6sPnRKhK2mO7zEhBJ1H7HA7e_dV0mSNrrMOk0GhSwzQc2CJgMgYNneUC6PwhxJu1Xzw,clothing_store|jewelry_store|shoe_store|store,12.5841368,55.6800333,ChIJzfbpghdTUkYR_hO3nb40Nsk,911
Fisketorvet,4.1,CmRaAAAARVqWFKvRsRaHPDQ817mAhk90jAS7dqBSX9yb3EKJ28l3fkRmjms1z7zSvKIu_t8n5mcZSmZOCqfgv6CJlAGX3KUrTM-7SqedrIDl3AdGAU0JlPYEMxOkRCNb7Zpb7ufuEhDWmozFaEYFc6avbAjoGOF_GhRe77lxkn0_frncc1XaAXY8D1uEZA,shopping_mall,12.5629347,55.6624503,ChIJcWlDE25TUkYRcj8_xb4uXGM,1015
Field's,4.1,CmRaAAAAYPEKATLJW6dGprlaVa8ezWvJ4RelQ_rQFoM4DxqPF2c8K-Ef21E4I7v5ZrbMB9uoh2V_ffe4A-tfPOi-bHsUfAzLP6QgncgBJqO_o04SFfUA2nXq1otpfKyZ8amePo0AEhCVzQUXyebm-CvqSVxP0naCGhRXgSpBEJxwHUa3FuEzc6gKEMC8hg,shopping_mall,12.5773905,55.6303447,ChIJD6C_6w1TUkYRqzJFQ31tmdo,946
Abercrombie & Fitch,4.0,CmRaAAAAwJ4vOKlbVucJ1m7RRkI5nmbVHjDiUAP0Tr1gW9TJw37sRJ-MpFjnny4QkZHkNEO_fITwB1Hr9Fc1J3jlEBp53OLKxmY7IaBKt0Odg_jJdDETbudMNe0fmgtZL6-qGfSXEhBM2pSNA30KXoVLrvTM21ziGhRtryS38TRW-cVQg7G88RGb_HQuUQ,clothing_store|store,12.578833,55.679695,ChIJb-JzyhBTUkYRON3m1yaQ29c,693
H&M,3.9,CmRZAAAAGY4ztExFPsMPYyu7vYtsNX1ptpByyLfauslopa64DFgshINQqvqr3wwD0KulkEhS00o8RsPkCJMelEyuD2jK8vSPLzF7EfnWiu-YAHwFy9hHEgYzX6pJNDgzn_mzJ4o7EhAG4v5pl3iBvAxsNLM31JI4GhSEIhSpuCfVii4Cuk1b1USZ2tVWLg,clothing_store|store,12.5772336,55.6786351,ChIJh_xJ3xBTUkYRpc7447NGV1s,464
Louis Vuitton,3.8,CmRaAAAAVBKTrgRkhOf7baf3g4yX652v1o6TmMvmnW4bgpaXbW0BMknwezAPBFRlV_BdCjj-rzaNx2j29Oai8fSUMC52kPam4kbXHJ-l4FuhGyvzkYoPO3jtiTrvL9ehWYsyEMS_EhBVstVeK2KlNmuFOTrKEbaNGhTe5KQ5IHTG4cxofYANmpdfVD6reQ,clothing_store|shoe_store|store,12.5794449,55.679062,ChIJXxRueBdTUkYRKj0kXpa72sY,637
BIG Shopping,3.7,CmRaAAAAEVc1FfPbVXucrM1E7UhmlzYCKKs46Zs1Q7MaPoMiBjzIvnR9IFe09NKZnxNiTPXVbWvLVIcWzxHU_nzrthV-k-_3DSVyQBrcBHsU2_8DAlmuTMAWueWonOCOw2L7kW2YEhBpU3dmXq90bpd2HbJMa8XCGhS5CoLfocJUjfYXBWIL3KQqV7mkzg,shopping_mall,12.4494774,55.7180491,ChIJxwHFTLBRUkYRp0MhOknbhJY,2738
