,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,,,,,,,,,,,,
1,1792.0,0.0,,,,,,,,,,,
2,930.0,930.0,0.0,,,,,,,,,,
3,319.0,1707.0,1109.0,0.0,,,,,,,,,
4,721.0,1437.0,869.0,914.0,0.0,,,,,,,,
5,1338.0,679.0,441.0,1274.0,1190.0,0.0,,,,,,,
6,1316.0,897.0,387.0,1252.0,1043.0,400.0,0.0,,,,,,
7,2013.0,1352.0,813.0,1420.0,1108.0,951.0,867.0,0.0,,,,,
8,752.0,1648.0,822.0,945.0,558.0,1273.0,1115.0,1469.0,0.0,,,,
9,630.0,1346.0,683.0,823.0,179.0,1134.0,1107.0,1226.0,509.0,0.0,,,
10,1631.0,1106.0,869.0,1824.0,1336.0,1180.0,1220.0,1491.0,1312.0,1294.0,0.0,,
11,1203.0,856.0,705.0,1396.0,968.0,930.0,970.0,1327.0,944.0,926.0,475.0,0.0,
12,1654.0,1179.0,1347.0,1847.0,1684.0,1198.0,1352.0,1740.0,1731.0,1713.0,606.0,758.0,0.0
