,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,,,,,,,,,,,,,
1,2478.0,0.0,,,,,,,,,,,,
2,2024.0,3052.0,0.0,,,,,,,,,,,
3,833.0,2601.0,2025.0,0.0,,,,,,,,,,
4,6844.0,8623.0,8334.0,7020.0,0.0,,,,,,,,,
5,400.0,2995.0,1648.0,1157.0,7199.0,0.0,,,,,,,,
6,951.0,3450.0,1866.0,1142.0,6612.0,867.0,0.0,,,,,,,
7,1427.0,2700.0,1688.0,1462.0,7341.0,1115.0,1469.0,0.0,,,,,,
8,1134.0,2398.0,1157.0,1160.0,7202.0,1107.0,1226.0,509.0,0.0,,,,,
9,708.0,2082.0,1599.0,624.0,6677.0,748.0,1096.0,1108.0,903.0,0.0,,,,
10,1180.0,1779.0,2288.0,1096.0,6663.0,1220.0,1491.0,1312.0,1294.0,727.0,0.0,,,
11,930.0,1771.0,2124.0,846.0,5982.0,970.0,1327.0,944.0,926.0,477.0,475.0,0.0,,
12,1198.0,1682.0,2537.0,1725.0,7086.0,1352.0,1740.0,1731.0,1713.0,1070.0,606.0,758.0,0.0,
13,1112.0,2156.0,1448.0,1028.0,6960.0,812.0,1200.0,1182.0,1291.0,434.0,1070.0,692.0,706.0,0.0
