name,rating,photo_ref,place_types,y,x,id,transit_time
Hintze Hall,4.8,CmRaAAAA9xr5KyRqJSU7snKC672_-vHJcrF1T8AeaZSNM8PnBYcWNXYjEYCVGzw0brjFstKnBEg-a7sBKJ5YNYAlWHcvfHISjlSvGPke0JKVQUlj5dwd03CRJM_7CCqdgoTn7X1yEhDiJTY3b8trWekrNA4r7g1sGhTX8Wi1VFoNIck1cTowjxSZKHQ02Q,museum,-0.176865,51.496566,ChIJPbyM11wFdkgRk9mxfquNDow,1198
Faraday Museum,4.7,CmRaAAAAEBXLPpjk0enLxcgSTRUiFyWA8rK7dpQfze7xgZtlKTOqx-36zljpJUeao6AAMxgqpl3wweUwqO-aWrVRLfTNnQntWOKlcD1ugb82cExqkJE0oBGaxIf_ITG4OT8p33HYEhAODWd4KKTk-_zAWRxXqYX1GhTymdfcH7uFVHBOka7ZZiy3t4Saiw,museum,-0.1425581,51.5099044,ChIJzfGiISoFdkgRQi68A4o6qsA,631
St Bartholomew's Hospital Museum,4.7,CmRaAAAA2LawOyoih98LdsKtMYQjHIylG23XLNR2N3cW2IHREGdYF_VvcDZ78GsQS4QYbJP4mhzDQUbjqcQS6YIxn3_1jeTGFDgNwxdStTATMocW21SJB5lx6D6519wpWASgWea5EhAFFftr2pQyM33LxkI6cH_lGhRoi6rMls_YVRV1pwOSOYlULhzxjg,museum,-0.1003414,51.5177863,ChIJs0nCdVMbdkgRU4LBLvQaGno,1163
The British Museum,4.7,CmRZAAAA5YEJ0EOwtDVEmVEdzXrG8wLsr1s-AwHbSo09hH5lOzPrZAZnHX87xMjlufE3VwKZLQR8I4HbEp1IArcEvuF_9tpH-_0x9qLFk6RTSb_xaDkFhc-76CH_N2tlqdp6WsEyEhC4Zz6UWnAEbGSKmCNTtp6dGhQg7OY5KlEbA0fmHxN1bkB4uvLHFA,museum,-0.1269566,51.5194133,ChIJB9OTMDIbdkgRp0JWbQGZsS8,792
Victoria and Albert Museum,4.7,CmRaAAAAExC4eXnVT3V_p-ZdVzGqV5m0rKYTjd7TFNHNxH-qnowTXet2JeRGSbJx45OC0S3pdhWH0mHUJ3917I6RlnQUJJJfc84mmc6V8aEPYjuxpO4uv6Q2od4E7eleU9H_WEjtEhCt5vMHvYmOzcp07zbVhzIxGhQMu4ZxHxy5PyQYtAURU-nT4tOjkA,museum|art_gallery,-0.17218,51.4966392,ChIJw1d-sUMFdkgRH2XN_U0Jt54,1137
Sir John Soane's Museum,4.6,CmRaAAAAOFIVtlj3DHWUS82iwTjREqMgrScFsVWhcZa4UFAyAFvnRKx1CUpBohcMb4MsUuUCTTFTcA5xS7Oppmkl850MSjCJ3lHgNHEvBRacFBiY-uIFjdVN2XmI2B_FjYhq1nosEhBrMAp3k8UB976mep5qYufFGhQeNne00v8RbKJSyfzgfqdOHfmtKA,museum,-0.1174699,51.5170382,ChIJaQQ3lEobdkgRmauadcnji9s,870
The Petrie Museum of Egyptian Archaeology,4.6,CmRaAAAAL7t9KvEZQy0eSRByJfHD-3EWD-7BN2UeavrIZW0XZnvNgn5MK_6j0rRjpl3g5tLMu7qo08IzEx3XqWRpSBtZdyg_JJbutvTyGCmYNh8NgMQxcl89AclkS-2IeJHBIDX5EhBt085bYXDWCQ5HzdpRtKOhGhT-f9eI-ew7wcdigBswLpbP5nBraA,museum,-0.1329517,51.5236043,ChIJXzsYqi8bdkgR2wmXF6YbzBU,805
Natural History Museum,4.6,CmRaAAAAqKUGdiqFkKrRPe8U6l81NDhZGd8Zo-eM6xGqkl_f9NUVL7uHZArz0fDMxMwKZvg4VcK1RQKyBpcKH6i-B4U6X26L7y--QyWm_2B5YBSzELtjeP1YVeTg76LhGf5dReZ2EhDDwUrL0lW5zSmO2k1CYWQKGhQMPwY4hRe_yAVfK4F5JnG1zbtiuQ,museum|library,-0.1763672,51.496715,ChIJPy8Y5kIFdkgRxGSXw4Xjt3s,1787
Science Museum,4.5,CmRaAAAAGGtKQ9ksOUC0uDLkP8Pw1eBYGWoAG5stLmqFe8BixDjyRhgeX6OBUYFJAzEWgnEHWfCKIFHDPEymO9_aZdzUXF2AcDe4CWfo8wNVdNuM9FRXKV2-lQBuKCuUEJ7CD3mWEhDs-crCTEUQjZ3ha_cIB_zWGhR1BwmJI8fDkgyZYfd0pKZmugteyg,museum|store,-0.1745235,51.4978095,ChIJP9oAE0MFdkgR3iKGFKZO1SE,1457
Museum of London,4.4,CmRaAAAA-un9NWPANyDV1b8Fnl-HbZCdYwMHPRZUC_tkVMCQ1nH0a8ps1bdSLmYTHOtfKiA1FryRmnvsLVPuhcmJLE1ijlOy46kvDyUbtEuJPZ04rw5p0Jlrar1giDP50va0ZvGxEhBjDwA6MKn3q6OUQunhrcfEGhRCzZi0cOb2zHFt_IWerfVtUnQCJQ,museum,-0.0967782,51.5176183,ChIJ68vBCFUbdkgR5CUqlcHifUA,1362
National Army Museum,4.4,CmRaAAAANY4hMSQmdkd_PUuphDxyiS0CMtcxKxYeo_ZXS5FXD8LyM31IJplRzkgVa0hy9dVRk_CJOKJqTP-4yBs3mukvDngyCsHEIrzRll6Kk-uSXpF_xoshFu0-dLcQgmki4ITvEhCXkNb3V2ffiscVzCFfRB16GhQtPa4uMMUkg7ppKkMEaRSEovFYYg,museum,-0.1601986,51.4862408,ChIJma2VQBEFdkgRfxsd5E7cC3c,1379
Polish Institute and Sikorski Museum,4.4,CmRaAAAAQv8D0KJWj9s1mtuYBQFdcrWwRFxRVe4O9LAGYWVUUnwAInrZap2KbOu3dMB63oiQzuoj_L36s896vbUnOydn6C-bJmQGGx3BQJPm2HE7P2mh6C6zINx1Pjj_hUTDaIiqEhCOcwSPiDBqcPgUFUXgSfDwGhSboNY0D25nPxGtGTKXBMDlBt10ew,museum,-0.1728709,51.5014271,ChIJOcrJ-EQFdkgRfriBVbNkaTs,1034
Museum of the Order of Saint John,4.3,CmRaAAAAKMnXfzMLxLcChMdeFipNXXkvk22U91pkp0ocRjcy_b4lm0SpENTkjp3UAtB_Iic8qR5gxaq79Mws1DAV3WucE2zhsINLZDT6PeHIPtG0WNeczxyGL6piuxKf7Cd-hVtDEhDGkaOGY5tDDtVLhmNplLJQGhS_1EpGFJA20TWwOmS-8wA1PSU0qA,museum,-0.102734,51.522026,ChIJW6DSCVEbdkgRR0LeqG4RHc4,1538
Museum of Happiness,4.2,CmRaAAAA7dB1Yuv8cQEB9nqR83htvjvu2qzC0W3sLhHI0w4oHpXEF-h3BaJfhqLHR5ZUOYzS4MWSVD4k2owVgjgkvH4koM9945Rlgc3ug_vbDEWiiUIL6Q51XbFvYopNHtDstiViEhDZ7ZMIKTpG-jfCS52gXjg0GhTrd3l_XQOlG2rxhGiTkABiEUbyUQ,museum,-0.0715236,51.5202221,ChIJeQ_I4rUcdkgRC0p0BffjZPc,1672
The Foundling Museum,4.2,CmRaAAAAeuaHZUn7Y-uBb8odr8Vfh6Le4B5ynt1CYF5A3fOXX9HZTWe1Xn7pJl09nMsyAB6Tzpkp2jzky03t6eaVuUj-ajCkpmob7KEOrlG_VRFXQcrGf_4adzbuxwcbe0A_Ko-EEhA42D0LAmN-YzioWZTeMoPwGhQyP4P0X53VkGtEsT-P62ak6LpWcw,museum,-0.1216916,51.5251737,ChIJ3-M3YTcbdkgRGzQr8JQ8APE,1082
The Sherlock Holmes Museum,4.2,CmRaAAAAX4OuDguiTulKNOOrLDgmNMLWMWT_7j0wQ4TUW1VgqB-Jm3rvXDjdADbQ0Dicf2lIIlBJJ-vvwjHP1PL5Y_9Z-80qcuHdwIb0_M3wf3eWnY5sMbcy5w6SG98SPO0bBqCBEhBJpn195PetJCjgQtFkUvvMGhStv3jzlAUv0YirRt3EwIdkSQDluA,museum,-0.1585557,51.523767,ChIJkeddM88adkgR80g3pdkn0vw,606
London Film Museum,4.1,CmRaAAAAwdKhYwPHf1zVe7Zcx_Nj0-10q0rJpn7qHJcQAtKfR_vfmOETETh2oILWPV00idQBmrn9k59ZvcdK9182KAQLwd291BPbd0U7gHdRdxzPrAiM4MSr4i42MW8HQGq0DkXoEhC6BkC1pvCNxT7Uyv2m5QmsGhT8w2CRgfpzN6jReJqd1nw6Fql7pg,museum,-0.1210586,51.5124107,ChIJPyAwEscEdkgR3-d-RGcLyIw,506
London Canal Museum,4.0,CmRaAAAA5zzOyq6RKIBvumEGMpDbwSqU6_NlTt-AzzmL8rImAReGxWI4hjQKoEl7yf3QZkM4jfsjKqYNhSg2rP_10ZLYIifGS5XXGkeYfdpn9dM8foxn-rd1dgm341rb9uYXY09YEhA1HjwjOFq-YKh94pRkupmhGhT80dVEdSRAtfMfW5eUptf8U2xDtQ,museum|store|travel_agency,-0.1200199,51.534223,ChIJ6Zy7sT8bdkgR4O1HRuTvvEk,1248
