name,rating,photo_ref,place_types,y,x,id,transit_time
Polo,5.0,,clothing_store|store,-0.1439273,51.511587,ChIJzUiwsisFdkgR0p6LTvqqEp4,621
Moda Operandi London,5.0,,clothing_store|store,-0.1541847,51.5020184,ChIJyRS94DoFdkgROiADC1Y_f0Y,977
Dolce&Gabbana,4.5,CmRaAAAAS9D_TnOgfaKmpvTrMH0PVgV7nUt7JtWcJTFxEE7L9NTriDAq6mOSGc76GojHeYkspN5HChWkmWil3gTjfPXxz6Xc9FhY5Ie18B8_R1eN5ViqrycVomSkB2GcOAmzr3zeEhD_A9zI78Q78VhjOHz2AfdxGhSAG3khx8D38RWg2drfy0KsR909Kw,clothing_store|store,-0.1447786,51.5127688,ChIJTb59DysFdkgRPkAWW92P9-M,656
Disney Store Oxford Street,4.4,CmRaAAAAjy_Q6U_yRY0jFHWRrvwNsgjY4x_fXieMpc2Tpp8KzIKFtOlX_J-zvzNa7YGsmQtKh8o1J5l1CbCKiNquKSo_9OVaDvE4y-UMjKWiBJMUD3Ufv8Nem9Fa_2MDvmg9zpKBEhAsjbJcgKnbT_Ts97lIny2MGhSdrVxHM8AZrnoVAKsq-fjEO2ywPQ,clothing_store|home_goods_store|store,-0.1482564,51.5146543,ChIJWYpMsSwFdkgRiIulkiwuhDA,590
Westfield Stratford City,4.3,CmRaAAAA9Gflj5i0fAnCKhDnMbVCgyUtHIy_wzHtlEQPm6xnZuUVt-7Wa1pGET3yymCIyzwfDdiWDhcbfucgX64QN0atVky6kgfrvf1kHnTA3qb7_F2gco7f8CcF8V1XyjiSaIdaEhC9PC3K2Z9hOImFiV37U6qeGhQ_psmSbOHnVI6oSXrW6kGzuLdSUw,shopping_mall,-0.0072354,51.5431462,ChIJQfF2b2QddkgRhvL1CKoDiuo,2083
J.Crew Lambs Thirty-Eight Conduit,4.2,CmRaAAAAWVEA-z7LkC7Yxrnlkjdo7aL0PPTY-2BAtXk0_VKZGC_WphASHvdgOQAT1PHyxKI9qQq-OCNBhReyRWzMSh690LNofqzIwkrj383ju6NzE0T90H-gkDqHYU6g_fxE6fVoEhBX9n1i_sqp22yhOvfM_vn9GhSvfha7CZ9ARlpu4VwIwj7nCldMWw,clothing_store|store,-0.1180575,51.5215419,ChIJO8pcGDYbdkgR2C_15km1RKE,1241
Canary Wharf Shopping Centre,4.2,CmRaAAAAPRCB5IXt8NvB3zfO8Bbwi0y7pN99-GQ5PlmgM8tOnjvKdKNdbPWDPwEyt4wTpnKIVNNR_kZxpvR20K10v9ye0n-hRYbk2lQ41XgUOqNpDdR9L7JwkimbcDhLhsR75uDwEhC63H2kbaIxepc4wkafWMyzGhSguTgpeZSnkbL0zl7qS-7WAZAWrg,shopping_mall,-0.0202621,51.5051333,ChIJ84jeebcCdkgRZwwSLuE0Ps4,1536
The Brunswick Centre,4.1,CmRaAAAA1O8ZeA2D8EhoK2N_43j1iQvFg8Rl_cDC_XhvoDMzxbXSt4RtaUOkD61G3BrHnpv45ZNjA7tBXMGkfyrm2UP1UOsIj7Nkuvu9fIdqdXf6yGuNodA72ygPjUwhJYH87u_qEhDZIJnBqLAxFpOFffokhxNmGhSDDSFkQmXQAoF9HTJQ4xjLe8VD_w,shopping_mall,-0.1235315,51.5240201,ChIJI7h_SjcbdkgRJcCnnXzZM2Q,917
Ealing Broadway Shopping Centre,4.1,CmRaAAAAXbS6xBLownxEoXTlD9d98Q5rQNB7EhVXkAbpxL9pcTyal8xghEa6x0fySro1gU9kbB8VUePW3zgZKIRvSpB0-kosAlUUKS0_vQf0DnPMCKABIoojzv7BCPufYvaWm7MCEhDlJReFzL4VMc9LQMsMCVegGhSn6BfEqvm_2Au0e-Y6jNXWZTBY8w,shopping_mall,-0.3036099,51.5132179,ChIJN1gpCPUNdkgRuwt2romuwhE,2095
Anthropologie Spitalfields,4.1,CmRaAAAAtAUIw5idhQ7_HI9I2MNpbCpROmqj_cpYKTold_W-OTzCrP4w7Jsxm_Yz62Y8qCG2-9bhCDMFNgozOJJknvsvfDJOw4rK3GiPkcC1NrnoWoBM81iIckkX4WYSerGPri0DEhDsNh2FT29K6ESDWM-msO8lGhQZRH6dmNF1Q6vPQxtGro_eMWtZhw,clothing_store|store,-0.0780186,51.5189525,ChIJR0KH9LMcdkgRiSLKgAugvvk,1583
Gap,4.1,CmRaAAAA_c8ERIVbxXToZOQv3KX46iKJBx9ecFAKOlfogcpOny9vBsa3aitkdTlgIZ2HtjfPPXmbQNzgNO4ZHCYfGsuFNTz1U6B3BPlgEgi7YqHbiRKnvOONMebn09JSZ7LKnvHoEhCHQn8_TON5PgPtDPKwbPgUGhTsu0rI7l-KF-7zf8jtaPqVktFZFQ,clothing_store|store,-0.1345688,51.5103723,ChIJqcRfus8EdkgRuND-bYc78pA,193
Greenwich Shopping Park,4.1,CmRaAAAA56I_DzBUvtBS6IEw30IVs-Wf2ETtj6pZ1tvVsyHibYWW_tr_266Fo3ZsYd8merpp-ILQDqRarldEYfqPzehD3Gh_g84RvOToaQ4WvB6i0u7yKdavHcrxujp-kdG9aHUZEhA3HB4ZHuERUNk8mFz-1dyoGhSQ5oHj3qm9u1INqpfPr1B2PDXpGA,shopping_mall,0.0249607,51.4888432,ChIJ9aHBVkOo2EcRA0nyx_gGhiY,2367
Anthropologie,4.0,CmRaAAAAgAKX3Ok6nbVjyYvMyjjk2hndhHsjUcIao8PaWc-1Y9tFJbJh5wYx1emMetRjv8Kx30qnM8T9t1Y03HoJnet2e_khXTrCX0Exew_FXqBEyFmtW_dm3qZVl40ahPrvWypNEhDHFJNXTzlDCZ9vcu3pWLpqGhRQ1jfpFPlJQjD6rgWRMgpt7yrlQQ,clothing_store|store,-0.1529033,51.5142052,ChIJZZqfpzIFdkgReATo1SXpru4,667
Fulham Broadway Shopping Centre,3.9,CmRaAAAA_aJMjeNZzhXEQ4cTKCtc8zEr_GZjoBhO5QKEVI6JM3-T7GyCC8S8W8dhDAudfSnPfWOZjgAjFwS3EremH02nh20cfigsA49TZIbBs330xj8fIdFhqmbLgyR74EP69nnqEhB4bZzaTQuPFBDkN-SbsdCJGhRKoSwOr6P9fZ0h_qEDdBtkxMBqzg,shopping_mall,-0.1945068,51.4802489,ChIJW8h7LYQPdkgRnxfO3qxdnEY,1654
H&M,3.6,CmRaAAAAZMYis_7XYRfboEkn2G77dLqI2cZnzWJFvV5CbYEmEoUzI365h4YcjvXkIxt9up_8OeITgT0l81mv8Nk86wL5SlMaGXC3dRavPnZLEeGziNaFwp4c8myDHU5jpip7oKOMEhDu73BsSBQGYu7i4fIUt43lGhSLIc0N9O5I6e0vBUXlP1-4IAIFBw,clothing_store|store,-0.1237502,51.5096962,ChIJWZeqR8oEdkgRH9hSgclUJMc,325
Elephant and Castle Shopping Centre,3.0,CmRaAAAAZ0KWBqSbxIFmIbRXNxyWlkZ9F5AmykuRqwA81_rcKvIAH7XuBU7fha9yJtrCnXXJP1EaOIbVqNnYZVmtDJEq1oJnTPn_cZDc7o-qetCbAiKv2Uc7xSo1L1jWnDCmrqyUEhA5qfgb3T4SG92FoVpwMJRFGhRYTOCfCiHjZh_2uYvwgIeZJGf2qg,shopping_mall,-0.099306,51.493675,ChIJSw8XA6IEdkgRrkAkU5XRQAo,791
D&G,3.0,,clothing_store|store,-0.1603099,51.5010569,ChIJwUp6DTkFdkgRFR4OG3pnDYM,1060
