name,rating,photo_ref,place_types,y,x,id,transit_time
Agua Bathhouse And Spa,5.0,,spa,-0.1057044,51.5076098,ChIJ5WKTw7EEdkgRXEWfLY3h77Y,885
Spa InterContinental,5.0,CmRaAAAAhnNYAYIatU_f4hnXBKeCW6krPFpNUnaeM_oOOSLYcLs6l0RfR_ClUCgEk0LsrdJZh7iwmvyHJvU2luKEhqPZm2ss2MfF-28U4vINEsVKBlwX_4lSu5C2MN7XSbAAy36TEhAf7EGgFYxUeY7pSyco3o9oGhT-NWRyWu3lFpbztm0bzO7PzkLsBQ,spa|beauty_salon,-0.1507427,51.5039885,ChIJdevOZSUFdkgR524RF1MvaZo,959
Four Seasons Hotel London at Park Lane,4.6,CmRaAAAAMAMvfySUCv-KU_BcpN29jpn-bRNR9k_tenAk1JzW5ttejkWGUxWl_Orr4Fi3Cp5sSFfjWZDEaBg7JRa8zDLZTJRhqqIqm9EnZ8VD-lIvTEE4uOHpR5AMyfc0izT8Mlc1EhCdX-_IR2vfd8iNNB3oE9eZGhSnTMTgeYmRobR_YyMwtW_5wAH8rw,spa|health|lodging,-0.149911,51.504439,ChIJPTReYyUFdkgRFxvvBDglXXE,1044
Spa One London,4.5,CmRaAAAAP7dWEuVEyGuKaKerqHDLwAoJxIhLg6ocZkjbchrRgyAsGufzMsaxBaMNuj4F0NCNKoJjaNh_uWPgGnc8B2MSAmyJKOzjIja7ecgWBh95U_Vk95Cb1etxqgpfTFsupI71EhADLtDAgPp5qZhnxorvTNQ6GhStAggILNQqtEaqiHz4hj13hBDDUA,spa|health|lodging,-0.1839821,51.5134044,ChIJrQZ8xlQFdkgR-hRRowGSTz0,1362
Sofitel So SPA,4.5,CmRaAAAAdvVGCdwSeWdJq1pLyng2wyqaIMgOZ5IeeJZHrgc9geahzaO3w6N7j8GrdWbPEwlBEQTx7dqbwD1dTCb2RQ9oROGdJMLA_TZIsLjocnguoaGwDjdzVADp-AYYTnRok4zmEhBjH8YUHNnpIAWUuJi1YdDdGhSEVA-1Wwp3jgdyRcwdWzy-wRPebQ,spa,-0.1326773,51.5077529,ChIJuU8_mNEEdkgRAjvr5ZIJZWw,329
Banya No.1,4.4,CmRZAAAAxGSlzSayA545qZRpRMPgEH6UvhxanACwKVhEn8Ffl06Mnd4QPlfujNT2e46dfRZ-e3SaClrigQF57jZCzDkTJE2wkYrA-OtWsDAwKL36WIhb1lStqWCtOxrOQgU30JymEhBqtaQR0TcpwtPLpJl8gmeBGhSC1i9mZob5Vy33NqIFZyzUoFkZJg,spa|health,-0.094344,51.53015,ChIJscLxT6ccdkgR4JQC5l_JcD8,1829
Aman Spa,4.3,CmRaAAAAZfiasSQmJtiOtIoicblexKQjPg8V00ypamBVGR5sUJPhajFkOmCvjQqh62rXUdIsVNTMoMZP6-B4cxt7FZ7HV6l2wElZUUYWUfXvluAd4Egnms7EAQrYk8lDTC9uSfxnEhD5BpEEEppmKs5Dn6_lJBqlGhSRH7L1qaw--9lGlptm5Opk32VdKw,spa|beauty_salon|health|lodging,-0.149585,51.510202,ChIJD5ZQMiwFdkgRLSuZru8rY8o,993
Pasha Spa,4.2,CmRaAAAAuTr1EG2lw3qcDGTaRhLuQbNTCDUiMCqfu2nD5q9LVUN1GFdGjSIDajjFnF8lnvP4Rrx6jlNkF1TXm0wIbPyFdRKNBjNDYiv3VtTUor2bHGJoI3ebFiTYcNUc5Hz0H8UCEhCyTyrXCdvV0m-FplhhkHLNGhSbIQsPeP_zaoQoi4HfzpHXS4Dwkw,spa,-0.094531,51.4794938,ChIJbedMDYIEdkgR0x0Q71082k0,1536
Art of Spa,4.0,CmRaAAAAYfbtiE5k7CU9iyZEo1HFNKOKeRlom63BCfoaUZPSnoj5hOB5vhbA563Fu8bi5BHCei-pI-4PUyeFjaSyIGQKf248c5dZMGI1zHpNPXWBABnwgC-FtpiydytpE1qt4SKREhBJvDkispkIgErFuNjHXZMIGhRhotNI3x7aUJpUKARcn86y5-l_Iw,hair_care|beauty_salon|health|spa,-0.1384631,51.4918258,ChIJ_XNkUOAEdkgRiqbdL-DggK4,992
The Peak Health Club & Spa,3.9,CmRaAAAA98lpTyCCycBqHLcPbgpXc-JdT3T-m0eev45VWqt1cZEevM2tHxm9Xk96X5e8vqgc-Z-9I2cDrWf4w9sZc7KT80tVsfXfpGLaS4q7bgc2wLNUdAigTX-zYBZFOQNlFopMEhDLWo7uu-gRVqQqa8HO891YGhT7K3bEKDjbqqwt8k4mO6G3MoG7Fw,spa|gym|health,-0.158446,51.498645,ChIJXXn7pT4FdkgRcUAS-cWHz2s,1318
Skin Health Spa Marylebone,3.8,CmRaAAAAFNvCnjkmjNCSEBEoVZY742Wv7CV4_fXkeHrZkfAiVnyTmAALGIYFO1bDzvgV0BZARlSlGssoiJwGxBsWHwqxDoocyQKUxFesrVuinGdOGjClj7Bl1SC9ayATJb2ZVuvlEhCnZNb6qDC6IDGrwRaeSUUvGhQ2sz5MwIm8x6KgbVktZVAZynhDPA,hair_care|beauty_salon|health|spa,-0.1515494,51.517291,ChIJhXa3vtIadkgR9xMUVIu817k,893
Lemongrass Boutique Spa,3.8,CmRaAAAAa4Hsg1RfMSlLtHcHuKIaYJLrCHCOaToKIEpkG_XlQBPaz85nM-rZpi0F2wbjU-3kXJ05QSonun0qPL2gjfixRAWEOnLFOAtBDD9EBdWSWI9LXF03vUqhmgvXrUlJLQLWEhBhmpcjQVp5DfB-zWLOiloJGhQ-smm5tm_lDsJcJeHn_J4krYTWdw,spa|beauty_salon|health,-0.1609493,51.5146976,ChIJU_ND0jQFdkgRQGp98dBa4Uk,1066
Chuan Body + Soul,3.7,CmRaAAAAcyrPC7lT1Gqj01gz8sCFfV-2HomifzFIWhPeXv5JQHQGU9dJR_OAI1D6vPU5wlau5XgSa10jIa-sWz8pe6vAgsbI6LUJDMqqItsDL2BvLahUdhwFA9SRYj9tOG6TUSJYEhDYnUJ15AKsajMJCZVAo2v1GhS5bhFkBgwEfhKoweDmYfmTTaJesw,spa,-0.1434959,51.5173771,ChIJj375B9UadkgRtn24a74zZE0,421
Thai Square Spa,3.7,CmRaAAAAZTx0OWxcTI83kB00JCjzWes9BsnS1LAdoffmSKSp1EG5QY2n9bozUViQ8H6OsFnPlqMVEdydAjaCXQIRJws-KUDTY5MlKOcYC_jtt-tMdW59nrSX4__pJBcUjnUxmHsLEhAyhnU6hlrYB_NvBvM_ltSPGhQ0m-ZIs7omqohx8so9oPt3BeLCSQ,hair_care|beauty_salon|health|spa,-0.1251588,51.5072102,ChIJq6QX4MwEdkgRds2Nw_ZbJxs,179
The Spa Dolphin Square,3.6,CmRaAAAAEQdBjS6o2g1sSo74G9ohWxjGIe95hk-BMmZxvj7AtqgtATLaPOdlsxR_9j_vJAzFcKRhukHJ0gLJ797l6uDVNzKbkG4PBbYhyCPLPGGr-w3OAMpDSiD3-nWxHl1LnLIyEhAhaNOxNjWF_9ONQi-kF4_5GhTsZJi3gMt8jrri4IwZrjKsIdMBOQ,spa,-0.136624,51.487169,ChIJq8AKueMEdkgRoNaLr58Z0-s,1239
Crystal Palace Nails & Beauty,3.4,CmRaAAAA5MvlWf01XVvFPgW2Lqby-xIqzc-uqAqjFAgSb54vzl35fiUSHZvpmUMNcNaqyFSkkhFNLirGxTBEv8vzQ6ZLffu9YYfy4IyIi13x0lnNNsONKNeiyuzjRnC5lgJSREEgEhD6xrwxuM4NKEAg6D62ZV2uGhSF4U62NmYWdA_oSaRm5S_NimZOqA,hair_care|beauty_salon|spa,-0.162221,51.519394,ChIJNRYgMsoadkgRS3C7JejEQSE,861
Athree Spa,3.3,CmRaAAAARoffGz_RxSQMtyHrw0itEMBFg3XF4fskg6xJuYJAVkNIbHlmZ1xZ-qi8wejYfPTjBsFRGurQiOv-be9w28ikcso84uwHpxQt0sTlhmYNx53HR3m3Cqqm1nzlh3gN6BTuEhBhnwK6DMpzue5uzLuS1dLnGhSDctFsj48w4FMmSN0in8eKda3fsQ,spa|health,-0.0998259,51.5261592,ChIJO7Hi91kbdkgRgZ8HuXrcfj0,1848
The Chelsea Day Spa,3.1,CmRaAAAAHjhR-55O8SX1DPQB0PIwJs6gzOYINgplQwLiBk0o1cZWPKNVBdrchlKaj07QnDeVRInJyowu1-QkC0zdFO0AFEY9QOSP328wTILbViQPexyI6Ht_3Jho8DDqPmpcxJrIEhAANFXMKryaZhy0aGLIHl3SGhRDmscSqmHq_WRUdNPoPo5BAwH93Q,hair_care|beauty_salon|health|spa,-0.1640439,51.4892331,ChIJu-pOrhQFdkgRu3cJ2MwZ8BY,1277
St Pancras Spa,2.9,CmRaAAAA5JWKAzZuI-F-nWd_yWSFskrH-OBxEOGqdQAW49duvI1jLIm4yQfOR5KDx9ATN1anweiSzUK2wGIBbafzqfKPNB1k8uTBATNDy9U6e3xr_pWV-vfhGNapgGbcWggad77REhDQy77XniUXgAZR7gO_5Xz7GhRAAD5lqpaA19plKkPHlrMPLun88w,spa,-0.125888,51.5297442,ChIJYy3WeDwbdkgR8tgh7vOMuP4,1151
The Spa at Four Seasons London at Ten Trinity Square,1.0,CmRaAAAAMI5Q_FSy-Y_km-lZ9BwG-QOljAHHrCF9aNAdvri2pirawAKtINAIO9ebPtK-YXpNEIjDgflU5ERyc2uWdB8SR9dFnsMmFvolgkVmhuTfDBGwnIgGiFeCLVj8KUxnAflZEhBcCHvgXaauFsdXjKaa8WAeGhRhvQKPqLlL68g9TdBKkrckSUfu3A,spa,-0.07798,51.510102,ChIJ3bPPI0wDdkgRLiTR02uq-_E,1083
