name,rating,photo_ref,place_types,y,x,id,transit_time
A.I.R. Gallery,5.0,CmRaAAAAKzTKrCvjEjnt_-STqXUxWErR_gzTfUCuW33e5BOtWT5PwbwY7vRy8H0v3Hc3emEdhWI4Gyh-G3GyPQn9YClPjx-4_TK-aG3R6AmGfc8wf_CAQ1gETaFx_9GNMykFmm_pEhBEq-GGaKupy_FdAoehVBO2GhR_611eYwb889hT_WrP6rkEVM_7AQ,art_gallery,-73.9867534,40.7038636,ChIJuf49BRZawokRGtrx1WRGl6Y,1164
Ivy Brown Gallery,5.0,,art_gallery,-74.0054689,40.7404212,ChIJw74Qmr9ZwokROs5epotc2kE,994
Morrison Hotel Gallery,5.0,CmRaAAAA-lpqGpa8SCjX7SE8JVIZVpxzUxvRZgCBmNTZbeBokwFbgVxufzAZertaN9tFwfkEgK7vcLAf3jyrcN-8tlmFUuddryFR71wd2U-qh6vHuzC_WOIslneqRqNiaZGWAhQ5EhBdC6Ex1yel_kV7C1e-rnUlGhRXSK73Opee4UDLV4TKamRcHMpSUg,art_gallery,-73.9997411,40.7250205,ChIJYUWNG4VZwokRXyClMcftRAs,549
KLOMPCHING GALLERY,5.0,CmRaAAAAziBNDvSXk6akhOPGQr9MqErkHBQ43xlKMl8GJ5kBTrWlduPOOwrEiUBD53ZauDSidfA2RTxKuKmEtjp1-XnOi8mF4Jo5vubmDW5Y2iJXlhOF5m1xsC3lVxfyxtpegyjBEhD1vDG_fb8-zctrRNUbkW6QGhTZnVwCPzkhGotk76g2hnCpO1vtEg,art_gallery,-73.9910993,40.7033556,ChIJuTX9WzFawokRmtLancJNE2k,1088
Bitforms Gallery,5.0,CmRaAAAA9k2BBT_vliCEjkEuRcGTX3XzJ601b67uvRMIOcYZaqBwjgF0It6_a9V154p3MWu95aFmfeDuzlG3fkKOyGv3BRRCoiRSfmcZFAXrah81k7hdMz0olB5COuhtlv2DdGGMEhBCezJvBjCf2eD8NAWlFcP3GhSSO4ay-0gf1j9yU_alvMfe2Fsn1A,art_gallery,-73.9903315,40.7200944,ChIJ5bQPhMdZwokR-f37lHVs2u0,1053
Williamsburg's Sideshow Gallery,5.0,CmRaAAAAtET5ou8kPExyvpobDdGb99PVigowWwmHGtvnkjpb7qcagATmajK3qaf0M8YULQQtDyAUeX4EUXkbhG1mCv2Sw43H5ubz_kyQNX6bpvuSUyuD0oolKG6LaiyLQ_MhHcxZEhC9WQi13LF3Al_pX8dL-7zcGhQVI6uMDW0FNZ5iDrgaQ1m0JjuMIA,art_gallery,-73.9620424,40.7129157,ChIJ94dbLGBZwokRSWJcQWBE2Ug,1673
Ward-Nasse Gallery,4.9,CmRaAAAAzjBPmLoLEJE8nTJ9M3i5iqE5qLp676hJn6VMxgTNpiiMWQDm4gYtGkh3sRfmNkcDCDTidQ8i7e6VdxqUK2NIINZxigbSSRQ8zmxq-tR6YUtqyUSMoS2dcHLKKcUvgD1HEhCVGrXpcMSbfOAiiKufbJHQGhT9XalFEa39Ro5sS2KSBGcX8ppdFw,art_gallery,-74.0020665,40.7261263,ChIJ_SMSyI1ZwokRYMUmMBcDfp0,614
David Zwirner Gallery,4.8,CmRaAAAAgRpZ8SQsiyAfTUQcqAWVdsJpMVRkcKStylJkfZnTQaJ06ml5bYKt4UJAvlPSaEFloJhlQA9xO95PEc7ujG1UNRU5tRvduk__n0kWNsYKAequF2jxCvcimQeHisu1IcJTEhD2zjhGydR_5s6ugtOHH2keGhQuGu4YBYLDZplG_Cpe5MTWCaFJmA,art_gallery,-74.007247,40.746704,ChIJuYA-g8dZwokRivxF7WU9wOw,1419
Lilac Gallery Ltd.,4.8,CmRaAAAAX5kf1b2PBodcxEsP0yzWdqs44QxhaeqSdWLUQLu13oufXhsdZb25jmjvO5Xt2n2PD87bH91j_sBEfM3KzdQVsVS62K_avRl-GTrgAAli6DlFNQ-rsm9YDBegWf5-K4ZDEhBXNBuIZujRl8XgMaY_AB7hGhT2eV7FZ_374IkrS-Jc8Z2dx6NsCQ,art_gallery,-73.991422,40.739337,ChIJXchuqaNZwokRVESWgnVOBAI,877
Lisson Gallery,4.7,CmRZAAAALBFL842_sCUZqP7xeZs1z1PKT6enIMXJqkCPx1raCWNIokMQen3vo3oC_y8kNlCP9PHeKjDuOknEsWGwOPhyaL_iER_5_mzLMlzZxiLSiw0EluLQN5BNvQE6kwNlBpfNEhAHw84qcKP4BvkdYy0k7AeOGhSv2MbcKOHji00rOq4l_o29eQ0vXg,art_gallery,-74.0041396,40.7484097,ChIJpaJZE4RZwokR3hpcYgR2xrw,1160
Front Room Gallery,4.4,CmRaAAAA72873GFLJCT8TXntXPIKKArnCL5PW-PXA6oFqQd41nUmksigaFhFg5X0-TxdGLnUYt7byFYbZtzwVV_ziwWOLFR9iNeCP2cJTLDtzp93l7fjEMVq3j-6w7HG7TXtVGT2EhB3_4WWKTLgS6auLrgC8bOnGhSc7tpIZBdUTP7wHTfaRSjq5butMQ,art_gallery,-73.9904661,40.7155643,ChIJ-eqdtl9ZwokRwTEIAAz1pBg,830
Petzel Gallery,4.4,CmRaAAAAxh5UFd1-Hdwwe8OYiV1Zt2SZUa9K8VOsd6MBKuZNBgYjtc2bEoreHW668ttYMmGYF6et5ZQ0GyuFotbVtxz9oC28yQnrct20Mqm5oSnnD6g8I5BoC2oKSntRm77QYL7iEhChGe9WzBE27jrFUcrOX-ORGhQHpgUzZQQ97vE2u7lwrceqZoIToQ,art_gallery,-74.005976,40.744327,ChIJe7AGCbhZwokRBix9pZ_rfyo,1141
