,interest,name,rating,photo_ref,place_types,y,x,id,transit_time
0,gallery,A.I.R. Gallery,5.0,CmRaAAAAKzTKrCvjEjnt_-STqXUxWErR_gzTfUCuW33e5BOtWT5PwbwY7vRy8H0v3Hc3emEdhWI4Gyh-G3GyPQn9YClPjx-4_TK-aG3R6AmGfc8wf_CAQ1gETaFx_9GNMykFmm_pEhBEq-GGaKupy_FdAoehVBO2GhR_611eYwb889hT_WrP6rkEVM_7AQ,art_gallery,-73.9867534,40.7038636,ChIJuf49BRZawokRGtrx1WRGl6Y,1164
1,gallery,Ivy Brown Gallery,5.0,,art_gallery,-74.0054689,40.7404212,ChIJw74Qmr9ZwokROs5epotc2kE,994
2,gallery,Morrison Hotel Gallery,5.0,CmRaAAAA-lpqGpa8SCjX7SE8JVIZVpxzUxvRZgCBmNTZbeBokwFbgVxufzAZertaN9tFwfkEgK7vcLAf3jyrcN-8tlmFUuddryFR71wd2U-qh6vHuzC_WOIslneqRqNiaZGWAhQ5EhBdC6Ex1yel_kV7C1e-rnUlGhRXSK73Opee4UDLV4TKamRcHMpSUg,art_gallery,-73.9997411,40.7250205,ChIJYUWNG4VZwokRXyClMcftRAs,549
3,gallery,KLOMPCHING GALLERY,5.0,CmRaAAAAziBNDvSXk6akhOPGQr9MqErkHBQ43xlKMl8GJ5kBTrWlduPOOwrEiUBD53ZauDSidfA2RTxKuKmEtjp1-XnOi8mF4Jo5vubmDW5Y2iJXlhOF5m1xsC3lVxfyxtpegyjBEhD1vDG_fb8-zctrRNUbkW6QGhTZnVwCPzkhGotk76g2hnCpO1vtEg,art_gallery,-73.9910993,40.7033556,ChIJuTX9WzFawokRmtLancJNE2k,1088
4,gallery,Bitforms Gallery,5.0,CmRaAAAA9k2BBT_vliCEjkEuRcGTX3XzJ601b67uvRMIOcYZaqBwjgF0It6_a9V154p3MWu95aFmfeDuzlG3fkKOyGv3BRRCoiRSfmcZFAXrah81k7hdMz0olB5COuhtlv2DdGGMEhBCezJvBjCf2eD8NAWlFcP3GhSSO4ay-0gf1j9yU_alvMfe2Fsn1A,art_gallery,-73.9903315,40.7200944,ChIJ5bQPhMdZwokR-f37lHVs2u0,1053
5,museum,Dahesh Museum of Art,5.0,,museum,-74.0048784,40.7251128,ChIJ7WI5fvtYwokRPDUT1aUOA_Q,540
6,museum,Leslie-Lohman Museum of Gay and Lesbian Art,4.8,CmRaAAAAxNKjHhCqfTyU-ifYCPmgxylvKg0Ro_Hrl-nWGliaJ63QmiT3GvCwOqiyWPQj3KMcss6QN2w5cc_Cu5rT7YXR52uzL8wE0m7R8eSf7gNnRLNrpFvyvbRVRHcaofd4jgtuEhDLu5JlSQjtnmySJCQQJSXGGhSvhXwEERU0NLTyO4FlOs_wn_mSjg,museum|art_gallery,-74.00309,40.721669,ChIJ1bAvpItZwokRaOvPH7FibmA,518
7,museum,9/11 Memorial,4.7,CmRaAAAAvVP-tEdfs845Se9oDItylBKhmtSYRyCAswsIB4m6ZbCnvT30N25aMwaxxJbGDdukTMiBQxfdZmsWB3YnXAiI2f4T27SdRRxWSG7_9SHSKKYO62fgR5m1Hx3-EOJ53HJMEhD8TgRS7MBisPJxiMU-d36SGhRTsgnrvrBR7XY1YitTwXtPSpNA7w,museum|park,-74.0127254,40.7114836,ChIJRcvoOxpawokR7R4dQMXMMPQ,532
8,museum,Museum at Eldridge Street,4.7,CmRaAAAANBNoxUQDCw_uPupmmV3Q3DhpQ7ITjsBlCjw2u4_Xa30ny0x8I4bkv-rdji44ZmiGLfT0Ulv_0JAR9RhRuq80wopX1GTLL-HX-7s32-9tb15RKBsUq6O-1mnvQ22q4kdmEhAEQL0bdAvoTUCJSFWltaVKGhQLKRVu0rjNRJXIYl0EWzvXtvIgXA,museum,-73.9935561,40.7147484,ChIJORNWYChawokR3nt2Jj4ha-s,981
9,museum,Tenement Museum,4.6,CmRaAAAAbgdPlqkPzj4NogdgVJfLKyIRGlVFgpEzxLkeuRYOscXnErSiyBN7KiJe2J4JorHsuYUvLb3BI57RXoTVuNSzSQ6DL05s9LxN_s15mX6_9_zQfZ9rfISUZlXW4dV4PTmQEhA8ZI23LdN154LZlnyGM9hHGhTOPqRpimZidqAFTi-nAmAYT4UPQA,museum,-73.9900697,40.7187958,ChIJ20bVJYdZwokRhI7esP3mYM0,1169
