name,rating,photo_ref,place_types,y,x,id,transit_time
Dahesh Museum of Art,5.0,,museum,-74.0048784,40.7251128,ChIJ7WI5fvtYwokRPDUT1aUOA_Q,540
Leslie-Lohman Museum of Gay and Lesbian Art,4.8,CmRaAAAAQ9j-l26xQy33y417Qz6quz7IUfypBfUoVh5yuo7XQR9Zb7DZTJY8y0p8WYVPK5htAebxAjXffXZoauw-QQhnY49trPbLGDMbLGe9VlG-p8iN-KEC8lLX39EUilGHtltnEhD5QZzx0oKzTKS1D6g32mbGGhTI5qtEa7dbYIBGMD2UMHPBo6HJ0g,museum|art_gallery,-74.00309,40.721669,ChIJ1bAvpItZwokRaOvPH7FibmA,518
9/11 Memorial,4.7,CmRaAAAA0o7BMr7vg24uCfFHEQ2B9FV-CCRIH-pwnFxWNA2UApScdB7E0FNPyNFsg4XOCQmEufa0WwcuQflTB_BMQBp842p1k9kGrg9VA1DgTOpqFyxQxC8_DyJ3jtewysNGHkLvEhDUWJQXy1uwpVFqZOWFgEXKGhTH_J4l5SMlOkcoxZEqJrhli7EnDw,museum|park,-74.0127254,40.7114836,ChIJRcvoOxpawokR7R4dQMXMMPQ,532
Museum at Eldridge Street,4.7,CmRaAAAAiJwhCSUFlZ0KZ4Wkj6Yi3t2hANYzng8XLYQSqXLAlwPLxzkf_RNd9udRgZU2GSQkBIG69OAAnnT51nWwpD5GbS6mwYvB4hAjAL3qtqbtVD6QPmfQYqTF6XFbyL4i8q3MEhCiJkAe3VxriabeweAImmkhGhTQnz3tSYnBz-b74ZUkoks4-a8DxQ,museum,-73.9935561,40.7147484,ChIJORNWYChawokR3nt2Jj4ha-s,981
Tenement Museum,4.6,CmRaAAAADNhfliDfWmfKCGuLB5CAB_hnHPrTmVfEpKff3zrAKiQ-Vy4O5sdQZAWrd0sU4IgxQdo9gN-8EI_Eqou0pC6Dos2_phNFJD6hR9c6-39GnqDTCqLRZO6CzMI1u6xNRkgpEhAmsyL8mwloBHcVgLEVwijzGhQ5_67b5HepCKwhBjWx5pmzEGSwrw,museum,-73.9900697,40.7187958,ChIJ20bVJYdZwokRhI7esP3mYM0,1109
Rubin Museum of Art,4.5,CmRaAAAAAeTQ_mjESqsTjo8SVL7I9fmE_Ptb61jJ_fQN3AJYni7qV8rwSkbKSqmpXq-aTpn7hWKePpAxQBImc88V6XSQEgl0yOaMIVJi5vSHRnSfCglMmZL50NcrfcEgE-VNp4vzEhB4FPZZ2DbJ8W8eBuH1fo3GGhTvLvuik5WEZnNOuXlfQlaPBFO0vw,museum,-73.9978141,40.7401773,ChIJD4QSVbxZwokRaFPDajZtIaI,958
Museum of American Finance,4.5,CmRaAAAAWM3LA_oqCOrXDztF9QBwrnVc769-rhSkhj58FlKDamYKtYT9GGWk6gPZEt8eMaaVMsxsd6GBFZluLIpbaHaQi1msKKr_Q0LN-oTiGvsjhiNwXzrZI-2WLuOXydt7DQ4YEhCVhQ1b8dTtE4gD6-X9byMaGhTz3UmcyD7x8FrSkthZb96CB7CCrQ,museum,-74.0093041,40.7064123,ChIJa168WRZawokRMEHaXpp3OFc,595
Whitney Museum of American Art,4.4,CmRaAAAAvStvy5N4JeH4wfcyu9uh2FE0l0MOcSdM0auvKPLUaBNT_q9Vo23kZjP7UqekWSaKDmXF7QT48IKkkb0b2TZ6X7wKDfOGJHCEmAH4R5eOH-TwfV_H37OWm6BWtjw0cfowEhAQrKo3v70xX5NyBXGcHWA9GhTQhg41km7bfpedXV-A887A8I2m_w,museum,-74.0088629,40.7395877,ChIJN3MJ6pRYwokRiXg91flSP8Y,1217
Museum Of Chinese In America,4.4,CmRaAAAAprM12o-iXHWJmYFhs708labpqTkWFT3GuYALUDZUC2yxv6lxzot2ErEeXjVVPD6Tfkr2r-Xkw9X-HyRUNQdZUHX547IGuwGuJujw_sY8_Mpxu8Uqkn9zfoxnmWpsjRy1EhAJvVsh_8G3CSAuB5cBIlB9GhRK7XSLynHerXT_Z28bxz1e3GN44A,museum,-73.9992096,40.7195241,ChIJrd5vvolZwokRLR4z0Ui4KFs,520
The Museum at FIT,4.3,CmRaAAAA8mh3UrY_cHiSzj-lvDZmloie5b7rT2PC8M-8oCR-nSLLF3xk3poBD88W4MO0-MKs-WtX2fIg0DU1j8xYO_Dq1P7PM-LkiG05gNEj22Ba61hlZ3JnAaxObm62iWxaNVwFEhDveZvk8A8----U27l8HP3qGhT8ExheuosauyPxWQp_OQsOlk8GTg,museum,-73.994193,40.7466,ChIJzT4qRatZwokRELNiRd8Su_4,1064
