name,rating,photo_ref,place_types,y,x,id,transit_time
Art of Relaxation,5.0,CmRaAAAAKcM58oTxgRf4UO23GW35dsJqbCAc2K8Z_FnZPCVVEIAUiT93AkpUbmNemkk0brbnlq2qR-jSQgLIsc_ddmKLHo5asinisA_azu-f0DVlAt99LT-wRNns7DtAGtMWAlIkEhDQ5mVTklqz_ESszvPWQ5NWGhR_-XwGXpXwyPzin0Dz73waYE00Tg,spa,-73.844036,40.722652,ChIJZxzsCCdewokR53ZLUR-ITMk,2972
Grand Relax Day Spa,5.0,CmRaAAAAC15-QuVGQ0r3bYVzlTeEogyaS9-K4vSjpzTnQ3BPepePeEYunlGDGyb4DtkKwPlpWa12SA3fq6vHm0aGwm6CsiPLoOany3ISi38K_Y593UmbczEW8uhNF0U-IPg44S3yEhAhPQD3BJh-ke4eRJXTRrXvGhQF3skIiWrJYxEJr0L7ShZoLYnmRw,hair_care|beauty_salon|health|spa,-73.957229,40.713043,ChIJB3h2mF9ZwokRanA5lDQHkvY,1512
Relax,5.0,CmRaAAAAZIn7F2YS1Ko8EnOtgpNqiMLznep7oQeTtY15dhq9i-Xg3dMo_hA3XjNqpxV7sDxu9zl0_MWXySIUZpD-usPkN484_Nw6tiQt7B9Uir6lqrHsC5tH9H4Gj5lzCKAAENY8EhBFt3DfDj0608v6bcp3sh25GhRr_V3tWN2d8DrafPwFbpvBD6IZLg,health,-74.0074092,40.734139,ChIJk2vzWetZwokRg_IN2DlkXY0,1034
Relax In Foot Massage,5.0,,health,-74.109799,40.3968519,ChIJgaCH3EIxwokRYQo_bSCQXkc,7174
Tranquility Foot Relaxation Station,4.9,CmRaAAAACdKpJf2xgoIqf9U_khmSIbE02qZlZliXfIEnTfzVFCn4LEAJE03BDndJq3rqI-rwQq8XuO_t6Md4sHo9Gvtdf5FEPzbfdD6b6QrgGT3cCsxLiUpEXG7l0rtAHcnT9XbIEhAy9178-OyLic7In6-XCW1EGhSiBKaodogCyvTujt_5KkULLVkjAg,spa|health,-73.518445,40.663343,ChIJHxtsANx-wokRNuCqvCKzT-Q,5813
Apple Healing & Relaxation,4.8,,health,-73.924904,40.7615558,ChIJkVxYcwL2wokR1Vq8JsXleEk,2158
Rainforest Relaxation Center,4.8,,spa|health,-73.989906,40.6685124,ChIJvUj4avtawokR2OGuPW4EXfs,1701
Relaxing Bodywork 99,4.8,CmRaAAAAHVKcnMJ7Z00B_0Fl0YammG37Uh35guSN78q-sCoe_7SmT2YUrXFrcwp3vYPxxrrD1pfGB0Q558kJ8Hwc6Lsa0XqOJpZXZhJ2-C5H8twMttmYzVK_rhPvHsMSxDQPdiAVEhDEkXRWf3mbSoQ-yUYhV1Q0GhQXXz1Yl240tYuBpMkTpPK8ji_CTQ,health,-73.9876542,40.6695761,ChIJ5Y3OZvxawokRkAh2cUe6SFs,1599
ShunFa Relaxing Center,4.6,CmRaAAAAX43ym_wE3zQHhvIqynqZawfbwcMBKVHHXTFI74xQSgdhDj8uxUfWAYB_W2s-0LzGDYEA5J52KirYlUYfc0Jqu1kmWTX1qGTrdjkevs6z7Sh0lOWPSURna4cJt99YxeOSEhD7T4nzzSWgEp1saokqc5-0GhQIMp_CGqnlVGwqWv1inwfwWdrycA,health,-73.9989473,40.7335412,ChIJU67bypBZwokR6dwP2fDbaUA,717
Relaxing On Smith,4.5,,spa,-73.9935169,40.6820422,ChIJ38BzSVdawokRT_f4JTOc1W0,1625
Foot Relaxing Station Inc,3.7,CmRZAAAAsQt4H-tXKpyQVVRNBvhtseKqez4hbWMHLgoCNAH-3MCojANhpRjRGgvyiElaWxAF_6Zaf3K0Px0oeqrhQHFUHqMA2oHhsgf8GxydUPbBYWuksrvqibmJrJSj3cn7xB6VEhDQklwgl7O-4XG5qRjGoMqjGhRi3IZB4PeKpesZ6_-YMNHZJAvAhg,beauty_salon,-73.7140652,40.7264812,ChIJpXC5ZE9iwokRYbHGmCfOxUI,6384
Kings Relax Center,3.5,CmRZAAAATEaaB8d2rCBELBnOfiyUe-CENM15Igevlf8vwzh8kWytAttNzYEoH3g8mp-emObqnhZCCGHqEuYDAcCqHvwx4rvHArCYldOBIZ5R8aoOIOJR1_eksHorL49XinrF28kTEhBn9EPhgxVE8ng9xB9YMvfUGhRRoBVEqbRclPbKqt9bzVUXayrBCw,spa,-73.8337925,40.7638499,ChIJ5UpBiAVgwokRKhAQXoYWfbo,4103
Chinese Relaxation Tui-Na Center,2.5,,health,-73.9884102,40.7552406,ChIJlQh1WqtZwokRkNZsHhxVf1s,1029
Relaxing Spa Palace,2.5,,spa,-73.9903565,40.7169763,ChIJL6zBXYdZwokRz0s3pHifiBY,877
Shunfa Relaxing Center III,2.5,,store,-73.9918472,40.7340596,ChIJaYujqplZwokRRxSzlEjl0nI,888
So Relax,2.5,,health,-73.9977956,40.7179779,ChIJ3XV804lZwokRM9hhWMMa5XE,655
