name,rating,photo_ref,place_types,y,x,id,transit_time
Disney Store,4.4,CmRaAAAAbyD-bRIs1osnm912ISRJtIXSlLypJhzyXxTxjI8dtg_KEU-h229DGLydbGFMfM9BdK141aN0hs4saA2DMfHxWbg4A556jwx4cuopcR4s-DRy71i9E0FeIMgIQFNiOPZaEhDPKGYq9Wfl3mNaNvZriaIdGhRH_ZCegw0iy_t7j908wpzLJS6DXQ,clothing_store|store,-73.9850313,40.7582571,ChIJf2_0qFVYwokRcbTtlS60Vqg,1128
Old Navy,4.2,CmRaAAAAPtnssMcwoskQPf0w4LnAaTnI930ZPTj_oQxVS-5dJl3VEmtOvvdeWZswshlqK6ezFAXyaKn23rnOUc1IQEWliS4KkpuvA5FGReEFNS7lpN-Pqa-God6lQuGrOHqoXkfREhCZmMeTtWlVOdxWYvvvF8VRGhTzigr2S5J7zxPo-3OmAx4_gTDYgg,clothing_store|store,-73.989914,40.7505367,ChIJj1jppK5ZwokR2hcj3GDOOg4,1108
Bergdorf Goodman,4.1,CmRaAAAA8rkJQGnPZjNctwH7X7XPy_AzPr8oj2qtmhmp7HIIfq8YYdefn4vwDyTNS7IIgejcKmyVEXkelCYs4Jxd0QJdDv2YBUD77GETxFJ3fmP2ENhG2omdmLuFg0LV_h-dhqRaEhC3OO3sSTvrmOJGCCSIbnjIGhSN0Vz09Uc_KLY6phxECQOXd73Fag,clothing_store|store,-73.9740568,40.7635321,ChIJvRLkgvpYwokROYUJYAuiPCM,1377
J.Crew,4.1,CmRaAAAAeiN6Yz15AF7lLUPnhxfAyK5_jqKeAYAyamUYX_KFb46T26i8oUutzrOLyfTauii5i4HjGGw8OaIu268BWJ7b5VJi5biv1-IeVa9tmNYR9je7MDLyb2GPJwOD4vCasuHKEhB1qP4osHzTrLh5qXOwpFRcGhTEsFbgh2RK5ba4hMqhZkm4j1R2Og,clothing_store|shoe_store|store,-73.9920529,40.7375956,ChIJ9cyRU6JZwokR6BE7qIX8VQc,837
J.Crew Liquor Store,4.1,CmRaAAAABYCpsnW8ICVwwUjPG9NTXyRWwSDoKwni42hdoDuWs5reZuAGxJ4n5HFk_lP09nQ7Y7xhgofBA3DDZf1SdpfZaCIbPUmdpCIjJrN7yRTPPUcDyDdecfLekxZSGCOpZuXJEhBgfCSVcaTo3BKWOkY7nZcBGhTqAMpu3Rv4Fm8fhdjkF6WZM735Ig,clothing_store|store,-74.005883,40.719471,ChIJdSbAsYpZwokRaCvbBF20RTY,466
J.Crew Mens Shop,4.1,CmRaAAAAamQ9xUtiwA5XwSYHmZL51DmvU1mtqSdMu64_OhhaOkf4bcZ4BFSDBofuuPnRMGADAlGMsf-ySTUJJoGdV9f-w4PISkzEKE6xg8Jvr2fOU55Ka56jWeU3kN00kkBW6JVmEhBieHaOSCTHTPnfBuNt6Wx9GhSR1mLGIhNBo30sAbO9lEkJ9Vww_g,clothing_store|store,-73.9998018,40.721518,ChIJzasqZolZwokREsvVKkTevg8,450
J.Crew The Ludlow Shop at 50 Hudson,4.1,CmRaAAAA_27T0OoDg2xYR6qvSx59EiRJ6SkMvfpeiBcQQK7fhrY4s4_mXQYSwJnCq0eJ94cvwRwkynpwGb12ON8vHkiswcRk-Y7X5w3uoRZlbYrq3s6HUXwfFTAui8i6gz7h1HunEhC-OqAQi9CXGstfp4rbZ6G-GhQYQb57jj2EoqIoUUroF_JRRViqDQ,clothing_store|store,-74.0088254,40.7173509,ChIJAwAAQPVZwokRQCf2_eBK6sY,554
Nordstrom Rack Fulton Street,4.1,CmRaAAAAZCnfdpyR_-5sE1sObAijhUacCMdU7PCPNnOE5wYJTGXX3I_jjZ0GF_iJqhKXZP7rjkpGj75u40awlRrdVr8JwZIsio_8OFVL-UuWsNfAeNU1kSvQn-seFWogGMukj6ozEhCcitebLfezZCrWjOWEq_v5GhT6Tt29tI6wMdMb2M5_zELjTWP8NA,clothing_store|department_store|shoe_store|store,-73.984978,40.690694,ChIJTYsshUxawokRGWHkTzxLGaE,890
Neiman Marcus Last Call,3.9,CmRaAAAAxQVWVxBkfr1UcEBRnBbLxmgoMie0kMNAQbsDt3yE5RvOnyA4XgPvK4VAqouUy8vnaT99CusNphs5qBVBsGY0CXSVB8jFsXhgIrDa6SHdQ2gJV0QcirhOxpBuVz4nN4F3EhAFr-fmSIKH-FLK4MMd9va2GhSogC954Js3tMzptPmMX6yt6ZwLBQ,clothing_store|store,-73.9903851,40.6919901,ChIJY1M7NklawokRH23BHCYCOx0,807
Gap,3.8,CmRaAAAAHgRBt7-gnGI9g1b8ZjWF6T49qu-DwEIeW8Kr7uVcYy-Xf12yTgtE9GF8lEL0P7h_2Wcf1SAR3M2e9QCvEyI8lRWOf0VlcE_hxA4_cjICvbMtH182Auas5uxWo0iIofueEhBFTzpWVXIuPrFtHXWBJokZGhSpd9BRqzROA68taRSzKIVgQEPZUQ,clothing_store|store,-73.9924136,40.7302654,ChIJcfDTR5pZwokRHihJLrHv-4I,535
Nordstrom Rack Union Square,3.8,CmRaAAAA-aGrHKGqkcIwsCEM1GIOYNe5U3JRorAX06aiyDnGiAy32Ig8RVJZwEBrv_S9cPtleyK6beU2wdRqx-xXT9LAFjSEjMk6SNusESJJ0LFoNwbSS6OooOVTQ5xmYeAuu_vREhCXh6g922XBoqel7ToEbLCjGhQ5k2THV9klEsWZ6LdX1oSdbXfCDA,clothing_store|department_store|shoe_store|store,-73.990288,40.734279,ChIJ6X9Q6JhZwokRNACuMlSs4n8,719
Sunglass Hut at Macy's,3.8,CmRaAAAAr_hU28-XxyFyGr0uI_CUNz39S3lWsjRPVTgXWcDjZmz9UcHQ2DHJIM4RKohiww31gLgMwu20EDjde-e6nyBmDvsFkte2dI98QWZD5IMfLtUaYvoPUJ5qELHVX4XEVFOfEhA9mBegDqsTE3qYMZmUFHdaGhS3K1B9HsqdknNoHPuofXemzQ59nw,shopping_mall|department_store|store,-73.9888161,40.7506097,ChIJoYuWq65ZwokRw7sZFEurNuM,920
Target,3.4,CmRaAAAAbARuuGdsy0NKNuHmkkMCOkmpIyTKAl7o8m4AYrraccWZKBJQ7J1-HF6cRBcvkC9OZCOczoKjp8N9vXM_9_fSVJ6jmLxgxjUAKsuhiqeUh1EAzrVX7rlv38-s0cQZSdm4EhBo3kPEMZqEOsDv6DSIDxQ1GhSt2QlVP1k8LxlMqE0KdTtIO3acIg,electronics_store|home_goods_store|department_store|clothing_store|store|furniture_store,-73.9762095,40.6842685,ChIJ4agA4q1bwokRi-gLlTrHyRQ,1442
Madewell,3.3,CmRaAAAAO-Y07qvu04nTr43Gg71gELA-88-Q5ymKfWjoepA4dG9Quj2Rr1Tt03D8Se9cAOx9-s5qzc8jE9n4n7ntFoYWGwC12JeZKS8q2RVkTbihvJuB_AuD6wv5zH02FSBYdwBeEhA6qrl53T5DrG9TxpZjLWnkGhQILXmnCl7heAkD69pOMCmSmDx1BA,clothing_store|store,-73.959018,40.71801,ChIJTdAZ911ZwokRHNvn1gkWj0Q,2152
Bluefly,1.9,CmRaAAAABg9N7UvFg6ab-I8PgOSFm9q6--MMcw8Ud79Z3GmZ4s7TSvccRZMSzM2M87t9Hx6p6iPrGABNeMNCWpnsQhrdJH_AdxmNKxT0VFh7jB7OyNp297GUdTxaY2tJAQlC6_cSEhA8oZzuLOn4dyLmAcj2A-GNGhQ58s55sECobZYzQ7qys_MZ_Dn75Q,clothing_store|jewelry_store|shoe_store|store,-73.984359,40.752253,ChIJO5tZXapZwokR-HFQ-7AAEuI,1210
