name,rating,photo_ref,place_types,y,x,id,transit_time
Museum Air France,4.8,CmRaAAAAx38Vv-KxhlREWTOJBam3-36blvBu_a39_FxniwlIEyO04ccend7xh4rqGWXFQ8Jl-NtBoRJJXtvg9TYb-3otuUW8ZjDkSzKpiziWkLGxqdEPeipfnBKaGibRhXmynEv0EhCnpaDWJNm1Wh0K1BNZti59GhS_VaOWOQsSxumj_A9MxYgc3oUohg,museum,2.3147536,48.8624893,ChIJ_WcgK9Fv5kcR1B5EkLqQoJg,1124
Musée d'Orsay,4.7,CmRaAAAA0FL5e7TVwcMzkfviWPqfpbur1hIZvUPOEpJ9QjpF7u9LTeCeu3fawdZpCBp8d6DUWx2kegaAAfsX3o-tIkO0gEZP_ZyXPyHW96Wbj-m0GGeHMF8g_7ucHdgr9isukJWVEhAZNjRBB-dkG9mimdaZskELGhQBgZL_NIu0PmHd-IKfLXDBp8WRFw,museum,2.3265614,48.8599614,ChIJG5Qwtitu5kcR2CNEsYy9cdA,771
Louvre Museum,4.7,CmRaAAAAVRyuw3ks_1R1Il1w0IzYTzT_-_5CQL1EbBeG-VUR5M7j3l-MninQSLnXixc6gp2CGJ8LBbyBwXbM-AIv95ylkcuEKlmWYuj1iA_dyvMTAeQW83V6h3xf74Zl93JurOVBEhAipDYJMi3PB7o0WGlFghNGGhQ3TjNSoh77-QMKX8RBnbID2J5Vkw,museum,2.337644,48.8606111,ChIJD3uTd9hx5kcR1IQvGfr8dbk,644
Orangerie Museum,4.6,CmRaAAAASQypl-zQu8ptqsz1TvfwKL8QVKPRqthHYZegDZVyOSay2cJEF1tPu-VmPDA_sSD1UbsWXmnIvCzbyfx6kpITS0TA5eT4PmoF9zi3BjJYEHjK099BVjfu2OiF78koKlxHEhAWN6NGZmSDw03ZOk_g9BryGhR5nxVXL-U5zKdUFblniZO1Bjylng,museum,2.3226724,48.8637884,ChIJo6qq6i5u5kcRCpYBp4rQP9w,1010
Musée Nissim de Camondo,4.6,CmRaAAAANi6qyAotxQQ6Zs0cy1G5eRbSxQpjNsZ-gF_jpk6CPSUATjZDFIkQiYJ-yUNOR8uQS3jjE8ElH4s2HEcWYtwl_gkbO8HurZGxqsiKup_QbBxdTQslJ9qYtzav4wzhR8VNEhCo8ziha741rQHhMEYoubXkGhQz_FdNJ6POXDXDiWqZe7Crx2UcqQ,museum,2.3126731,48.8789291,ChIJ6VmGh7dv5kcR32uxgrtK3Z4,1663
Metiers Art Museum,4.5,CmRaAAAAKp6vfVbDk6Dw_YAXlxMPhUKanPC3OyYhXYIELotNcOQ0Y3F_fJpotQZhXSAvFhLEhzMFnPqyRtszBzEi9H3OybxJlAfPWZ9dIM9M0U4fA1I5pGPoqZ8WZOBts2M9GBqYEhCOKlOa_lR9xrY5DnYJyb1jGhRzUy1FTGTvTkBy_s9G1DjNRC6r-g,museum,2.3554383,48.8666392,ChIJNUTIphpu5kcR4h07VuxFIHc,765
The Army Museum,4.5,CmRaAAAA-DHLDAOIPNEkLdvD_ruOf3Bp7hgTOzn_jFetTncJTCv5DueDVYQnlft9bJ1MPyWgZq8wUtP1hVWvzLnVq2sFlsHrWGxm7_5jB65ItMwBJsP4BUwX81LHmJ47Mu_gdzCnEhDTjPEBdz2BYZ5CYhxyCUIeGhQACXBsXKv1CvTcMTpy7CrYSM8oAg,museum,2.3125934,48.8557933,ChIJv-rX7Ndv5kcRJ0IdTc55HnY,2840
Rodin Museum,4.5,CmRaAAAAEbyfZBykqh1IUu3LZ1NJy4njGbc71CzCYDdQhplsptim_M8VIq_-qZCFSSrTLXqzpAZ1qdra-zFCZWvipt9-GB8y6uRWxw5JokHkMySxoUg16uksx-gxA2y155dZ4pQ-EhCnp_zvqimkoP5Qa3Sm9mSdGhTQXwri7eivIvR4MTEZ0_EjBL9o8w,museum,2.3158354,48.8553072,ChIJQ9vMHipw5kcRWHC2ESjYaGQ,1377
National Museum of Natural History,4.5,CmRaAAAABABlR4V4oNO75T98Rm_oJUcTKlEWQDN5eiEw43tB6b3Y-hUj1lSxZo7RSpXFX-_vCT2zDLH1ZyVcDy2iPrnvmYVESK99wFrn7ZPuvOTUEU-geS7vdC5iLAImMtfeFoB3EhCzyd6SAZgZsOcNHSk_17DhGhRtIFWtpWPvO1sL2qJ-T43DnUhDNA,museum,2.3562101,48.8443425,ChIJEURALfFx5kcR4cbxSSHWQ0c,834
Musée de Montmartre,4.4,CmRaAAAANce0Lbuaihw3_IxRkg27XMWWi51S4B8WkVAD_X2NHJCqZfQcd3pEQWXBTY_dJ9NtAii7oYS0qtxjvw4J-hew-StMIHTys7Rjlqae-g1JnsI4qDQMpYhIJFKqAdMxK48BEhBzQwib9PsgznURNsBgHrKmGhSa9yuN01h2MWmpuEOJhqk59CNVvQ,museum|park,2.3406731,48.887709,ChIJWcXsQltu5kcRbqfaH0NhNxE,2124
