name,rating,photo_ref,place_types,y,x,id,transit_time
Drop do not park,4.8,CmRaAAAAPLpmrsDB220g05xaMfRjER-u3RNrLTsvEr3Z1IeXMiAydAntCocsiyIQUaznzlISGyZD51wL4UZYfHw6HB6znM1MgbzkzKQtREBjE4VNtrk5NOw0Tc9_Pi0_zaEEJ12CEhD1RSszvB6y8zx9dCXA58bHGhS-wwKwtf168YhKheh8oa3nji-aPQ,parking,2.3234683,48.8723745,ChIJP_9-rTRu5kcR6-u65NcDK3w,1122
Les orchidées - Park Hyatt Vendôme,4.7,CmRaAAAAv4ogA0A3XlYqX-l3nrd9ErLiJVuWqdAvTNL-gzpXeV4IcnR7rJAxuty0iyR11mYeQTZo5kpAVKrJImkChnUm5PLG2g83iNTJSrS7d-fElDFO-KO2qqUWH9BzHGLanNoPEhBLmhZ9cHhWs3-t9-jGuj4hGhQL_Lezg70AnxtW0ABgJ-K0gh3a9Q,food|lodging|restaurant,2.3301829,48.8689845,ChIJhdfGpTFu5kcRuRoo4CZPAS8,906
Parc des Buttes-Chaumont,4.6,CmRaAAAAFFEKTr1xcj5fNluYoHK-y6eqxZ6SsMxgpjUbN4EricFRU_lsANufEmxCD2QTVGvHapJqzYMv9Ei6e-cTwCgljVbIuMMLmbUW22_hpq_0hVnMv2NlDK856f1rJoNcWWkGEhAIC4tpj4GiYhBbDAKW2jwkGhRJXvhoCs4djczaACa8WtFJebqQ6Q,park,2.3827609,48.8809496,ChIJh9M-FMZt5kcRkZSVdmDta_I,1612
Luxembourg Gardens,4.6,CmRaAAAA92m2bDFyu78qwtKirOROVenm1YzN91Gbvrc5dJPj5MXXyVQVpO7z7wDTRnWz2kPZvuAA2Wb4dGvOXGp0n4nZVH5Zcv0IOJgLBeqWCCn7fz6QncgOQu8s4Lhrl8pgpnqkEhBnjA6NhgBxn6fcf17CLK0uGhTuo9IK8aE9msw_249CKTBaWKoKnA,park,2.3371605,48.8462217,ChIJe2jeNttx5kcRi_mJsGHdkQc,990
Tuileries Garden,4.5,CmRaAAAAnjqK1ukfnAyVZdO3Ku_hN_7M9YwzYWgLoE1StHCRIVkztCH0xbcfGm-PgOJf5aPucqzc1HSaYIiihwnAE0C63owy8NGEerLhsBAVDwdpEbnCsE_yOqErWj1FWvW6u6A3EhBF4AP3tEVvwKX53wybs4pnGhTPvsu3amMLeuX3VJQH01rqhJUujA,park,2.3274943,48.8634916,ChIJAQAAMCxu5kcRx--_4QnbGcI,824
Square Jean XXIII,4.5,CmRaAAAAYle90dEp04TqSY9gru3NXj7omjwCQrqw0lZMSuH9d4sQdfi9WajcJL-mlxUtFCP-h6kWKxH4SSLqYtpz9uoUgaRhcHJR23IYxyj_DWZFxl-ucdn15Znk3-hpbWOPLX5LEhA14LQyYIiu_eWJR2maDzCIGhQ2w0aJ4SOPXjh1ZEimCiYlTxkpSA,park,2.3504153,48.8526315,ChIJH7Gfw-Nx5kcRoV_z8n0b7_w,489
Champ de Mars,4.5,CmRaAAAAIuMLKZkXnL28_gb-WtIc5n0VQ5LNipq_8Up8gdye-ker0ryT9REeXTEI7gCVDdhcHX6S35RdE94flPzeHkLtVUIFoefKhZ_WMZMw1YxWlqVwSr02s1uu8kSXSMrnEESIEhDU07xbU13tXNhHKriLg0p8GhTARjnSqwIZ9vHFJGRxrR_NoGbbWg,park,2.2986304,48.8556475,ChIJB0gcnCBw5kcRHoIAPcTEApc,1932
Parc Monceau,4.5,CmRaAAAA3E5KgLM1rJGoS6g0zwHKTAztNZZKOIe45hPGgHvybSyISryUe8GBoe9Lvs1WM7ATvcoDIEnWoBKIlUXNuklVhVOAaUrUS67ma0Uj4pZKJCwVItWdZ7uc5FAC3GjB3WD1EhDglE1vNXkQ5FmGlpTu-ufxGhQ4wsj3fS7_B6vqyh7-It9gG6qmFw,park,2.308955,48.8796835,ChIJwxT3mL5v5kcRAsTd3v0lJOY,1751
Parc Montsouris,4.5,CmRaAAAAlOz3uXyRYSkYW_ScJOT6Uz12F-rnLReMaou1L0UONYlcJSQSFvrDqZsCkLM5bGu7MzWEzdxWY_qLu7UGMKBUvWLYAEtdUaxJYZO28Cap0VyUcFJ7p7WJq71JiLLj0xE8EhDskME7TZ0NkLFitk72yY5aGhRKyZK-2ldOQRhr5qBsHr1krV2Ykw,park,2.3378563,48.8223062,ChIJN4tOxqNx5kcRsa159MJv2Q0,1446
Vincennes Woods,4.4,CmRaAAAAr-pWJEmYMAvzf3lBaPOssCs6SSdHW3HhT_hDL80kXalmFA8eiCFI43204Pdfyetc2MAim-UB66PoV8XumADSrLC6BTL47dLysKQ-eJxl6hMbCoyiNLUOg0dOzPcpUiwXEhDRsERzuhEeDU7Ee_lub_xiGhS2RMDWJ8vgBx4p9_pxGJbF1Afsng,park,2.4362888,48.8285756,ChIJ3UNa3cNy5kcR7W1Dkn-YBdY,2631
La Villette,4.4,CmRaAAAAOwIH0o5nlMNRSMRkNSe1t9SRzHpCSDIFJdlvMJ9LkQyomiLxzwg4P2kMVRVCyuS_LcxK6b1wR6bAodcb0HNp5WXxe4Dt-CT726rnilCfjSNKF6b50cqyKst5BILzA0i_EhDRQ7B4FJiR-kbxMCgTH3p0GhR02EsyrMkjX4XljYPca08Wi4p42g,park,2.39026,48.8938489,ChIJHbrByclt5kcRn-ZGU8KjU_g,2121
Parc de Bercy,4.3,CmRaAAAAvazXg4gL-6QOgrdnxDsiMynqeulC2Ic5AKAUMGuTh3xlw6UOK6WqAq6yDDuvWI-HJBcOp-G8Ih43lApuMWM-4sG948meo6bIZgsRl5ftuzG1BCzpcHJqZBtn-9NumBpaEhBYqaXxcRzwFruKSybYp3KbGhQk_FCbHu9psAlep9dopBRsx1G0oQ,park,2.3812948,48.8363163,ChIJ6XHvERZy5kcRcARsBv9AehU,1333
Parc André Citroën,4.3,CmRaAAAARLEcC00QrLHayX2DGx5KpCsKIgGC3yDQQZlNVQBaN8X9isUaKSTim_nFWtyuZh2ifk8YuMCKGWTvpiwibZ-o8JE4xGrRNDiO1U8OZJcEa8u93sbHaIHjrKx1bRu5x9zKEhCC04AsMIXJp273FgwBcxM4GhQkbBWDpPLCcGtncejsi6rdu8SYRQ,park,2.2744436,48.8411202,ChIJnb13j6B65kcRSxozoc04yHc,2351
Parc de Belleville,4.2,CmRaAAAAXBXtkQo0vX9bT2bb4eKqMrPDqOfehg9pffDevcQyGrqHodZNMle5ccfneuLOhl-IBgGljv3guL2GXXYDrvvImi1KelZk6j8VcAJ84BimaGieIl9tVq4PNiWB9zObrn_nEhAKGvSnx8I35NlDOfF74LxbGhQ6L1V1H9jaUgFYjjAsfgKGo0XaFw,park,2.3847051,48.8710678,ChIJtw1d4ett5kcRj07k-_vrf9s,1275
Bois de Boulogne,4.2,CmRaAAAA8CPiRShaUpF5jOGYwHbWqudu2ISEnkiHoUuPG0sTXH5NLpHqRwR_qLdfOZ9_sLvlfeSDK6tBfYkRD_7b7CBVaPi-i4yPHGWRloX92zuUCWpTaKgkkbTNh8aAQVQjSCfmEhBYeLesXjSl9hQDo8m9IczYGhTi8AwqmsYuR0jSKe5vCHu71JdIBQ,park,2.2491727,48.8624402,ChIJ28laW9p65kcRLkyGSRGcV04,2301
Gardette Park Hotel,4.1,CmRaAAAAeN7R2PovzUx4mEqG2VpymiWbHuyo8tY7pwAAEPCkY-7NDmo0vIEwAdazBy8wjAcphmL98y02gI-ergw_G09urrkqfAiQeyZalmnxm78Bh5F8PC0Zk3XZXVzCg_gwiVf9EhBF27_nuNgcGGZy_-zGzhIOGhRNOrH4Wq3cg7Ac_fYmqdlv2o1pfw,lodging,2.3788271,48.8609807,ChIJh7QmqfBt5kcRahzMO78Has0,1744
