name,rating,photo_ref,place_types,y,x,id,transit_time
babyGap,4.8,CmRaAAAAHKm-EQpq5jJ9BK4BT3Cewj2OiwrjPE9W0k2K0pV2cUmdhg4NTWJDf9lseU-1xlkfsWfbvVBa-aukoyi7tAHda8VOMKdPEDd2pEDK6Dfj126iRqMOe5v8u0EQoXYJ1ioIEhCWJNGvLRhpoPuYY-koxgJvGhQFfw2uauMO1MRLDEvaZZT3s6uMqQ,clothing_store|store,2.3478312,48.8589551,ChIJ-QIn-B5u5kcR2DmIfT5FgmA,396
Carrousel du Louvre,4.4,CmRaAAAAXnzTqn-Zg2ylTZLLV7w8OPg5d9ZeVTaBoAY1UfFGCVmpuRw7W8p8rvKJ-vBmIr1_BPbKvHW-scshPasJbpLI9MFPjDLK3evjY2ar8UHk9_AI6njOFy4CHs7tROZAU_ULEhBmsyhUc_Id5gXz22WrELcjGhT7Mf8LPyF0wmUScMoCeTgCD_oqrg,shopping_mall,2.3349703,48.862578,ChIJ6SJcCP5x5kcRJt8m9_lR7_Q,553
Michael Kors,4.3,CmRaAAAAHIg-8G1I121tG6D-uq9YvxRDOi-JUq4AJQAAZvdfo-GlWzpCiizjkcJdn-11OpsHDnTC9wdOGydTx3Z1FRsKTFRv5CTXIeG7bWntYF3CQBf20r0-dXpN0YdrzDg2E9y_EhCWvgDcAXy_JxSF6vcqZCxtGhTfidL99_kWLtFxQFCi6dVddV8W0g,clothing_store|jewelry_store|shoe_store|store,2.3598826,48.8579582,ChIJ1VG3SAJu5kcRq8PhhsNtSGc,599
Abercrombie & Fitch,4.1,CmRaAAAAlF0RQWlMFhTC6aYYT4_lNinPQVTJZzcdEINhlZNCFdojS5rFqowuHgokVCZzvJhiOiqNcKJHHQMTgGT7b_23GrR_ICQ9hxtUn75OhhSXD7yzcIk4nBAU52fs1JZaoI_PEhDCKv8roH7_ZljVXmopAhE6GhT_sLBSzucPAMjqe6owFsYm5Y63kg,clothing_store|store,2.307876,48.86924,ChIJR9f99cRv5kcRV-OUsl7ZatA,851
The North Face Store Paris Sebastopol,4.0,,clothing_store|store,2.3498656,48.8608965,ChIJdRjPrR5u5kcResJx88zukc4,598
Forever 21,3.6,CmRZAAAAzLsHKt-AzkIF0UU0WHX2hY7wSZHWt-xU9LoSFUQ3wteZpka0kEQkTd09qSgctC58rcIsq8lu_TiWV_IhL0Bp4tWlCTLE_U3q4jEBXTqxQnAInR0wOspZT55qvI05FfcpEhDA2iTKkD_sxqfVuSsOgOqeGhTXQWGCVqG_DqGvbsyBL81EF93mHw,clothing_store|store,2.3472027,48.8623826,ChIJZ7cS3Rhu5kcRXiXmIpivQEU,635
Dolce&Gabbana,3.0,,clothing_store|store,2.3062205,48.8711576,ChIJC9539sNv5kcRvsd3zMJhlB0,1013
Sam's,3.0,CmRaAAAA2rIYoofin0Ed6Gq-drtK4NTOOb5a84r-z9ZeY4bk57jOL4mCwWK1yfr8GUo6OvcQKa8DB1gDutTnK3AW7kytf5tAynYRG73AewvnJcc2LzlPv9YZrDn7rV0cBXQDLBjmEhBYTUSPMSNWPQClutYOo-ckGhRDS45xtLprCwh3WkZ1WJ7MRSaTuA,clothing_store|store,2.3724582,48.8283844,ChIJre1yUSRy5kcR7Z95CSukt6w,1461
H&M,2.5,,clothing_store|store,2.3264572,48.8462173,ChIJRwqp_s1x5kcRDVUIG8y7K1g,1087
Intimissimi,2.5,CmRaAAAAUu7wQ4ETjoBB8h6n_b4Bk2C8apoTVsSU9atiFI92f5nHdD81D-mZ1VSIdJAcuN-CHWakZEarYgWy6-Q4ARshBg1gHIOmmMQH7K83Qi8oI5xupWsoEPCZdMv3pgTzsQCQEhCPC-67DWyb2tpyxD-PikvTGhRFQP8hp0wvLwnvWtDSArG9YbPr8Q,clothing_store|store,2.3335911,48.8525518,ChIJw2L859lx5kcRbUdYvQ4IsNg,1055
Société M K,2.5,,clothing_store|store,2.2689775,48.8937241,ChIJvQXl4nll5kcR--R8Jp7luNw,2493
