interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
shopping,Dolce&Gabbana,5.0,CmRaAAAAPvJc5veFdGcxqrxGz2buNGvBnheCUgrddAZ_J-TrexZL08F8XgP7sKKMQecv0_orC4ZEgg75JWx2GyOJwfxhFnfpwljga4MZe-esOQNvsRb3yaO1bfxt7WT0djRV2p7DEhC0TAY0QUfn72NQ-DjXKF0PGhQoqeSpZO7frn2NJuKwG3MzZohF2g,clothing_store|store,4.8786643,52.3598899,ChIJ4fZ3Yr8JxkcRF6bLqoSrFgo,1185,0
shopping,Lee,4.6,CmRaAAAA8laCZUonQlQyxQEvjBrLH82vWJDo4QvHIwjkM8dktnIY9kF5bJ28qP9G5dyzGDoTp0rxaYNJWPXHNQLu9sL34XdR1BNcCMEZeu2DGiBwQpGUwAaJP0yMCJo_x1iMfprREhB1u0NYgW1YDE8Don-RFx3sGhRh5ggWuVAnkNFryTgNOppb9EHrJQ,clothing_store|store,4.8861521,52.3703939,ChIJe4nAsMMJxkcRKI2sQPU0msk,506,1
shopping,BP,4.3,CmRaAAAAEfKsi6eJ_C2waOrKHEutqLKbMsGrXb26fcwC8aUpurS3x_26bvrcq7c8QsbtX3FtDktybuBPjFTt49aWKpDy8bm5mlWDjTsGu-unvPaoTnZmZUTpliuWnEjSKZ21r2Z0EhDIALZx799X-jD--FdVJ_DFGhR79bG1hXSgh-PWjbG-sRycyBJCww,food|clothing_store|department_store|grocery_or_supermarket|store,4.8926094,52.3673072,ChIJfTOXE38JxkcRKilvpQN0ljM,439,1
shopping,Desigual,4.2,CmRaAAAA9WEkHtVJaAZeNLFvuDcmYlI10j-szO7ALLmm1kJqV0OLm7gXDl8p0R6aTKh5NEJLG5WbQyYxHavFCDCp23RnZ1JG9KJo3qkapq4w0pCYR0fllPWdUuJQHgKRpvrwpYkuEhCC1TFLfCF3sP43hXAeRqSOGhQun53gRXyyHWpd_C6WuknO-2Xw5w,clothing_store|store,4.8915133,52.3724406,ChIJwX9E1MYJxkcR8ssW7CXhhO0,394,2
shopping,Michael Kors,4.2,CmRaAAAAQwQkVIyYdAIng3FKgnmRY7ABCpgwu5OTgzsjhX_9ZAgxu4XrDGikj4fuXwDjIttxHZA7_jYph6ERXY7s_ps5FLCQl0bTiBo9xVCEzXVYc4_LGMOeF-3E8DLMLgiQe021EhADYCsgqPaUVHw3FzuPDtyqGhSiVziMDzPCmLbt4qKEinwzTNOhxQ,clothing_store|jewelry_store|shoe_store|store,4.8788769,52.35963,ChIJB1bmm-UJxkcRfHJ3cxwFQds,1136,3
shopping,Paul Smith Amsterdam,4.2,CmRaAAAAMFMjV6pNkxYhlfS6mzcMVa7slidBdap3SMMy4XUVaQteQjcNBjim6E-SMI03R2J7B19zDcQj7eYl4FBcxJBD2V6p-L2qdIL-6B4K5nwxP9pLNIvoDnYRYH4g-Y13N0a7EhAPA-ipnKR7Rbdzl_ED6G40GhTZw8UBKoy6eY9B8M4zHuS8Dp2BDw,clothing_store|store,4.87814,52.35975,ChIJhymRoeUJxkcRbCOFt5kGBYE,1137,0
shopping,Patta,4.1,CmRaAAAAF8CVrh75wmYtJ4yC6ljYAhI5gYGEKYEya3iqirNFa9EHNgT3jFqF4ivW-I6c8HsBhAtWD3z8TriRsBYqtE9M4URjJQGu5sSpHrh6-fDCbkBrrO2ezbxANxlWKfRspzvsEhD2gcxzUzh4FoFaD45hnnKzGhQq9trclvD-FeKj-l2tuSSTmk0iAw,clothing_store|store,4.9009497,52.3747633,ChIJ07lKX8YJxkcRD1fHSz89E_k,484,2
shopping,Emporio Armani,4.0,CmRaAAAAYygcuvuchScYHw45c0azmZFG9B2jsAbBxYAKbjQOb18dDnZIliMqpM6ehBS5QB0BtCursGILzS10JB3XQ1rujWkAzmbD6DmR5eoR3npqHkuOUTQ9FwDwrcX_0RodYydLEhCeB5XkJVHhRfN8BuyPWBj3GhRSWbR1cOkrLGDM-n944-CGmtAmcA,clothing_store|store,4.882326,52.3605539,ChIJHTGVPe8JxkcRfKoTKL9H5ig,978,3
shopping,Winkelcentrum Brazilië,4.0,CmRaAAAAS9yGo642Bh6BdUAHd3e9fpS53YXRPAIz3K_9j6dMK71AzVHVS892TKbvVqM993oqYs_PBfEX62Hl7QoPhSH6JKzpOjbkuJVxuX67UzTdDnZxqSg1CFDqjCKOqQeLjZ-VEhCXjGQSkd3HNfC--eMmrv-7GhQ6GAuSQKsjJ1Ev_BPpfqIUQLcWhg,shopping_mall,4.9386469,52.3740139,ChIJw-LtFxAJxkcRnfZqLkJOlxA,1787,3
shopping,Forever 21,3.9,CmRaAAAAhKs-sygVyY5AUmKg5kIMTExcabqxlBOnHaMByw6vMXrLGof0VM8Eb6nfgDTT1vefOMpQSDyHqE16YwvFpfVeWZvIacN1Z6EEhaXVHdS443KKuM1KsJ_L2T3PXYArgRDMEhAh9INjvM7nFHRg4ToOv-n5GhRv0bqN1LHVjGb78oUl62ADmpZVJw,clothing_store|store,4.8921073,52.3722208,ChIJC-kZ1cYJxkcR-FDE_bsl7YA,309,2
