interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
museum,Dahesh Museum of Art,5.0,,museum,-74.0048784,40.7251128,ChIJ7WI5fvtYwokRPDUT1aUOA_Q,540,0
relaxing,Art of Relaxation,5.0,CmRaAAAAKcM58oTxgRf4UO23GW35dsJqbCAc2K8Z_FnZPCVVEIAUiT93AkpUbmNemkk0brbnlq2qR-jSQgLIsc_ddmKLHo5asinisA_azu-f0DVlAt99LT-wRNns7DtAGtMWAlIkEhDQ5mVTklqz_ESszvPWQ5NWGhR_-XwGXpXwyPzin0Dz73waYE00Tg,spa,-73.844036,40.722652,ChIJZxzsCCdewokR53ZLUR-ITMk,2972,1
relaxing,Grand Relax Day Spa,5.0,CmRaAAAAC15-QuVGQ0r3bYVzlTeEogyaS9-K4vSjpzTnQ3BPepePeEYunlGDGyb4DtkKwPlpWa12SA3fq6vHm0aGwm6CsiPLoOany3ISi38K_Y593UmbczEW8uhNF0U-IPg44S3yEhAhPQD3BJh-ke4eRJXTRrXvGhQF3skIiWrJYxEJr0L7ShZoLYnmRw,hair_care|beauty_salon|health|spa,-73.957229,40.713043,ChIJB3h2mF9ZwokRanA5lDQHkvY,1512,2
relaxing,Relax,5.0,CmRaAAAAZIn7F2YS1Ko8EnOtgpNqiMLznep7oQeTtY15dhq9i-Xg3dMo_hA3XjNqpxV7sDxu9zl0_MWXySIUZpD-usPkN484_Nw6tiQt7B9Uir6lqrHsC5tH9H4Gj5lzCKAAENY8EhBFt3DfDj0608v6bcp3sh25GhRr_V3tWN2d8DrafPwFbpvBD6IZLg,health,-74.0074092,40.734139,ChIJk2vzWetZwokRg_IN2DlkXY0,1034,0
relaxing,Relax In Foot Massage,5.0,,health,-74.109799,40.3968519,ChIJgaCH3EIxwokRYQo_bSCQXkc,7174,3
museum,Leslie-Lohman Museum of Gay and Lesbian Art,4.8,CmRaAAAAQ9j-l26xQy33y417Qz6quz7IUfypBfUoVh5yuo7XQR9Zb7DZTJY8y0p8WYVPK5htAebxAjXffXZoauw-QQhnY49trPbLGDMbLGe9VlG-p8iN-KEC8lLX39EUilGHtltnEhD5QZzx0oKzTKS1D6g32mbGGhTI5qtEa7dbYIBGMD2UMHPBo6HJ0g,museum|art_gallery,-74.00309,40.721669,ChIJ1bAvpItZwokRaOvPH7FibmA,518,4
museum,9/11 Memorial,4.7,CmRaAAAA0o7BMr7vg24uCfFHEQ2B9FV-CCRIH-pwnFxWNA2UApScdB7E0FNPyNFsg4XOCQmEufa0WwcuQflTB_BMQBp842p1k9kGrg9VA1DgTOpqFyxQxC8_DyJ3jtewysNGHkLvEhDUWJQXy1uwpVFqZOWFgEXKGhTH_J4l5SMlOkcoxZEqJrhli7EnDw,museum|park,-74.0127254,40.7114836,ChIJRcvoOxpawokR7R4dQMXMMPQ,532,4
museum,Museum at Eldridge Street,4.7,CmRaAAAAiJwhCSUFlZ0KZ4Wkj6Yi3t2hANYzng8XLYQSqXLAlwPLxzkf_RNd9udRgZU2GSQkBIG69OAAnnT51nWwpD5GbS6mwYvB4hAjAL3qtqbtVD6QPmfQYqTF6XFbyL4i8q3MEhCiJkAe3VxriabeweAImmkhGhTQnz3tSYnBz-b74ZUkoks4-a8DxQ,museum,-73.9935561,40.7147484,ChIJORNWYChawokR3nt2Jj4ha-s,981,2
museum,Tenement Museum,4.6,CmRaAAAADNhfliDfWmfKCGuLB5CAB_hnHPrTmVfEpKff3zrAKiQ-Vy4O5sdQZAWrd0sU4IgxQdo9gN-8EI_Eqou0pC6Dos2_phNFJD6hR9c6-39GnqDTCqLRZO6CzMI1u6xNRkgpEhAmsyL8mwloBHcVgLEVwijzGhQ5_67b5HepCKwhBjWx5pmzEGSwrw,museum,-73.9900697,40.7187958,ChIJ20bVJYdZwokRhI7esP3mYM0,1109,3
museum,Rubin Museum of Art,4.5,CmRaAAAAAeTQ_mjESqsTjo8SVL7I9fmE_Ptb61jJ_fQN3AJYni7qV8rwSkbKSqmpXq-aTpn7hWKePpAxQBImc88V6XSQEgl0yOaMIVJi5vSHRnSfCglMmZL50NcrfcEgE-VNp4vzEhB4FPZZ2DbJ8W8eBuH1fo3GGhTvLvuik5WEZnNOuXlfQlaPBFO0vw,museum,-73.9978141,40.7401773,ChIJD4QSVbxZwokRaFPDajZtIaI,958,5
