interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
museum,FEAMBRA,5.0,CmRaAAAAhi_oenXUiM4dvbNIh9cfW7I7wTxJZqGeyvQvs14hlMsWBgg29y1UZVT_OVM7jjA7Cr4FYTGNnwEvdEjSkP5k2BfLBz6licj8zSQ-b-JDWIEu-Ydfl-WoiuGYnwwKPjEFEhAHBAwRsoS2voC5cH6nkW98GhQUrvBXVKz2d06nZtYUAfZzmKf_wA,museum,-46.6655126,-23.569285,ChIJg3BMHNpZzpQR9GCcxtgBp_o,3240,0
museum,Open Museum of Urban Art of São Paulo - SP-MAAU,5.0,CmRaAAAAHsCjkyl3qhYcvumxD7kjRQaTvy8GT3KGqsN4k0r70id2Xu_EzzovtG3BerZI0gFjrvhtqxNGDqWfx86WJtvcF20D1fdHdVVn8NxAzuPYB-8wY1aXHXJLtUyx8x0paErTEhAMIewowCjnRYe7H7cSAs3sGhSutyImet0Svvp8kbRptH4n-HMBMA,museum,-46.6252688,-23.5080609,ChIJVSRjXYJYzpQRkF9Y77qLRgY,1700,1
shopping,Shopping Cosmopolitano,5.0,CmRaAAAALHUQjwf2DH-pV3hpG6HmNOqhcVlpvKNBimANSaW5y3kJeH4FHzXzGhyXymRVrc6betDLfcobs1ONQ56CKpqwV646lTNWQFb372oYZWAiP4aBglUioGFT3h2ZtTgWIqGVEhCiyouajjd_AQwav4L4bq_MGhSVqwxqnz1D35vV0e1y3mQBGNlzng,shopping_mall,-46.6143595,-23.5634767,ChIJdfWVRWpZzpQREjgw34PRo6A,2860,2
spa,Anantara Spa,5.0,CmRaAAAAhfJvFSU4U7eRzNH1tX47S0Bze-_U3VC6zgE4yrLVv6IOxRxi4pPUBA6IPAVpvTjoXYWXxFfA17PCSYRT7-xs0egZ5y7MS3iWZQ0Q8hmlDeRk9MvnfWDwJ46TorcB0nZVEhBlkZLRTBXHWLrkB1mzfAXJGhTpxRZ5CQc9_5YPOVwaJa3FRqaJOA,spa,-46.6559825,-23.5640312,ChIJB3IvyshZzpQRqfD0Ic8Gefg,2847,0
spa,The Spa at Renaissance Sao Paulo Hotel,5.0,,spa,-46.661911,-23.558491,ChIJW2wfydJZzpQR-6HD5wp6_Bo,2322,3
spa,Clinic Spa & Hair,5.0,CmRaAAAAldozWlQv7RR3uMwdleij2kmUK_DUNxXdXQ3xzxcb8XwXdQUwqCn4z3qPMfxi2LBUOmLDXwhX9_pi5fZQwAj-Uzk818hZaoFXhZSRlpa81dRMCyrtjFrSm-2gjJbSAczqEhB_AoJxGcaRv4Axi2CGuWMmGhSYmeqTNOvf9X37NfTVvJfmSwjkRw,spa,-46.643721,-23.5455047,ChIJRQpSW05YzpQRT8NPM77B8n8,1770,1
spa,Fit Body Pilates Spa & Aesthetics,5.0,CmRaAAAAH-eo8Y0cucar974fLKqm67EWhUi9pgAHtefjnhaFj_JSobHf7TnslF3hmLA5_O6Q2RA1sgpueL1SGjHQIWdQfI4q5lnaChkrtEhYrACMl4UWFW8b_TT6HSAtWmGFn2heEhCxwllhTOPA5UKtdePXGSMRGhRxY_MsfIGAAtEKcUzJe8l0FY1u2Q,spa|gym|health|beauty_salon|doctor,-46.6475254,-23.5855573,ChIJD9EZDYxZzpQRKjgdlTYJoQY,2247,4
spa,Spa of Eyebrows,5.0,,spa,-46.6497001,-23.5680749,ChIJY2BYML9ZzpQRHDtjb19mzVk,2194,5
museum,Pinacoteca do Estado de São Paulo,4.8,CmRaAAAA2bNbP7D9CFuHcPKiUcGaer1qPQNnNKBl33OAgJDYGgih8I_9m46yXmW7qQE3yCzbojG8GB4Nzd7rnvk-5acJ6wRiHYKJ7bjMLwuJtQLM2t3-ghJSevMXNnOz6B-B1G0GEhDBu2zSHib-ni0v-Sbr1i-HGhSQCZodMNDFxbsgpJogFEV5Aw_FjQ,museum,-46.6339501,-23.5342666,ChIJ52h-6FhYzpQRASMhc4Xaw9w,1539,1
museum,Football Museum,4.7,CmRaAAAAXutNbzVo-L6WAfvU0dvLSkv4ZcF99tTA-GadjcVzGUt4aV_a-KA3_ZL99CMEpLmcxUX5VNiFzJ53mxiuXjl-92jxEXvFqBqYJbjUEx-YoDvXywgPj6HFfTzkFotB9ew-EhDwnqmiQMi2AofPj9svNxpVGhQw_2adCi08Ydp0NNf8PhpHIVRn4Q,museum,-46.664917,-23.547537,ChIJf7Cs2iVYzpQRzp6ZfOjJ3s8,2905,6
museum,Museu Catavento,4.7,CmRaAAAAtAaDH4k5zdUEshPi5okWyNXU_kpH2-v4qV3ywiWml2KwsDsyEOrfme0e-0BITKqDGdRDIq8VTykK28t_vMLM20RgOtLwyGLclh1Tj9tngYq4Cn4HWAP38ueXcVh4_svlEhDQNSB4XcgdcexFH96iYOGFGhSEISR0Uq4bfhQgXVeEkuyGjqGGzA,museum,-46.627728,-23.5439053,ChIJq7WXZf5YzpQRguKUxFINMrU,1079,2
museum,Museum Afro Brazil,4.7,CmRaAAAADV7nWlGlJS6-saKAFgt_QNXUBo0RV59fgK8zMzFpGDfb-UlsCqeich9zDyOdAk3fNawxqpoOTP-koo-TSY1B6JgoQ5fc8mAuTUl4-C-HTKiA7AoxJsEywrfFmPy5VyPLEhAN8-CM80p4xxjxGTCwh9x5GhQGVH1aE_jVDPChVv6keaLB0uGRiA,museum,-46.659196,-23.5838762,ChIJo2Ygwe9ZzpQRD-ge7J12tnk,2183,4
