name,rating,photo_ref,place_types,y,x,id,transit_time
Museo Teatrale del Burcardo,5.0,,museum,12.4753877,41.8958487,ChIJqdTX4k5gLxMRIX_VBSQ1HqY,679
National Etruscan Museum of Villa Giulia,4.6,CmRaAAAA6-UcspNzJ2sxJX7_RnoFrWCmeR7aWJi-q19dgzwOvdIgyOdQAqMdcnsbuD1PA2HAlO0XnTihik8d4vAxJpsgQDYKFJULPQa0X-ELG8Bd-60Fov7MYTEC2_oTKDa9A73QEhB0bxE-tf451d4MINBbznD2GhT7Q3E7zl-ezSSxsgIyqIONwMO3IQ,museum,12.477809,41.9182717,ChIJlSkdkeRgLxMREkRxyk8IJEY,2014
Sistine Chapel,4.6,CmRaAAAA7rF9Gftl79m84Lg-N-R8xj1D1MBr8unl9XNbxZXGrOpY6uSIXDNwAkFXKP8Jts9V1nL-y7ZjLfu_CdXtosrtjXjSpyE7Ou3EnV1M7LhmcwP8JcGCtT_6nTirAXFn3kinEhBlqyxnqPtUp4JnWUxP8uG7GhQwuuIz7vQWbqJIuSgN0TN_i4SVmA,place_of_worship|museum|church,12.4544835,41.9029468,ChIJ268jxWVgLxMRIj61f4fIFqs,1595
Palazzo Massimo alle Terme,4.6,CmRaAAAA2esij2CqElujzKiVdJ0LVemiLr_MwQu3jqiD-MmCDFd9VO7Gufo_T-AETKha0leVYqOe8PhcKXDOxrNO_6Zfvq0LxcsmGFfw67kS1JZOxRgg0VkcjKkhrY-FI3lGQHNfEhDDR41mrfu3mUXfU9hcl7ROGhQ26IcWfnDpmX_hswo-W-dKo0qvIg,museum,12.4982554,41.9013587,ChIJ18PTgaZhLxMRvINaLw9AZ2w,214
Jewish Museum,4.6,CmRZAAAAb4ETgNH15fMpVjA5lMmOOHEY_LgYIpaqYzbGDEAqw3XVd3MJSyQU1i9V6R9DpN114ooU_D1H9CeT6ycdqXeVBW3ow48oKk4DNkuLEUto3lU0LW6otT-17F5UpcVsP4B3EhAlwwAKqG6o-huxapDPIafTGhRwnakOSqmBEuOpzD3XbV6CKoTd7Q,museum,12.4779185,41.8919607,ChIJU4KLC0lgLxMRjyqm4497V6Q,783
Trajan's Market,4.5,CmRaAAAA09mOJwunSzEAtE5UxbJllo_Acb4-gcOBS3rqPjNbAIuZyS4FdVmb_n62dX3iBzb_Wlia0S43xz8QbwKU1_0bF5Hp4FLSl4TgMgla1mJIrTyNNidro-3tGMQ4a8pdUi-uEhAkUmDHIUFOP533vnlQxRPzGhREfQC9cTNdoKdnqn271nolStC8Vw,museum,12.4862481,41.8956413,ChIJYevd8bJhLxMRvaa0jU2aqLE,475
Palatine Museum on Palatine Hill,4.5,CmRaAAAA1qO755XaZncsQTIbb2z9Wz3tRrA5yofdjsfApWPLAYtfZ3Jgh9bZWNOjmOMp3kVQQZ9gTrIyL8O3Ea6DzuaO5ggTKwm8Ti6OfhInGmUf4-WcKpepQINE-rGvN4puVv-cEhCbQwkhepsKxaKrCkw3r7ccGhSYd5NY1JyHZzIFprn8iq98nhh1tg,museum,12.4865643,41.8882973,ChIJJRCPgrVhLxMRm4vzjSHZxGg,1288
Vatican Museums,4.5,CmRaAAAA3pcbK3lbtVSof0ixd1IYCqDm2qKJ6dUAXMcYivNZzBA0QGzSTSURjaub7uLHYSzUC66AmNr9jr2_vSliyZNsQtqh1X1AbMaror7DaSYa-S9edlxbIiEb17I7pJfKsMQgEhAEXEa8vduBjxCdDmFrwixSGhS8Ecu9D45FuDvEM9OoZ9vuvGICXg,museum,12.4536413,41.9064878,ChIJKcGbg2NgLxMRthZkUqDs4M8,1547
Historical Museum of Sanitary Art- by appointment,4.5,CmRaAAAArj6kYG7HtzYJldphkKPieHJf-Q86f-Tegjs7orqRaGwtNNopOqPI3NOcFgicb6ZF9yX1K4bDBBW6lrw3-hz37_K1d7hiE-5H_jYBsL7k8qA-5BWUXP2Uk52Ul757oopGEhCbFKl6-NJtkhSkbRVMiPRhGhRjrmOEQiysBbMHfohxrDvfcctSXw,museum,12.4626415,41.9006082,ChIJ07VQJF1gLxMRv1JMslL50s4,871
Borghese Gallery and Museum,4.5,CmRaAAAAhiUnB-me6dAYYy-o9dZcmT_U3RPL58X0bK_1mjXdJm4aVhg4KyaozZKNGKEBA9i5-A9LIm7px76_8U6mqg5l0qrotqmSTrQOy6xJxoyc79sWF8QQgfBuHdwSyNFcRCUIEhB3t7Yoeq_xmwAxjetHEl7nGhTRhxEg9fqENzbNcLxfiAXfp7yd4Q,museum,12.4921442,41.9142103,ChIJq-bXVgRhLxMRv3vgOXaktBs,611
Museo Storico della Liberazione di Roma,4.4,CmRaAAAAcyuwsvP90nfZys7p8GY92m98An3yKONyeRdwhzng9lkYAPMB4jAHwZG-Vzpm2Y0RGl229MgeMArpBjQ3iOxpw7KFi5YczNmc5maJfM48fgKHv5-O2OXxsiMLC_h3Wj3WEhBjmUeIGeQQNSljDSspHpBHGhQeZ1duOILvJvVUSohgIn496S0XNg,museum,12.5063893,41.8886536,ChIJqat_Pb5hLxMRDmZAgkEZ_9A,493
National Gallery of Modern and Contemporary Art,4.4,CmRaAAAAOXSKXJgemsbQgA4NHSDtEAps5MRTM0k1dxbSdHa-axevhv_ekBbFHiGHAiZeI3Q_DNeWufNfURQu_fTEAHPKF_JJvvflcRiejHflHYu5CGcU-jO5UaDMbMXJH5kT9e48EhDsQTMGbBb7EFRL6tcEAdJqGhS03pNW7PMWl2NqzIaau27TjxJIUw,museum|art_gallery,12.482169,41.917042,ChIJxcyMIv1gLxMRKAH_Dv2q8iw,1115
VIGAMUS - The Video Game Museum of Rome,4.4,CmRaAAAAl1B9awrzukcfGfP_Ym51PS5XZmjgOsKbagPrssSizmlW9f7WfJ6w5rbMX2VTlcF-CqXyj9GUiV1qSnUmNQsa_jj_Glfbv2X5xVH5lRqgqSWWmx60Kgqqu-jg6jRjobLfEhBVi7tpK6BQ_MqNd29IbQ2NGhSlMNHgdBiCpHZryPJKI6lcor6OFg,museum,12.4596213,41.9166758,ChIJ235c6YxgLxMRYwhfZ-OTp3c,1115
Ara Pacis Museum,4.3,CmRaAAAAeg_d-UvmIdsQGSrz_9BCR_xo3eEwYGpDA5sjNJCi0BsG8NP9eDAapJFUvrIBt8s9kL-1oRkWYtwbtofgu72QB5hjA8zbY4tLy7eXQh9vN4EXdiLbjMUNGrLekfNxnnN4EhC-jLIj8x3zh3JbyhWjpQpiGhRwif4dnhkVc2mCrvUrGEF0Hx0-eg,museum,12.4754579,41.9061281,ChIJW7gc4llgLxMRP4T-4B8cdXA,791
Boncompagni Per le Arti Decorative,4.2,CmRaAAAA3zXvqX5oKQU6a5gi-pjpJ5t3uGT2RcYGqThuPImBpXe4PwS5Y63r2YaGKZkTJSth_3B4lFo_a9Z3HD1igsPgMvToU2efDfDNDwHlN9kDnmzm9gmar-tp1NZCZqa-GthPEhANf-r1S5eu85Rl0LptEpujGhS1o9NHZzJYFq_9mMeIY9ZNXQE0hg,museum,12.4951508,41.9087294,ChIJP2kk1AdhLxMRKE6QOvylAwU,422
"National Museum of Oriental Art ""Giuseppe Tucci""",4.2,CmRaAAAAIMOfABYSY_A8CEDBt1ypW_NwRuVZ2K_cv6BhkwcYw8H5L2QZ2LIVa6WfApmBk6UPjz6q2nwoMpo4dEc78HTtNoZggmQAbUfW-V_KXA0PyLCGh3bJPOlVsSoMUL7vj8QXEhBVgJAshzuj1LIchbBbyp6KGhRsllZeEFJ3xPaqpdSuPPYLjJZfYg,museum,12.5002444,41.8944442,ChIJ7UKEb7thLxMRFi1CfusN2p4,482
MAXXI National Museum of XXI Century Arts,4.2,CmRaAAAAwyjiVe_RGgsTlbwtC5i6tZ6PYF7GD11rm39yL5uv8A5CImF6yzX4RjDuZxOfkkEBKqIByaoYRScfg2edkB9_vljBARJzsJg-dzn3PVfLaoC34c7tkQy3O8lQsjzOFSVXEhBUxJoptW0n9Du5T4Gu2gH1GhTRZ9Q13kpccVF_HtgzmSIa8dqS2Q,museum,12.4671921,41.9283281,ChIJjT_cwulgLxMRbL2aAaLagKw,1324
Explora - Il Museo dei Bambini di Roma,4.2,CmRaAAAA3qm-0vGuxl7Tk-0ZUD2oHfHuKUC83pw6a5Latuc_yDNEGEcvnpMtKr37TgBIiqlfRmRON6bg74dc918Rh4f00jyP9jc9JJFA9EMjCkn-ryZ9J26TwKX8tb4BZyLPO4cFEhBbEDE6I68tguHh9Pk4KX4vGhT8GH4plc1GIHPEdXQcXFS9Om7r0Q,museum,12.4748203,41.9150054,ChIJa4nrN_pgLxMRfgsLR4Ulx04,660
Museo Civico di Zoologia,4.0,CmRaAAAAVOXZJ3iMjrpm7KqnH1UfaIPozXBZURG2Nj4IVPEP3g44o4ih2GsQf43G-HNhESiTMcYUG7nGyrNU6yjGses_w387Pri4inTPdQE9WEg1IjQl-bRyl_lSC2qpZ1OXIA5oEhA3whX8N2jaaXBSBxYm7GO0GhSxO1IuN4AQ3Q6s6sUJAvv0hCiciA,museum|library,12.4886655,41.9193129,ChIJ3dLNixxhLxMRf32Jbrs9KBk,861
Museo Leonardo da Vinci,3.5,CmRaAAAA-VbLUJwPXqw0F45cuMTLUh_2IYAvHqGzIQYzq51LRfgxRlH2wYIpyJ-V-UOSGB0oa5p824M-k-ef8oyhfrUR4iwGpMYq-m5dX0Y0TBk6LudKpQpCpGggw5KCSSvq2nFdEhB4fkEOT9sezPUfT9WXgPqQGhRO4OD7u1WeRLEX_jANuFxXq9ukBQ,museum,12.4763302,41.9113542,ChIJJ18rA_lgLxMRsqDkxGa47QA,492
