name,rating,photo_ref,place_types,y,x,id,transit_time
IKEA PopUp Store,4.5,CmRaAAAAcxtxwgWQQx__VySVFE_9hvd5xV67DgFiLchIvtk-gA7kV1c2kN6nBC7cV2Bp1RopoXbTavb87F7U6ZOVICDwKbukQxPoBgEkxBvoqxUQa_blFQLRpe63GPm9O4cG7p5vEhBOXWtr0XxISPwWiREbxRQLGhSsZh6iuAYBwiqLb4YO5h_YtznD3Q,shopping_mall,12.4816114,41.9026237,ChIJCTB_cFNgLxMRn6BwBcSkQQ4,561
Galleria Alberto Sordi,4.2,CmRaAAAAN7KGGQNNIUAiMKz0qO5nkh5lqyzfeldkNTtgrz93L2TrwgWR-W68YEKtbMaYtWomgRuy7ltc_HulOa4g7QvV5jMTa1BV2eYah3nJ52TkbFnRD9qtTkGGnXqGasbM8RysEhAdr8oHphMd5XFM9tRBMFIWGhRIhrroZgE31izKeaFk8wYBco5IzQ,shopping_mall,12.4807223,41.9008806,ChIJVVUVJFBgLxMRxjrV9CiqkEQ,876
IKEA,4.2,,shopping_mall,12.5358157,41.9553591,ChIJvTuV-RtkLxMRloO3Nynzmuk,1926
The Disney Store,4.2,CmRaAAAAxuRdKwnjKGdZNAX6Z0JTAtSdw9vpUEiOL6gdy4xR2SDRol5uMb1aHAYZbnHUM8rSC1SEW1c9Lh7cOYGSw-CP2N0PYpX7LxCCE55gFTEcUPGfZIQ0GHolFRCp0P8ETXmWEhBNK0DwG7vJ_qqKpdHjj-GpGhRCl78GqnzYwUeMggqhJEaBLVTHCA,clothing_store|store,12.4795832,41.9033449,ChIJ8e_-9FNgLxMR73cKF-vDjBE,726
Gap,4.1,CmRaAAAAoDmegUVbtEytpYao_GqbY8bUhHEHTLOqX6oW4rStfkYr0o9OslGRWzw6_RT022BheWTV7LsOYxRA2xHzXlpOziEKqP8r0hfU_KuPeWPIRhsL5-vItXkpXohiJYMEAiGDEhCZXmWpjcR4y6L4IQxsAqcFGhR8M9iB5DGafyZD_BGF784kmKuLlw,clothing_store|store,12.477993,41.9062779,ChIJsVw1fFZgLxMRZDDVkBb7asE,606
Fabiana Filippi,4.0,CmRaAAAAHv0Cc-nsa72DfWsv3_QeeTEx5jO24B_e4_B7lw3lno2V14jbLU_FkA3YM3qPhB4TviLZTas0DE0d67sFl2pNw9YhnnoFZXPg9YecRTgiUtQKD0diZzJh5veZ-gln0BhXEhCIAH0pGUW1xOzB43uvv_GYGhS_v7etdo08pnzBfhQFKIRBX7M6UQ,clothing_store|store,12.4786095,41.9088612,ChIJL5saUf9gLxMRv32tRjQ5_EY,640
Termini Station Shopping Center,3.9,CmRaAAAAwjtweO5oBaB9sAAdhs-goARnG0QhWRK2eH63RTZ-LcFov8Zk9k1XEPcqyGp46SqimU6FObe3ePETVlN-ATKZKZtlOrm2sZUVdt3Zj0F4jkYmX-WjRvS9JCND1NwncXpSEhAuopvN_vgIlOu56k_MguAKGhTPkS_FYwwiU3IFfgrOXCDzNzc_vg,shopping_mall,12.5018156,41.9005121,ChIJ4Zugu6NhLxMRRHnrWVs50RA,566
H&M,3.8,CmRaAAAAHW9viEnfvrjtr9T1PMeMB61IEeYS6aaDSMpWm93IH2geYjF5vwy0ZgoSSDZnBpFIlaO4TsQzGR-9Hy20qaHZNWvzlB8zrd_nIf3RWWrnQWXJhQk_wS17Z4o5GTpjFF0aEhDd_ZzoSQ01G89kGj7JN1JsGhSI1M4l6Zf8APpyA7CpZd17VP5Cfg,clothing_store|store,12.4770839,41.9086659,ChIJJzXBHVZgLxMR-86Yw6SHje4,737
Dima Shopping Bufalotta,3.7,CmRZAAAA8vaya2O1Z_DpSGD4Ig834AoJo00C3CC1RBr_o8ClC9ElI7FRJS6bwzTkHlli8_zDtxfE-j0ujJst7RQw6gNivamnPvYS0LS7cHoFy7uHtyB0MfTap_ROhsed_KDQY1ylEhCZJyRniGsLKMstSertW541GhTQNGoRO2kTtW9NFiNxPeMZUUtauQ,shopping_mall,12.5480524,41.9579497,ChIJY0Q5rBVkLxMRTFMtZWNjUWg,2707
Guess Jeans,3.6,CmRaAAAAJi95Dyj2irOQqCEV0HZjuoMmUNzI9CUVKC3Kyvy_C9tdBArn_nA9f632b0mYjNuB-koE82rJTP4AabVITpIxB3UtF0-pAWMbSj9kPuTqBehwOa26vWgTTjHb76TDUCqsEhCtysUWnU5W8sY9b-wWRWmSGhRUDyF4MFvhBZtafGYHFfVepNKo1w,clothing_store|store,12.4597441,41.906753,ChIJm5CzxWBgLxMR4BP_axThUCk,869
