name,y,x,place_types,id,rating,photo_ref,transit_time
Alta Care,12.481612,41.90669,spa|beauty_salon,ChIJ8QxTF1VgLxMRwjLDB1oguMI,5.0,CmRaAAAAphN1fj1uYHIgcHsNYBf2sfEhYwItt5YTzmctEBLt1EASZCRO_w6fwMoZJ18KmRK5H1PdD9QEU3FH52EmD8e4Zj2wGLwBNjn7aXHoIxRKBjFuu4yTYKx93fqvMF2uVpdVEhChT9ZfeoAfsPn0kgF75QZEGhRVli8hBMxcnwkzBYbaryQxF7Z4IA,370
Cavalieri Grand Spa Club,12.4458361,41.9187257,spa,ChIJ5y85RYRgLxMRWunZMzc9KwU,5.0,,1941
Lunetta Hotel Rome,12.4734422,41.8959382,spa|bar|lodging,ChIJG5QZb09gLxMR38lBuvyZswY,4.8,CmRaAAAA3jmm1oOU8tUC4fxekDKDNUuMD_ppgJyyfK6tk8HQUSK_6mdtQGxvCYwvqlMMtiNHrTz6SganmQC8nv2DKbm-JGTjcQPJTXjoslBZbSug8JtZd8UMyund98ZW9lz_15vqEhBj6bcQKamKQp-deOBqVTXrGhRngLrgbB4DCajz2ml5W9O2YJS3cA,707
KamiSpa,12.4876817,41.9030525,spa,ChIJqbKsj6thLxMRlMBvVEXqhms,4.7,CmRaAAAAgxO5wdbGEmO5UPBWIAPNJKqVlY3P-1IfDkucIoj0MLzYLJujKwdn2Sm4a6c7_DD9o8JI0_Om641lvxbaEt1OvVPOkqqfWkfdOnFmR7V_CnqRHVcPySsTWgs1Ganu-l7GEhBqWBg3QBX7eGV075bZMEx7GhQyvaNK9wop31tJNrTNCSCo4YUzEA,252
El Spa,12.4666834,41.9073802,spa|beauty_salon|health,ChIJwxeRKl9gLxMRzbSYEChxQwc,4.6,CmRaAAAAmwaHke4YXLIqem89iJdjkta02LZqWe_q1iZAQc6dyLqzz1foXins1Lva-oOBxdfj9V3j2EkqmXW6uCBC0rZMHM_nFf6pJUvIY1mU3SMiWcEmR-Prg4P7YXhZwNdw5zN_EhAJwP3Xxw13fj9eWhoYMAirGhRBO335vddNKgZRyXX2FzXKHhvwUw,843
Tantra Massage Rome: Zen Spa,12.47977,41.92347,spa|health,ChIJyTOpZ-FgLxMRQ3UrIO_pPGQ,4.6,CmRaAAAA4IvxQCM9njMdyAbvMGANX6RA4EgMX9SuTYQG_06qud-PMdymFEaDUy2hY4nJP3-yMrD2F-VBrzeVlw3lCxJhIchE3w4XQO7Vk7MaJZye1uad6Cb-kR225GflBtOgOia3EhBGRuczKMEm8E-vCGoV62sSGhQeBCsxaG3CmIJrzx9v5xpbFsYXZw,1310
Prince Spa,12.4917931,41.9175372,spa|gym|health,ChIJ_ZdPORthLxMRRcSZtN1oFsc,4.6,CmRaAAAA2qBqvEiJbCwvb1L4Nmg4NHKMGP3sz-sNJwmqd9URi9s7fjDStsAbD8t3TrDEU3kPT_vZ4XB-0mzso1bkeMPpwm6RiNqrheXfLq4k2IWH6bxRBIVD5CDjWNgn97bf4lHAEhCfCkhFJqiEkw4IFhRrh9nrGhSWYzXoKC8i6vniR0BTHPg8hSveYA,740
Delia Benessere e Bellezza,12.4763331,41.8986726,spa,ChIJHcEF2VFgLxMRRSlwHeyjc0k,4.5,CmRaAAAABE1OI5bVD7SERUd-vBmXYtRm11GSy4vFPhIV3xTq8zH4tW_wxtk4g9SPfKO8nBzHMfpZYc45CCncT_vDCybdhf2tKWusuMcEk3jfTlNQ2Dbj9lmdxB_L2Ef1Jmr_UYLAEhA_c9jvWtWRjmO40ACBZ3kXGhS154bP-9y8-m5C-xfubhYSFOpKCQ,795
Italiana Costruzioni S.p.A.,12.5049184,41.9109998,general_contractor,ChIJwe4jXBlhLxMRyB-QeSwDUJo,4.4,,540
Trilussa Palace Hotel Congress & SPA,12.466419,41.880029,spa|health|lodging,ChIJRS-FViNgLxMRAXJrbj1Cpvo,4.4,CmRaAAAAdA-lObxKbUaoUjj17BIBUlBXHlVddk1Q8eeyLGNc3boM6LOeFIaPDoOgKH_R3gor7lncD5m7Pb-DSekvR-cq35nO--077ispxx8TN3eWKAgkc3UmF6Lw8QtvyrVSor9PEhATsT88GdBRUIXnvfx8yFxdGhQ0whcSEJbeRc5TWBV1k6eGRIPP3g,1134
