name,rating,photo_ref,place_types,y,x,id,transit_time
FEAMBRA,5.0,CmRaAAAA0XJy4yrupaNQJ-2T3HaGtMm34E8sbolKOvX7sV94AM_CW-dvkXuKclsiI7ynyMUcCGw8cLcJUVGQtTEtgHnswo2_YQu1UMSj_-jNitmXWSWvz5tTGgIMt_hkMy84KLxqEhBDr1_R-XmG96xN8U9zQ089GhTSrSFIXLeh3rRy57YrikjSrlbThw,museum,-46.6655126,-23.569285,ChIJg3BMHNpZzpQR9GCcxtgBp_o,2533
Open Museum of Urban Art of São Paulo - SP-MAAU,5.0,CmRaAAAAaLkNURG8ZmqU7H88osRTt6_22645hABp6pm99LMcJ3VaxH7Dv63z9miZAOKgOBVRTRiPfdNubmSgCWyc1nB0VBNNjKNAtSpvwGuAgzfQ5sJlblxKBgMPNalqZB96Y9gVEhA6H3G-qWCrV2xDi3AHL0kbGhTWaGzO_9Q86luwkkSWYw-P55z4RA,museum,-46.6252688,-23.5080609,ChIJVSRjXYJYzpQRkF9Y77qLRgY,980
Pinacoteca do Estado de São Paulo,4.8,CmRaAAAARCuwFPT2-eoqy5xLk_k5DP-0UwUiUECXYVRJ8OXGt3ipfZ4Wz33uYEMns3IHpef6in5reLQ-MpI7spacnT8Nq-Jp7Nmovfwlhg1ocdsroeumy00ZDFhbaIy4LNhRbYoTEhDCsnVmKV7NFb8dN67wn8hWGhTIVSYONdDS5-YSsKW6aJxP-MLU-g,museum,-46.6339501,-23.5342666,ChIJ52h-6FhYzpQRASMhc4Xaw9w,819
Football Museum,4.7,CmRaAAAA8TuqxssrsrDkVtlPCSp8smi5BaIAaU9wBCWx8f6ybJ9w876Ihr0Fm4pTMcMdD1vmRfM9l9QPi3yeU7PhWw2SrYrnl2F7Wogye1_zZfnSpfAEUq7P6cyMy4VOQLTF1g0CEhC9erAnE-gszPwUdirj5DcoGhQPOohFsJbwerQK_gW4j2P7FBBOfw,museum,-46.664917,-23.547537,ChIJf7Cs2iVYzpQRzp6ZfOjJ3s8,2185
Museu Catavento,4.7,CmRaAAAAx9CurTYXwM3gyd3bhASV7bRoQ_M_S8Bfce2xHFH655wBrYdR6gm9a_HhgP73kKNFC4SBn-zKTwsw5fUk8Fv2x-Eo0EEZI8F3kQB11OA5B4s_sAoAxEdgrOXv0JyJ58MaEhA7REDW4XyVZYGy9yXUUMQ7GhQsSpYMRzsgN_E42Aq0yxGwQpbHJg,museum,-46.627728,-23.5439053,ChIJq7WXZf5YzpQRguKUxFINMrU,1055
Museum Afro Brazil,4.7,CmRaAAAAfrUU_BnT6lGZBCyGeI45x5Fj4beqmBwsc9mr7QqmUWhxaQF1Jz0sO1fA2AcsTwQjoQjfD3eZf39gJIsZ8GB1VoD33xV8UKOInoE8JRQbqKLJXjr_ikpq-PyESk4kyOL5EhAnzb6WTyXv79HPw7iCitUXGhScw3zYGBfAdFG14nRfTzpIbc7HXQ,museum,-46.659196,-23.5838762,ChIJo2Ygwe9ZzpQRD-ge7J12tnk,1823
São Paulo Museum of Image and Sound,4.6,CmRaAAAAgH-I9tV3Y1GjTqMIDLXHtFz2YqJ0wU06GCQINCjIATAFNNRc12UIuEWW5gSlz4UUvCpw5uPOMcqcYfn_5An6VsVl9XHXUNYMlNDuh7wIa9ShD9yMbc64Q8_V0hbWaEMsEhBRcGItQAZ0WjmstpT3P76mGhR2oQHWAfOEuvSxMXG6IV6sHaYQEA,museum,-46.6761974,-23.5726505,ChIJLTwkvWRXzpQRzUZbAZ8JxxE,3170
Museum of Art of São Paulo Assis Chateaubriand,4.6,CmRaAAAA9LdQgA43RAeAqNPBl1dOvPfU-HNYUwhMSWBFJGOf4xs-LkFHHoEUI87faw7uLR18uUVk0jxraghtt-ayQf5Cdhm2WRiaSV3kvWCijY4ylDnFcdw-n9Y8CvlZopLAWC7pEhCGSh2PB331glp8OMNVDkUzGhQS4gidyN1CKMa26pLOhpTfA87X2g,museum,-46.6558819,-23.561414,ChIJH3frsc5ZzpQRoU10aab2BOk,1300
Sacred Art Museum of Sao Paulo,4.6,CmRaAAAAkFwL5pR1J7wvGhessz2aYU-QW3zhkUPKSVV4qlz-xz27K7fFrhMwPpXXbqIymH3zeBQLDLmWGvjV2uZukFDqF3LxsJD9XPE_aNgq5nxuoz-NbIjZBZCxM99y0emTRljTEhAMScD8iff6eBEAkCSggTi-GhQCT1uOv5HmDnmeIASegD3JnPkQFw,museum,-46.631339,-23.5303881,ChIJy-gCf_VYzpQRrSO2mDs1bdA,552
Memorial da Resistência de São Paulo,4.6,CmRaAAAAe8sysn7amKdjXIDHJQ52x1ye3JF6h5EWSMpTG2fzX67xInoboPjZMPLqCKFEVWqR0YQYJOoOlI1IByJzt2on9Zk47Oth8-UAnWk73QoILY-AC6SAma0nyZOiDK2umcYeEhAYoaBrRPROGdTwDgpIN_2XGhRxo-2KnWd0dlnvVhQ5RjC1qQii8A,museum,-46.6388109,-23.5348525,ChIJb4lEe1xYzpQR7N3f-AMFO_8,982
Museum of Contemporary Art,4.6,CmRaAAAAy8MlAnxpTlVryU7Ut2dKnjb6C0hMX0mserdqxyjv-3J9e8_m6E-fyksbYUE7xU80S0JmDBYObfon3AiHCa3WEWU3LFrOlVbufta_a0ds_2Vf-1ZXvEkp9xMpfLxGyck0EhCho2UOdNLdnod_TQ4UxdnEGhRUOybk_c8N4ATwZKWLbA0028ZocA,museum,-46.6509962,-23.5889906,ChIJ-UXtMotZzpQRGeDvgIuDEd0,1679
Immigration Museum of Sao Paulo State,4.5,CmRaAAAAQw2PQaMf7t3Tra9Z01ARahQ-QPABsbQo7DHWpEeFvGaQNtqw8ylew_LgOH7USCqrDsM5fd2iqzoQSZ8diJC8Hi3SjxGOmhfcXcJN1PMz-8euDO4asTpTdDSEgqwC9WcVEhBaXKBQR5PQp0qT_5gJ2uOiGhTHD3yJY-cCMne2rVGkIsVCnJDvEA,museum,-46.612694,-23.549695,ChIJ2ZVpPhhZzpQRxQhEy-d0Erg,1293
