name,rating,photo_ref,place_types,y,x,id,transit_time
Shopping Cosmopolitano,5.0,CmRaAAAAnRRgMzMVAwPHOKoVK0Ib2k5lay8-duDYHwUoHsGRGcQfpvhTh-opJUhbTClnqAzvrXIzflHOqp3JzD1vIK8XBWQ1EL-h9vlLCeCvGqH4IyTYg63LngQPgkeBsRBj3gvUEhAfLfVCYQwSKqYYNm4b8cZUGhQcNw7-f4qPp111TsSogSWL4gpcwQ,shopping_mall,-46.6143595,-23.5634767,ChIJdfWVRWpZzpQREjgw34PRo6A,1873
Shopping Eldorado,4.5,CmRaAAAAQ-MFUkrNZv7AZ6ANJIKsuZskh9ypfwMYhVJkB1L0xFuQUYhoisGhgYb6buhceEPWscBxhOjBKisthjF64KQCz71ENoW4lbSHLQa7BvlOU8X4M8tBWqKSBQAYs-mK5BLzEhCVpBmtLqz21TGgRcO992zeGhRfMJHtSNTq4OQc1eU8zKZyD8Z-bw,shopping_mall,-46.6956432,-23.5726578,ChIJG_LkcglXzpQRZl3_rZpGgfI,2229
Iguatemi São Paulo,4.5,CmRaAAAAKWFq7GmFPN2U0yJPv1Hkwr0411lzb_D_FOy8tL-uZJrM25-rWVSyy-Lw0eqtbj1SieaSN5s2yIIN3b_p2lVNz-659GRybp5foNXQFs40YVTWWsF6NR-YBub7yRo4_PW3EhAZX0gvJHbA8h-evoQaqk0vGhSOuQIOY85pycZx_VbRiQAhOiJwVw,shopping_mall,-46.6882359,-23.5771249,ChIJbc-9eG1XzpQRHUuWMFsJQSM,2383
Shopping Pátio Higienópolis,4.5,CmRaAAAAMHmj5kr3Xnbxombak91Wq97zc1gsjWMWQnJYWp4iEMHSeb7k_XxPUwGyO-fsLdtdVpoYY6x0nqABI0oTjrRq9IwL3-gnNe-28fT2cDqLUZxafuneVQqlS_nycaARK-LwEhAos14ynzlNJolQAUnBJRCFGhQVHIOvhSUevPnNKv-AcUHn8gVHEQ,shopping_mall,-46.657507,-23.542285,ChIJnTmhmztYzpQRn_wmS6AGrS4,2743
Shopping Pátio Paulista,4.3,CmRaAAAA1d2yADha6F5erGefNptZQxMbqFE3K0Yc-lhRVyxmKohKypx3-NU80EqEHbjr-WJMMYqcQyopgOgEmvaZyUV9Go7IAoJsDdsVr6TVuLffDvImK8USpWOoPKVJDL94t8HAEhA3tBzwqdi6FvMnkKo8rdvUGhSLbUzPG6Df8_QPBL8Dto1nGKvrMQ,shopping_mall,-46.6435223,-23.5704786,ChIJdYjXuo9XzpQRhbaEtLdLsCo,1105
Shopping Cidade São Paulo,4.3,CmRYAAAAtoySKVUGFKjwudaaw4llmES9EfVk1zIdZIdC2rPxZ33lLnUjNa7r8dVzeYJU30W3zArrQSsaIk1lSmH-xDDFTa9lT_vtVxilniZH0y8uesR6Fi3BcIPE-UdjDhQ7QCJcEhBfeRdwNN4Ard2ym0WKaD-jGhRsMoSjO7UjJFEOED6Wev9j2-PUhA,shopping_mall,-46.6526871,-23.5636042,ChIJbf1JiMhZzpQRarPl5lKGKmw,1207
Shopping Ibirapuera,4.2,CmRaAAAAG5AeWju_LYKg3zmkGNxwe7VNWCdNC6oAasckY5broO_cfknZwN6TsrKKG7-4hOqa-Mu5CV9_vZNlWl0sr8boEQlVkXz02TFZwSuAcX3XI6FuDLPGjfRE-XHEn_yDD7YvEhBrxKahPEr4xAXbk7yh8tRVGhQ3ox_3nTQGepGyckGdnH7pqt9x5g,shopping_mall,-46.6666181,-23.6103107,ChIJ04IdFglazpQRinICx3xqoO4,3261
Shop Tiers,4.2,CmRaAAAA9db_2KKtcJHoHdTakr0x3CjDnl_O1MHnjLk4Wm-0pnpPMJm4oj8QnBBr6tvOPyB4rjASSciZlkI4P_bpLRdfVCc8qsPTCnYxrYrtCJD2YmyndVSsNpYhSDAtWKa-bd5YEhACt-RFckOpZ0Dzpp5e3Ye_GhSRLUNkQBiMY5PaP2R8xB6__mQjvQ,shopping_mall,-46.6200917,-23.5316931,ChIJFXm2qO9YzpQRNwd99kQm-Yg,1707
Shopping Popular São Caetano,4.2,CmRaAAAAOMWj3cwxkR5tn1DZ8YAFIbo9Apmb3TCc0C0dQTRazAp9R1iuiBTIvdHIcm7t5kWnHnNxvmnBPaUuqFK5-F4_0yM4-DMYIGCFXCPy-BlKiuz1ROQ907Q68c4oBXPG1hiDEhBRLyqt-PUrSqHmbgurcII4GhQwsUm2_Em0UHsvh9I3YiaRMS4R3A,shopping_mall,-46.6241646,-23.5360203,ChIJlaQAjvpYzpQRIf0swdADaDM,1358
Shopping Lar Center,4.2,CmRaAAAAcIqSsmMibL6nXYNANTCknOkegn7EuWbJSXwpr2fVxEMGtspjJkmrMicROfK955okG5fciWJ-uzOpiUG67m4dLr-K7obVyIfdqoW832sdGzhUfkLkGjq3VopeBjP90rwuEhD6XBr9uThC3oqgPfmtvm0DGhS7Dn4t0cAcLsyhWPWiMQvtPM42IQ,shopping_mall,-46.6154224,-23.5145247,ChIJff9Ep5dYzpQRaeIyXPgf9gI,1927
