name,rating,photo_ref,place_types,y,x,id,transit_time
Anantara Spa,5.0,CmRaAAAAwRyO_S_2L4Y-UZEwzz8lbJsf05A7OwIFhlNuHka9hoHcTW7Iy-pmGggqy3lmTozkxMSlHh2LydwcWqeSttwvj3xGE2njTdmCpDAdqICbQ-br9jX-qy4x1VDStHNTiKmYEhDf94YkZrvEvZVoR9f2loonGhRlTDGeuRAaPIBvv7LBsF71zxm4Qg,spa,-46.6559825,-23.5640312,ChIJB3IvyshZzpQRqfD0Ic8Gefg,1407
The Spa at Renaissance Sao Paulo Hotel,5.0,,spa,-46.661911,-23.558491,ChIJW2wfydJZzpQR-6HD5wp6_Bo,1386
Clinic Spa & Hair,5.0,CmRaAAAAebuNzLUvLCoOcHNyi3wuJ3ApYynEXGzQNVh9A7C_qwYFquXpYFAO3YGFxtbEKuVvyJ1Qsk094RwM11wz2vuFNd90d91ksvRAKV8FHCjKa7DmmIlajIb1SfafuUtVexdJEhBz1sAmYXoNnX33_TOCOHS5GhRnN_f_ZPqzy3K740-TkYQhzEYcoA,spa,-46.643721,-23.5455047,ChIJRQpSW05YzpQRT8NPM77B8n8,810
Fit Body Pilates Spa & Aesthetics,5.0,CmRaAAAAGB7aIzIiplq0vINvHzwg3X7vz-beS0XjAkajC_tuAtEMf8JcWAXz2Ak4FU3IQ3D1CCPb0Cpf4oCeeFTiPQ-xLgvrGlq1uDigs4QzXyoiCKlPNFwBFpfz80fKNtdlPJfIEhAJnWUBI6KFT0nmnYFNy8nMGhSm3tZ2o0l9u35-EWSYgLJEaSzaxQ,spa|gym|health|beauty_salon|doctor,-46.6475254,-23.5855573,ChIJD9EZDYxZzpQRKjgdlTYJoQY,1527
Spa of Eyebrows,5.0,,spa,-46.6497001,-23.5680749,ChIJY2BYML9ZzpQRHDtjb19mzVk,1156
Thai Soul Boutique Spa,4.9,,spa,-46.6679007,-23.5451196,ChIJjYTdKyFYzpQRRQ9jygVlnuM,3151
Buddha Spa Itaim Bibi,4.8,CmRaAAAAauS1DzitH6QInp_HRkt0Cq2w-p2zjvq8rsXmv-f7QvUhjU1upq3kq4JOG7SETQaPgl1EEpL-c3tSY-1K32iJwLCjMLChxArxCAG7isTKG6LhtiRlgergHEUyhGNumEI0EhBkWcGoWX6PiKs1iUNe7enxGhS7SKyLVs8Ei4BX4UNff4Kw52dj5A,spa|health|lodging,-46.672658,-23.585037,ChIJAU1cK19XzpQR7BLN7GdHiJE,3031
Spa Longevity Sisley Paris,4.5,CmRaAAAAAWqfZVFt_fbbyUMXcmpovSeIqvImdLd7GJbhYc5K8xK4Y6ZvXFVZrA0czFy1IrJHnK4TIg1IFLuJipW6dRpvXYZS1olxFVeFfYaFGGHuFH3-gGuO-ph3PZskgv3jZneaEhDDBQ5KaTMu7cASfgoEv_sYGhRKy8NwTTf2lbJQYxqKGRccu49Iig,spa,-46.6601382,-23.5637327,ChIJNedZMM5ZzpQRQUNxh15IpIU,1680
Buddha Spa Higienópolis,4.4,CmRaAAAA9bNTWg4m3vFzf-gqjZgR5Afsp-nUNRoJDWuvTXNc7DnVTJD8Fv0ENQjVDqwtypac0P2HywO99makwoL66h5qrzRKTNPTKIvBrT6s8JBLvJ9NQJzdEexTsc6vRlZFbOg7EhCEBUcX3gKU-k_ZvOyEPMqHGhRYN3QmMnPRWwvq88enjHJJzRmPgA,spa,-46.664467,-23.543449,ChIJHd_RsSNYzpQReXgrWHDuoO4,2849
L'Occitane en Provence,4.1,,spa,-46.6681865,-23.562512,ChIJhwlsq9VZzpQRnXIxGyyNQJY,2002
