name,rating,photo_ref,place_types,y,x,id,transit_time
FEAMBRA,5.0,CmRaAAAAhi_oenXUiM4dvbNIh9cfW7I7wTxJZqGeyvQvs14hlMsWBgg29y1UZVT_OVM7jjA7Cr4FYTGNnwEvdEjSkP5k2BfLBz6licj8zSQ-b-JDWIEu-Ydfl-WoiuGYnwwKPjEFEhAHBAwRsoS2voC5cH6nkW98GhQUrvBXVKz2d06nZtYUAfZzmKf_wA,museum,-46.6655126,-23.569285,ChIJg3BMHNpZzpQR9GCcxtgBp_o,3240
Open Museum of Urban Art of São Paulo - SP-MAAU,5.0,CmRaAAAAHsCjkyl3qhYcvumxD7kjRQaTvy8GT3KGqsN4k0r70id2Xu_EzzovtG3BerZI0gFjrvhtqxNGDqWfx86WJtvcF20D1fdHdVVn8NxAzuPYB-8wY1aXHXJLtUyx8x0paErTEhAMIewowCjnRYe7H7cSAs3sGhSutyImet0Svvp8kbRptH4n-HMBMA,museum,-46.6252688,-23.5080609,ChIJVSRjXYJYzpQRkF9Y77qLRgY,1700
Pinacoteca do Estado de São Paulo,4.8,CmRaAAAA2bNbP7D9CFuHcPKiUcGaer1qPQNnNKBl33OAgJDYGgih8I_9m46yXmW7qQE3yCzbojG8GB4Nzd7rnvk-5acJ6wRiHYKJ7bjMLwuJtQLM2t3-ghJSevMXNnOz6B-B1G0GEhDBu2zSHib-ni0v-Sbr1i-HGhSQCZodMNDFxbsgpJogFEV5Aw_FjQ,museum,-46.6339501,-23.5342666,ChIJ52h-6FhYzpQRASMhc4Xaw9w,1539
Football Museum,4.7,CmRaAAAAXutNbzVo-L6WAfvU0dvLSkv4ZcF99tTA-GadjcVzGUt4aV_a-KA3_ZL99CMEpLmcxUX5VNiFzJ53mxiuXjl-92jxEXvFqBqYJbjUEx-YoDvXywgPj6HFfTzkFotB9ew-EhDwnqmiQMi2AofPj9svNxpVGhQw_2adCi08Ydp0NNf8PhpHIVRn4Q,museum,-46.664917,-23.547537,ChIJf7Cs2iVYzpQRzp6ZfOjJ3s8,2905
Museu Catavento,4.7,CmRaAAAAtAaDH4k5zdUEshPi5okWyNXU_kpH2-v4qV3ywiWml2KwsDsyEOrfme0e-0BITKqDGdRDIq8VTykK28t_vMLM20RgOtLwyGLclh1Tj9tngYq4Cn4HWAP38ueXcVh4_svlEhDQNSB4XcgdcexFH96iYOGFGhSEISR0Uq4bfhQgXVeEkuyGjqGGzA,museum,-46.627728,-23.5439053,ChIJq7WXZf5YzpQRguKUxFINMrU,1079
Museum Afro Brazil,4.7,CmRaAAAADV7nWlGlJS6-saKAFgt_QNXUBo0RV59fgK8zMzFpGDfb-UlsCqeich9zDyOdAk3fNawxqpoOTP-koo-TSY1B6JgoQ5fc8mAuTUl4-C-HTKiA7AoxJsEywrfFmPy5VyPLEhAN8-CM80p4xxjxGTCwh9x5GhQGVH1aE_jVDPChVv6keaLB0uGRiA,museum,-46.659196,-23.5838762,ChIJo2Ygwe9ZzpQRD-ge7J12tnk,2183
São Paulo Museum of Image and Sound,4.6,CmRaAAAAirL_sFTKWnz2DVaFX3PyfWc7P8o9KS7wGJd4AJLwC41f7Y928FLhFImNurqjh7IHV4CVf1OlWmFs9ZF1G1BTiV3rZ6sgvhPSODpZhFmTfUE5YeMKtQwXPaSJpJU3C71bEhBeCnfxFQKFp96zsYJqoyxOGhTgP9xMLZbsHGEKJnDHjD6crhVYlw,museum,-46.6761974,-23.5726505,ChIJLTwkvWRXzpQRzUZbAZ8JxxE,3170
Museum of Art of São Paulo Assis Chateaubriand,4.6,CmRaAAAA9odPoLJKGVZfQaOnZRmXwTT3DrDAlIBjHsuFWGiz9tYw-JapUwHNUgc-Um9uRUxxKYzF4EmKGC9Xc9KH2zMIw3x3rp5Lpi7D_80vb0gd9apaWnnCw5tuevkxSElmJh0iEhDcmKNX56qyza7x05jROsw2GhQ1OD3C9exJI47H5VHmgVhfWInd7g,museum,-46.6558819,-23.561414,ChIJH3frsc5ZzpQRoU10aab2BOk,2740
Sacred Art Museum of Sao Paulo,4.6,CmRaAAAArIYR9XJJb1KiDSW5A7im-NdkWyNyp6GFPgv7su05DHaF3WAe1hw_VrKj1fLd5gUAjeBnsVAiHEUvEB_kPSe7v2RMwXpnqifN616JICTznJyuPZ0f5IoZARDDRytlQ-GoEhDmbfy9Qiab90E7YCj71NffGhTchghOAN97UW06Xugyjfp132IuvA,museum,-46.631339,-23.5303881,ChIJy-gCf_VYzpQRrSO2mDs1bdA,1272
Memorial da Resistência de São Paulo,4.6,CmRaAAAAoRGPldKcS28-uxL6YPCDdaw4vkCoaWrWEJKJA2dwA1NkaoSqdo2PACwhqCKjWLdzBvgTwJb5L9dTRsADqt619SDXAOjBxLkqlYDi9FQdNnE82S7fsZ0rhcYCRzknvq-qEhDfT-9kWbMmRyyx-XDZ2FmXGhRaL9mOqiPa44-D0NeTQhr8iYNK-w,museum,-46.6388109,-23.5348525,ChIJb4lEe1xYzpQR7N3f-AMFO_8,1702
