name,rating,photo_ref,place_types,y,x,id,transit_time
Shopping Cosmopolitano,5.0,CmRaAAAALHUQjwf2DH-pV3hpG6HmNOqhcVlpvKNBimANSaW5y3kJeH4FHzXzGhyXymRVrc6betDLfcobs1ONQ56CKpqwV646lTNWQFb372oYZWAiP4aBglUioGFT3h2ZtTgWIqGVEhCiyouajjd_AQwav4L4bq_MGhSVqwxqnz1D35vV0e1y3mQBGNlzng,shopping_mall,-46.6143595,-23.5634767,ChIJdfWVRWpZzpQREjgw34PRo6A,2860
Shopping Eldorado,4.5,CmRaAAAAbHhzNCmgJMp-6DJXbP-SrBfCZVSidBSghUsWdV3sjKD1g6KH_eHAWnugRQBrLDLOZvAaoG42cGeAy4hM6TgWnpdB6sXKP059P5KAKfE9rB1nPEL5zKt5oPnrPUK1P493EhBWC2ZPYLyWKpYi7LPDYC6IGhRE6yMh0Q5Thlr4SMCOxuB7d7vlCQ,shopping_mall,-46.6956432,-23.5726578,ChIJG_LkcglXzpQRZl3_rZpGgfI,2949
Iguatemi São Paulo,4.5,CmRaAAAAa58Q5zhXu_12Q2ZDAIv8NYOq0zZXjWbLr2lzs7CI309Kg77_-4VlGZEVfWIgmmp2mVSKQleHA85LhCUYtDGttxqAxquBFcm9t7EpGO-S5TLJLihrCY1t4E1Ae2kqTP9VEhBTRkJz4cbdz_o6aX4IMJO4GhT02BmptD4ARFM0m-Z1yGD5FOkZBA,shopping_mall,-46.6882359,-23.5771249,ChIJbc-9eG1XzpQRHUuWMFsJQSM,3711
Shopping Pátio Higienópolis,4.5,CmRaAAAAA3ZhoVfbA28uxKOBCpkmNPe13EcyiXnJdjixU5vujUQXzPjZeryU8E8oB89XBX7dLxgPq-b0DD_lrzbX1HMsYmrzys3fnVKybHPdVnmcGfzxLkCkrwH9Ln4jUUN2LfOYEhBDWrgQ7j2p0pTKnFjYFJPVGhR15KW1NqGoWsiQ0_wrd23WISNSOg,shopping_mall,-46.657507,-23.542285,ChIJnTmhmztYzpQRn_wmS6AGrS4,2901
Shopping Pátio Paulista,4.3,CmRaAAAAY_me9SjW6D296P3UNw4CHy6favGwuFQ4Ixweq8YfQscZB9nbsy9p3Epd2FUf5GIz5knioynvwbEyWZaaSNKBLUsmIMlm4NhZgA4MSuM6x13_p13QT9lo0KTAsz2D8zCjEhDxONPuE7dbL79k_r74OB5NGhQ_sA6uX1loBBGc4zBnu_GB5gAj9Q,shopping_mall,-46.6435223,-23.5704786,ChIJdYjXuo9XzpQRhbaEtLdLsCo,1825
Shopping Cidade São Paulo,4.3,CmRYAAAAV0vvkXCwueRVNUduo5D7422TX9FjC37R7x68FQ15hICrKxXKWRiSAMpxfU_lr76SVauj2DKW8yGN7QeVW00T6hp2Wm8MTHooJyRblw5tRwHVnkQ7zSApKdXExBkQPwPYEhDZrDjGpjnxVVikj8dk14grGhTk3vfOXy9FNxBJJeGyDoddq80Apw,shopping_mall,-46.6526871,-23.5636042,ChIJbf1JiMhZzpQRarPl5lKGKmw,2647
Shopping Ibirapuera,4.2,CmRaAAAA-KmNFLFvjv3V2_3uNt0p3qRIRVyYndFf6uNCVP_z7T77i16ST88Tk3mkCM_o87CzkEwMUZDvMKjiS8jqGiBf6UVsAXTB7EPwNe3oTe8jh54N6r2zaBgLwiKjHsEJC2bxEhBpgiGExpzBJnePenvNjzNxGhRmTWjhzrcnYMbBUabKChzg5j__zg,shopping_mall,-46.6666181,-23.6103107,ChIJ04IdFglazpQRinICx3xqoO4,3135
Shop Tiers,4.2,CmRaAAAAkUZoHPBzphORC5xf2vzH6lDgHH9ug5u3yGzHtH99DJXFiw5tE_UKKlc_P2paVQ1EfLy4o3cz3ZWk5wGfnyZHz9lJaHGxbVJwiC522Yrn3hIWARXqSqfEk1DjWFGH88u6EhAL7WVgaHFsk0iyW0QHs4rFGhSiu7nBVxS0eLTvhUgTAN_3xNqsWg,shopping_mall,-46.6200917,-23.5316931,ChIJFXm2qO9YzpQRNwd99kQm-Yg,2427
Shopping Popular São Caetano,4.2,CmRaAAAAyiotKGx9OPJLPXlHIsq_PQvxLOFpHXpHJsDht7a2nXWwuDxVI_iy1DY-lBMauFoBRG-OKBc50gIe_eOXk9uO1z4MiQVfusTo-dyY1IjZUucxoRmjQTWaPpeQEVIjSoNvEhDQlmnryHMJnqWZ_ybKX8QhGhRM2kDM1mqqhnE3gCbbZAMmqyv_7A,shopping_mall,-46.6241646,-23.5360203,ChIJlaQAjvpYzpQRIf0swdADaDM,2078
Shopping Lar Center,4.2,CmRaAAAAGX032J0OyPbZkDTRUbKkziNNQ3WD1OwFJPWLvahkfnt_hQ_3hMzNMISzVS_p7-49YbpVrvFl9t0oqAtgoPIBby50m1mSrImcs8kQVmHKszup-a5QpN__2OGJ3zaLRchFEhC0jh-ljHit6nvzWmNi74gMGhSX6s-dMBb0Cg7eR-MHp_i0tUDR7g,shopping_mall,-46.6154224,-23.5145247,ChIJff9Ep5dYzpQRaeIyXPgf9gI,2647
Shopping Vautier,4.1,CmRaAAAAOfvxrXrydcIi9wT6EpsDbplP4c0wG70xQT-QKF7XakxLo8WX-9cv109_rCypctm8tM4ciZFkt4OmeytePbMNhgLnwFU45mLziZQke0vsbCtegd3TXzfMLj_r9gRuvOWJEhDeQ8_R9tS_9CpHj96C7-TUGhRdpfF91aJ9rwweYhnBIgTIqgf7Rw,shopping_mall,-46.6214275,-23.5333924,ChIJXwf4jO9YzpQRlPClChYyVNU,2254
Sogo Plaza Shopping,4.1,CmRaAAAAMndV8URAnPjcXul2VhKJ7YKrbSUj9WJE6O4wJ1oMyeOnhdXdVCeVwgzLQneusAOpQNZmf2cObBoM7zGqa7c42rsPSHztyU1OdJx8plAHhar89CHKZ39TJvXB4-CUhvTXEhA0Fh6wx_S8JVHsrLhlKaRpGhTafnD6xENrXom3Ar5QeiPldDb0ww,shopping_mall,-46.6353058,-23.5559318,ChIJvVCD2KhZzpQRCXsWZH6GTKc,603
Shopping D,4.1,CmRaAAAAwk32qbPwtcwM3-aAg0FhWoxTSHBvwsxIWstuL48Uu7-489cI4q1HsaoyZ0ssXFUzYkSN_l8iHVOCts03unb66LXHNQH7pfAZLq1OMQhHiXGJJ7yraIBXFTsV2GiTAOuGEhB-9JREIoiXiDphmSf88ZQ0GhSn_ZNqJ3Qqwn8Db0Z0Zp3AR_wL5Q,shopping_mall,-46.6238812,-23.5216138,ChIJjQlW1o1YzpQRAcfJQs6WEY0,2343
Shopping Da Juta,4.0,CmRaAAAA-2v3Q-IdIA1j6sGWf5lZfqIqHUvtvvXHa_Qcb58tY8vKLKel2GKM7XyQi4CksLCTsCbTwfIKYgpTMGo6meMgEt0jtvTb0e8WBC38jC0g0_VKQqCks69pZioLoy4pfaXdEhDeKGzARkAIKjfd9B7-OxZuGhSa1iEl790PX93EDZ1sC_k7SKTfxA,shopping_mall,-46.6197478,-23.5395611,ChIJw7zyo-NYzpQR_lp8ebNwFEQ,1879
Shopping Center 3,4.0,CmRaAAAAeVCNEL_T2lP_Qr1l8xANiRa4QIxR4l9PT5KO1lpXfB5R5TIEL1WhMa8fun6GeS5f5Rh_CZSqKdnH4DlND-hRYc1Y52en8abt4OqRm-ZElkvRsr9z1p6uQ-AoPaaJy-bFEhCqevbq_UkceebKIRmQDCB1GhR4ELy-NLHDml8u8pqoAf08OHOgNA,shopping_mall,-46.6595115,-23.5583402,ChIJVcOhFM1ZzpQRhMEvu5q_I9U,2355
All Brás,4.0,CmRaAAAAcWNuZrA3keYK2ILT3C1tV8icQm4jXfZuSKndMuLbRoXBg8AsOP02lu08idcBJxkNvFH7znJ-NRiFU871craE6dZt8OxWQDh96MhGjulCGaUjOf5dL-a5BHu_O7uAqRQgEhAaSvXEInbFvVc93LehiC8sGhSZ7jTkXJJDEsynUDyBhjdwU8sNcA,shopping_mall,-46.6193061,-23.5378707,ChIJx0xeeuRYzpQRSe7HVJI1ofQ,1992
Shopping Light,3.8,CmRaAAAAtnsV9vi5fAytD2WwtDnVU6r-NM2QwgUcURNYZogpsi23QsEmXbTLnuZqgshIZvo2hOcwlaJY2NLGPebgReUtWiEOWKIx5a9hrfM2afWIMCHYfMiabN5n2OfWin8MUDSuEhCFiAKQFflKEXt7Kx6EA9IzGhQ-ix_2cao9bpAZVrZ9TRfk_jB40w,shopping_mall,-46.6386473,-23.5466728,ChIJn0Obs1NYzpQR60tacQW_S24,704
Shopping VM Vila Mariana,3.8,CmRaAAAATZ2lEKZlXOGqBMNWTf25PgWSiramN6-tWR415OEV80JKhqTCeJ8Fe1uWwCYcJsfx5cbyKv67Xc1ySnjPYmS6Gg24cT8XCo77WRQm8pjFETuQ2MuMArUxYxf_pW-OR7jSEhA1k6aJ0DdyRcxG8_ZXdIJTGhSJDcxX9rrUgISoiTPWUZi4MaBXTg,shopping_mall,-46.6436947,-23.5817857,ChIJNfUeso9ZzpQRmYVc9zX9yQ8,1981
Náutica Tattoo,3.7,CmRaAAAAaw_o7nywOiBLyUYEMR7mzAdZl3MvhFIGsL7HcYrRwPnToz3ZL237dvjd_cLT9yvYLzK65nNjFuVBWiFq2R4x2NcfcgMPCDwH7zGcAwxwtmA7w8CyymJGLF3VdGXJ8a2YEhD0qzWKcPHxjN19w-RxrZqVGhQzbiHHcZWpj3mGwMuZEHo69VNHew,shopping_mall|store,-46.5763111,-23.5415838,ChIJEyqeK8JezpQRt0EJ2gx9s5A,2423
GUESS,3.0,,shopping_mall|clothing_store|store,-46.617551,-23.5152566,ChIJa9YDNJdYzpQRSGG92dV2EBg,2500
