name,rating,photo_ref,place_types,y,x,id,transit_time
Anantara Spa,5.0,CmRaAAAAhfJvFSU4U7eRzNH1tX47S0Bze-_U3VC6zgE4yrLVv6IOxRxi4pPUBA6IPAVpvTjoXYWXxFfA17PCSYRT7-xs0egZ5y7MS3iWZQ0Q8hmlDeRk9MvnfWDwJ46TorcB0nZVEhBlkZLRTBXHWLrkB1mzfAXJGhTpxRZ5CQc9_5YPOVwaJa3FRqaJOA,spa,-46.6559825,-23.5640312,ChIJB3IvyshZzpQRqfD0Ic8Gefg,2847
The Spa at Renaissance Sao Paulo Hotel,5.0,,spa,-46.661911,-23.558491,ChIJW2wfydJZzpQR-6HD5wp6_Bo,2322
Clinic Spa & Hair,5.0,CmRaAAAAldozWlQv7RR3uMwdleij2kmUK_DUNxXdXQ3xzxcb8XwXdQUwqCn4z3qPMfxi2LBUOmLDXwhX9_pi5fZQwAj-Uzk818hZaoFXhZSRlpa81dRMCyrtjFrSm-2gjJbSAczqEhB_AoJxGcaRv4Axi2CGuWMmGhSYmeqTNOvf9X37NfTVvJfmSwjkRw,spa,-46.643721,-23.5455047,ChIJRQpSW05YzpQRT8NPM77B8n8,1770
Fit Body Pilates Spa & Aesthetics,5.0,CmRaAAAAH-eo8Y0cucar974fLKqm67EWhUi9pgAHtefjnhaFj_JSobHf7TnslF3hmLA5_O6Q2RA1sgpueL1SGjHQIWdQfI4q5lnaChkrtEhYrACMl4UWFW8b_TT6HSAtWmGFn2heEhCxwllhTOPA5UKtdePXGSMRGhRxY_MsfIGAAtEKcUzJe8l0FY1u2Q,spa|gym|health|beauty_salon|doctor,-46.6475254,-23.5855573,ChIJD9EZDYxZzpQRKjgdlTYJoQY,2247
Spa of Eyebrows,5.0,,spa,-46.6497001,-23.5680749,ChIJY2BYML9ZzpQRHDtjb19mzVk,2194
Thai Soul Boutique Spa,4.9,,spa,-46.6679007,-23.5451196,ChIJjYTdKyFYzpQRRQ9jygVlnuM,3256
Buddha Spa Itaim Bibi,4.8,CmRaAAAAPVJw0BRDO7NeKylsWQk4GWJWgO-gEGcFWGmwv-JY7WYgsIsPMXa5d2c8_EbuHznbTzX7oEgQuZj5O__qOVRV8y1ZLBqyucDYSGmuLBN9EFAFLYr79vY8KXoY-_YDa1BFEhDLh__NnXvz86C56kCrf4IXGhQyyuITK89CDCFsn36x3KxJDtul6w,spa|health|lodging,-46.672658,-23.585037,ChIJAU1cK19XzpQR7BLN7GdHiJE,3607
Spa Longevity Sisley Paris,4.5,CmRaAAAAMG1B0pEnM3v3PBsdXATgLnNYA3zK11_QUNXrt9bjMl83FVAIqI6ja_erECMdCiWxaFUtrnlAIEu9G45TiEATFRUNlasIuBWQecQ4QGtzPIkO8xbZCibt_OP9O-s_5o74EhAaHuk99a2D4nrqAcmHqAGzGhSXo3fumBGisR8LtX49PnpxLk2P-A,spa,-46.6601382,-23.5637327,ChIJNedZMM5ZzpQRQUNxh15IpIU,3120
Buddha Spa Higienópolis,4.4,CmRaAAAAz7_GfGxH7Gka9o0Ntl6i27Oyk2RGlpRQ6JiKOJLDf_X1O5MKSMFE01rDlNxboW95U4nZtLhh3XVmSDOyPKRT4anpQu5hgXxkIZaUGvlirOp7rMS6xcoQubFGHqUAk1LnEhA9MTjlmLIqWoUbgn0LD3PvGhSeKYKJ1mRTCA8jiCccNg0BfFeunQ,spa,-46.664467,-23.543449,ChIJHd_RsSNYzpQReXgrWHDuoO4,3331
L'Occitane en Provence,4.1,,spa,-46.6681865,-23.562512,ChIJhwlsq9VZzpQRnXIxGyyNQJY,2701
Buddha Spa Ibirapuera,4.0,CmRaAAAAS6TxJNmI9QV60zvpidOKhxgbqMsj9cLKBcmiA672UKYC6rrBtsyDe6FcY13IrdZpV7hoPtKh6qF0M9KNgHhL5mnWSwrfcO_EZYQgzTDVbsk8hVFQRsxNztkUVu4YEt12EhDlWQPXQ0tLM9oqHEL_ftVPGhRaPB2fw2aE2qzVqouKZ6e1qL13EA,spa|health|lodging,-46.6624121,-23.5802164,ChIJx8xqQeZZzpQRB3AUgWIXQ6I,2316
Spa das Sobrancelhas Republica Centro 1,4.0,,spa,-46.6395358,-23.5446565,ChIJ8-92m1FYzpQRrfC463xrMp8,844
Spa PHYTOS,4.0,CmRaAAAAikr9PwtdFIjyPyBXF6Rp2xWfWq0ClPbyIGQWmPJgSz-6aMsKgrN0N_58tahmu6UUB6DtwQnHfVwn_ZyrzaBSVJXVvGqgowYQqN9b325psKsaABYMBSYAssEPZWiDaoEBEhBf9gbimskqQApflg9lprpXGhQGGzEp0DErxShLxo_C-spdY32KQA,spa,-46.632692,-23.571278,ChIJr0554p1ZzpQRQ_Xh9jJvWDk,2016
SPA Harumi,3.0,CmRaAAAAKLtjXNs-a5jKUbInQQQuzplo1l99BD6wjqV3_BM2SgkyyLlAOMfdq0KN7eVHJhgWl0p_eLjfEdfElw52gR4kTFBuFhfygV2lrIWRFrEEPJ33JxKFLGWFSehXWVg4JPO9EhD6Fl9EugFceuAg9r7WMKN8GhTnE_yhaS3D6gHIMryrF4wg__ytrQ,spa|health|lodging,-46.6467213,-23.5749156,ChIJsccoIpRZzpQRpoSDcWPeXMA,2008
Cattel Spa,3.0,CmRaAAAAPLw8mcugwlqTwa3pQZDA9psVwSuM0oTqpPggQAfPl_AS9tGe5HQaRfxK8xXXCx-sGJhIazlE010VoJAP1QE_zmCyAnitkN9rbCQB43M72nGHOmC3Rf3g_FL12iPXV3wVEhB85ihpGrW3-J2rBMr9H0iOGhSqYNK3T_XblFe-eiZS3KafLmk0IQ,spa|health|lodging,-46.6614573,-23.5734747,ChIJbbR_ztxZzpQRtH-pq5fv3Fg,2596
Spa & Wellness Center,2.5,,spa,-46.6109835,-23.551177,ChIJmzwoGz1ZzpQRexQIjTPsCOI,2326
Spa,2.5,,spa,-46.6451928,-23.5485199,ChIJW7X_akxYzpQRBxVOAUR36Yc,2080
Aura Spa Urbano,2.5,CmRaAAAASyqDZ2Er4DhzAUZnNqJc4gdNbmLyao4ZuoKXOrX84o8Vknjd_XFlyJFhrYldyvQ3s_AfjfezkDHh5myBPhSVEPgztqK547rZdIKkHkekKa8qFTlAD75PW0klvv5lmFwaEhAkF8yuiMn5tus7fed8ravIGhRQ3GAKpj8NtVpI4Ov_ox9Z9drfsw,spa,-46.6429207,-23.5464362,ChIJP6y9zRxYzpQRY8FbHKWvhVk,1901
Mantra Estética & Spa Urbano,2.5,CmRaAAAAojGYrdwhmVV8hk0hHIvNd2YCN9RCMlrVi7MrI7lhkOdaxXd8ROR810qpQRwOtIsVtk2dEI8JzutbMXBfv3BMLWdP507ex2Ik3lKN5XLe9E4imVMWrWP2Bky9RmZ98aVYEhDh3Qw-1z_U1gabCaqGCfDMGhT7g3OaFf66oPFHahWB9exZEWr6MQ,spa,-46.5971481,-23.5679779,ChIJnw0Q7VNZzpQRlD7yKOa7UWY,3305
spa vip massage brasil,2.5,,spa,-46.6512626,-23.5559005,ChIJW_ePgspZzpQR1hDlLxGWZl8,2658
