name,rating,photo_ref,place_types,y,x,id,transit_time
Derzhavin Estate Museum,5.0,CmRaAAAAnjhL5pO2WnETs5np5ROa45voDmVVyYdoEWIGlLXAwO0saNGOHEHirZ-vtKpc0Et8eXmETNCHy4KVpIyLl_xYSVr9QR6LMtj9N94MmtO0haXBoXEbsG-ieMB4hTJWwyGnEhDwar12eqSYhiNrRijQ6WfNGhRcgXbw8hEOPDw4_2cOxRyBsvZQmw,museum,30.310242,59.919264,ChIJnWkGN_kwlkYRMPHkC7LGepU,859
State Hermitage Museum,4.8,CmRaAAAAsbJdzBUh4tk_EVYjsLIwxripYGZtslCLAnULnP4-pBlZux0vS7rXS9SG4B-7j4R2-zs_IihTDiBIt8nx7kfwLWFDORY3RMajoIcn5KQgfu1oQsQsCTtrUnbASRak-bpGEhDC6lqu-TwnwHI4YjKEVqhDGhRwCQoArh-qPnGmACE7ag_zKSnSQg,museum,30.3145597,59.9398317,ChIJ6eLLMgsxlkYR_F1QoCoDTgc,1061
State Museum of Political History of Russia,4.8,CmRaAAAA8rfLNqBgjHbBaBCm1vnzoZObXvaJ5wQ59wwgrOucsy9_nqi10Exs4kuL6ABt_lCCLCq5FQgbVeZIkzymF-kFhgOhdp2RoWlDI9WlUCB_cqB5WJsg-qZGJiTSCJFIY0CKEhDbcRK60sZTaNcBclSPeo48GhSCPnMwPcWXx6zOAbTcaJzs2EIOFA,museum,30.3247136,59.9545898,ChIJPXR4N2kxlkYRT3TxjlEvW0E,561
Russian Museum,4.8,CmRaAAAA_3e9mdEKFd2PD4Ixw1ctP1Svye3XosDy9dkMs_5SAAnnLtIt9omQyDitQsOqQdM3Lzanm6cLEbNeOBu0qslVDBGkuOXN_ck3BtidIHfCncUWwh90tOqZEsOefNm5573VEhAsJTGHTeEdZirAwNKIwrU3GhSdWFiHXEFPRFbsDCLTIdh2lxX-mw,museum,30.3322212,59.9385918,ChIJhWsRwA4xlkYRVVQ7duuOte0,514
Anna Akhmatova Museum at the Fountain House,4.7,CmRaAAAAPje1JTHZVfe6Zq6kBC_8x8-WI6sDJprhQFgprvSBIe7t5DB5NWgstzYBmr4mnR3zxjuQW5ZmK0-6yZyGapF8gpqCWlijvIxfjUihEyeatDGw_K-_pksosIdst4_RX_QEEhBxbS5YPO7PgHP_pf7UrVFoGhSTaPqr03fx_J3q353WSzePJteZIQ,museum,30.346936,59.935875,ChIJo2KkraAxlkYRqfGevkyKvJw,609
Dostoevsky Museum,4.7,CmRaAAAAc88pvon8SMqcnFu_KEcF4WxC_k0W3EZVBmsycePZSqBqB_AxseKrenlk4ctjeBSpdYt63ELk-r7n5qoGISYvPh__qK44HKA8ZMd3-QHcUnN0RIUr7yQ-Tyj9mdN5gUm5EhB0LoInGxYammQWsKUscGlqGhShEDKYNXG_03b6kwfX0Imfk320KA,museum,30.350661,59.92738,ChIJyQ_eoq8xlkYRh5Rlj1T8lhU,882
Faberge Museum,4.7,CmRaAAAApcAln6YCvTEIFtJ35L1N-ImJAsy2Z9N99t8AYu2PY3fe6AHP1uFriXTrMAqCLJ4ELLKSFkHDlcW3tAOw-dohlHObUkqtr6l0R5slVK6uey4_Li27EiKSPrjtsQU7t-WDEhDZ6VIJ-E8KQfOsAwNq-qk7GhSFhecHfXkB5JURuYfqSBWluBXoEg,museum,30.3428812,59.9347205,ChIJry9qcqcxlkYRNfP1_NTbOX0,450
"Tykistön, pioneeri- ja viestijoukkojen sotahistoriallinen museo",4.7,CmRaAAAA4Lx8Dum8dJxhnE_6zqH-6mCjvum7W0i5vpMrHZCE02Otn3vfKEe8-iJTufYxbeldKeGBj5MaGyKRDzwQDwpp5RQL7cAZ6YwORaHii1Hrr0ACr_YVFUUxkm9ZOaYLJ6bcEhCfCEEU-r3_3PxDoqrmriwFGhQiTpmHlJOmr684Ww6iXb0nVtQsBQ,museum,30.3137684,59.954076,ChIJKU15LUAxlkYRrErlIUAwd1k,999
Museum of Applied Arts - School of Art and Design after A.L. Stieglitz,4.7,CmRaAAAAPNOVhjaRllF_I_ombHm0dk-facDdTE-VUxqYM69RtpvkS6OxULm-0r2mDLxsZ7MaJ9ptQXdbwcct93zBvYvc2UB9ALD-ETBHs5tJxE86ixCILfbhfZ1SV3YdqbYVwAx_EhDY9spHClvCfZFebcJCaqb7GhTp52kWdBb3Q6KC5lGi9bCQggBPPA,museum,30.3405309,59.942946,ChIJn2d4RAsxlkYRXOvgza3wyaY,695
Rimsky-Korsakov Apartment and Museum,4.7,CmRaAAAAjs_bZwGJLg5qlEX9KpSX2kzvTRj8HlaXIt7Aw_rGPHvEW4zFXtzrXrkDP_DrMn6gPIshEGsNW4Inns6LMr1zEGA9ALro4YtYiqa2_nS1pSx4aWg6tv8oi2295t8e5FCvEhBUWeBFr8QG--k-EXsTpT6YGhQ-h9eDnKM4vFgXLb98odAcPTqfPw,museum,30.3409419,59.924587,ChIJxXY0JasxlkYRaiKX0nDLLdA,1020
