name,rating,photo_ref,place_types,y,x,id,transit_time
Nevsky Centre,4.4,CmRaAAAAwHLBmbt1MBl5aNWDHQR9bw0M5m7xFewNIlApBAwg49pnBN7naCSunz6tIRhkPoX2nwmARbQSA9S4YZr3UQ0jekyrCmgEZwRdDgS-MAKAxN5ZiEw-QSst5aNyIXG-YAQKEhASW4vBGsv3gMYD77AVzVjMGhRW6Pn5k58EkxFlpEHEwRxe8A_VGQ,shopping_mall,30.3591928,59.9320224,ChIJgQAUuaQxlkYRfWfoaT8cuKI,1093
The department store brand clothes Au Pont Rouge,4.4,CmRaAAAAq-43kJ5-0XWabykjsIdZQAQmbUKU2giCX5tassRCViXmYwlStaZyXu-91dW7XiN3YBhAR2-MXlTtEBemvWrOccFPNhITt5d7GbG9d2_p9MYDDT7B9w-UiBBhRi3gDWm1EhCCqzPynt1b07EhVthaGogeGhRJFiJMjCttlKWKv7mxhJqTBMV42Q,shopping_mall|clothing_store|store,30.314369,59.933222,ChIJuysPuAQxlkYRoe8qvpZ8hN0,861
Passage,4.2,CmRaAAAA0VAbfI8Js0MYtMuIdlVxZHVCrIIkLFQXvua7MyuSZeslEhXwLahXivX92VsGYpMp25kY5W2CJh9yiBjHYiCWTY1QshU6l_z1JgHAMnn3-14VZYOQLGsP98ngXuAm0iT2EhDsZuTRFnCzO2JE0jj1ABxUGhSu0pRDo5Ps8oBHiFnv6qywSERRyA,shopping_mall,30.3342431,59.9352838,ChIJF8isWAgxlkYRRz_4SWhqQAM,70
H&M,4.1,CmRaAAAAg2IZ4BKJWBEtVj4XxTnUpaSqrd7YMWV6FvWNvLYEzbPhzznmoG03BPrvnqOE3Y7MWIVus3TaZ6SuOPzRlbvyAIjYGELSSzjE9O0EHXvdL4L888giVdScXNEQ1qCXEDpMEhDesNgMyXdBxOXRq-6XL7yQGhRamMhtUP5CEx7ZaV98tg6IaBO9AQ,clothing_store|store,30.3592324,59.9325427,ChIJb_7yvaQxlkYRfC-rFKih6dE,673
Marks & Spencer,3.7,CmRaAAAAhdR65JPtYeEWrenZ3x_5qoRqh6bwPzoQrDtP278vHT074asTpZ9ndeB4fruH1W0h-_4vUzSa0ZSteCgdB_v2jW3EFXw6T8fZHqIu7WnvHnlLCG3W3gW9-zJJiYvfboNsEhCP5FQioLgW-ycSZUm2auDvGhRE5YWq-lf4a3XR9ZLGAnULC6R3Yg,clothing_store|store,30.3609609,59.9285754,ChIJvUKh6boxlkYRscuPuCkLzbs,773
Bally,2.5,,clothing_store|shoe_store|store,30.3334558,59.9361636,ChIJWQdE4ggxlkYRYuKlVCt2WZk,260
H&N,2.5,,clothing_store|store,30.3586482,59.8768236,ChIJZb6tJh0wlkYRJ4oBhT3XagU,3221
Karen Millen,2.5,CmRaAAAApVsNOKfLN2tDyZ_6-CVqNkyUhM171KgdvtBVrATl5j2c59So4_da794sqk2zxgUvRRnfWMgSjlz5VQR2zAVezeV1Ela-QgXhgMIE4e73dO2xOidsl4ywwZF0XUEN9_CAEhArONlwXltUgZrRZ8iciONpGhS8MkdtdIIHe8ZGweEvL40zQyWpMg,clothing_store|store,30.3648702,59.9373731,ChIJJ_qdlboxlkYRb4TlbhXOAKY,854
Monnalisa Shop,2.5,,clothing_store|store,30.3332099,59.9357556,ChIJSzd0iwgxlkYRC9allJGvt7w,260
Oasis,2.5,,clothing_store|store,30.247643,59.859138,ChIJ25e7kPY6lkYR1s7kN2N5li8,3237
Intimissimi,1.0,CmRaAAAALlaOqKc502qebzuMslZeAVNzb9zCoMvMwC5qgmtNQuRiQUtn4hicxMScig7RdDS9Q5g52VNAOYXP9t5CRNVpcLNZIpX0JnYt634Es796XdR9ytIbNTGF269_fsM2jb7JEhAwtFqTOuEmsMG_B9lrXiJ2GhQy-4KHt47Z3d7zApl4JGd8CbPcBA,clothing_store|store,30.3202819,59.92568,ChIJGU5aMwAxlkYRi2YilF-aSO0,511
